,irregular_plural_subject_verb_agreement_2,left_branch_island_echo_question,expletive_it_object_raising,animate_subject_passive,transitive,regular_plural_subject_verb_agreement_2,irregular_plural_subject_verb_agreement_1,wh_questions_subject_gap,passive_2,wh_vs_that_with_gap,npi_present_1,determiner_noun_agreement_with_adj_irregular_1,principle_A_domain_1,principle_A_case_1,only_npi_scope,irregular_past_participle_verbs,passive_1,ellipsis_n_bar_1,wh_island,determiner_noun_agreement_irregular_1,distractor_agreement_relative_clause,principle_A_case_2,wh_vs_that_no_gap_long_distance,distractor_agreement_relational_noun,sentential_subject_island,wh_vs_that_with_gap_long_distance,wh_questions_object_gap,npi_present_2,drop_argument,determiner_noun_agreement_with_adjective_1,existential_there_subject_raising,wh_questions_subject_gap_long_distance,determiner_noun_agreement_with_adj_irregular_2,coordinate_structure_constraint_object_extraction,only_npi_licensor_present,existential_there_quantifiers_2,determiner_noun_agreement_1,regular_plural_subject_verb_agreement_1,wh_vs_that_no_gap,ellipsis_n_bar_2,principle_A_domain_2,adjunct_island,determiner_noun_agreement_with_adj_2,intransitive,principle_A_domain_3,animate_subject_trans,matrix_question_npi_licensor_present,complex_NP_island,existential_there_quantifiers_1,irregular_past_participle_adjectives,determiner_noun_agreement_irregular_2,principle_A_reconstruction,causative,existential_there_object_raising,superlative_quantifiers_1,determiner_noun_agreement_2,tough_vs_raising_1,anaphor_gender_agreement,coordinate_structure_constraint_complex_left_branch,principle_A_c_command,tough_vs_raising_2,inchoative,sentential_negation_npi_licensor_present,left_branch_island_simple_question,superlative_quantifiers_2,sentential_negation_npi_scope,anaphor_number_agreement
irregular_plural_subject_verb_agreement_2,337.0,0.0,15.0,2.0,28.0,259.0,177.0,4.0,20.0,27.0,22.0,103.0,1.0,25.0,1.0,21.0,9.0,3.0,3.0,85.0,112.0,54.0,16.0,162.0,0.0,18.0,0.0,26.0,20.0,112.0,43.0,1.0,108.0,12.0,2.0,0.0,104.0,85.0,11.0,1.0,6.0,1.0,109.0,48.0,9.0,12.0,0.0,2.0,20.0,28.0,89.0,1.0,13.0,17.0,0.0,104.0,19.0,17.0,2.0,13.0,35.0,42.0,4.0,5.0,5.0,2.0,50.0
left_branch_island_echo_question,0.0,337.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,6.0,1.0,8.0,6.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,7.0,3.0,1.0,0.0,1.0,6.0,0.0,3.0,4.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,1.0,4.0,0.0,5.0,1.0,0.0,10.0,0.0,1.0,2.0,5.0,4.0,2.0,1.0,1.0,7.0,3.0,0.0,0.0
expletive_it_object_raising,15.0,0.0,337.0,0.0,34.0,18.0,16.0,8.0,13.0,1.0,5.0,16.0,1.0,17.0,0.0,3.0,15.0,0.0,1.0,10.0,18.0,28.0,31.0,17.0,0.0,1.0,0.0,6.0,9.0,23.0,24.0,1.0,9.0,4.0,3.0,4.0,21.0,11.0,31.0,0.0,14.0,2.0,23.0,13.0,29.0,4.0,0.0,0.0,21.0,6.0,10.0,0.0,6.0,117.0,1.0,20.0,3.0,8.0,10.0,1.0,11.0,12.0,11.0,0.0,1.0,13.0,9.0
animate_subject_passive,2.0,1.0,0.0,337.0,14.0,3.0,1.0,1.0,18.0,8.0,3.0,12.0,16.0,7.0,4.0,6.0,16.0,13.0,7.0,15.0,5.0,4.0,7.0,0.0,8.0,6.0,8.0,2.0,12.0,13.0,0.0,2.0,13.0,13.0,3.0,1.0,14.0,2.0,6.0,8.0,0.0,11.0,14.0,10.0,0.0,6.0,1.0,3.0,3.0,4.0,14.0,7.0,7.0,0.0,11.0,16.0,6.0,19.0,1.0,1.0,7.0,6.0,5.0,6.0,3.0,0.0,0.0
transitive,28.0,0.0,34.0,14.0,337.0,31.0,25.0,14.0,64.0,25.0,19.0,37.0,2.0,39.0,1.0,8.0,93.0,10.0,1.0,37.0,38.0,39.0,31.0,19.0,1.0,19.0,0.0,15.0,29.0,49.0,19.0,5.0,33.0,8.0,2.0,0.0,52.0,33.0,21.0,7.0,13.0,10.0,51.0,31.0,12.0,20.0,0.0,0.0,25.0,7.0,40.0,0.0,37.0,25.0,1.0,54.0,17.0,4.0,6.0,3.0,17.0,30.0,11.0,5.0,12.0,8.0,8.0
regular_plural_subject_verb_agreement_2,259.0,0.0,18.0,3.0,31.0,337.0,174.0,5.0,15.0,31.0,21.0,104.0,1.0,31.0,1.0,21.0,7.0,4.0,4.0,87.0,111.0,59.0,19.0,149.0,0.0,21.0,0.0,26.0,29.0,116.0,40.0,1.0,108.0,16.0,3.0,0.0,111.0,85.0,15.0,1.0,6.0,2.0,113.0,53.0,9.0,13.0,0.0,3.0,16.0,28.0,87.0,1.0,17.0,13.0,0.0,108.0,18.0,10.0,2.0,10.0,41.0,47.0,4.0,10.0,6.0,3.0,45.0
irregular_plural_subject_verb_agreement_1,177.0,0.0,16.0,1.0,25.0,174.0,337.0,7.0,15.0,26.0,18.0,86.0,2.0,24.0,0.0,17.0,11.0,2.0,3.0,72.0,133.0,55.0,15.0,190.0,0.0,16.0,0.0,22.0,9.0,95.0,63.0,1.0,89.0,9.0,2.0,0.0,82.0,107.0,12.0,1.0,5.0,2.0,94.0,39.0,11.0,6.0,0.0,0.0,28.0,30.0,73.0,1.0,15.0,15.0,0.0,79.0,22.0,13.0,2.0,9.0,33.0,41.0,6.0,4.0,2.0,4.0,63.0
wh_questions_subject_gap,4.0,4.0,8.0,1.0,14.0,5.0,7.0,337.0,3.0,0.0,12.0,2.0,7.0,5.0,1.0,6.0,4.0,4.0,2.0,5.0,14.0,6.0,49.0,4.0,2.0,1.0,15.0,11.0,6.0,3.0,7.0,105.0,3.0,1.0,7.0,9.0,2.0,5.0,50.0,2.0,2.0,6.0,3.0,5.0,3.0,2.0,2.0,7.0,4.0,3.0,1.0,2.0,4.0,5.0,3.0,5.0,7.0,1.0,1.0,1.0,8.0,6.0,4.0,1.0,6.0,9.0,3.0
passive_2,20.0,2.0,13.0,18.0,64.0,15.0,15.0,3.0,337.0,12.0,6.0,22.0,5.0,17.0,2.0,6.0,83.0,10.0,3.0,24.0,12.0,12.0,7.0,18.0,12.0,15.0,9.0,7.0,3.0,28.0,9.0,0.0,24.0,5.0,4.0,1.0,28.0,8.0,1.0,3.0,8.0,4.0,26.0,9.0,10.0,2.0,1.0,1.0,23.0,3.0,25.0,9.0,12.0,11.0,0.0,29.0,16.0,4.0,0.0,5.0,12.0,7.0,5.0,9.0,5.0,3.0,8.0
wh_vs_that_with_gap,27.0,0.0,1.0,8.0,25.0,31.0,26.0,0.0,12.0,337.0,20.0,51.0,4.0,26.0,3.0,7.0,5.0,9.0,4.0,62.0,20.0,17.0,5.0,19.0,4.0,158.0,0.0,17.0,30.0,55.0,14.0,1.0,54.0,20.0,3.0,2.0,62.0,19.0,0.0,13.0,2.0,3.0,53.0,43.0,5.0,6.0,0.0,4.0,3.0,5.0,66.0,2.0,16.0,5.0,0.0,58.0,25.0,2.0,6.0,1.0,11.0,21.0,0.0,15.0,15.0,2.0,11.0
npi_present_1,22.0,2.0,5.0,3.0,19.0,21.0,18.0,12.0,6.0,20.0,337.0,17.0,1.0,8.0,2.0,5.0,6.0,3.0,6.0,25.0,16.0,16.0,20.0,18.0,4.0,14.0,7.0,219.0,6.0,19.0,16.0,9.0,21.0,7.0,7.0,0.0,24.0,12.0,10.0,2.0,4.0,2.0,19.0,11.0,3.0,7.0,0.0,1.0,2.0,0.0,31.0,2.0,4.0,11.0,1.0,22.0,8.0,0.0,3.0,4.0,19.0,8.0,5.0,3.0,31.0,10.0,4.0
determiner_noun_agreement_with_adj_irregular_1,103.0,0.0,16.0,12.0,37.0,104.0,86.0,2.0,22.0,51.0,17.0,337.0,0.0,28.0,2.0,18.0,14.0,3.0,4.0,198.0,79.0,42.0,7.0,102.0,0.0,31.0,0.0,20.0,34.0,230.0,32.0,2.0,268.0,25.0,0.0,0.0,204.0,60.0,6.0,2.0,4.0,0.0,231.0,47.0,7.0,12.0,0.0,3.0,22.0,20.0,208.0,1.0,25.0,18.0,0.0,202.0,16.0,11.0,3.0,2.0,30.0,28.0,0.0,17.0,3.0,1.0,40.0
principle_A_domain_1,1.0,6.0,1.0,16.0,2.0,1.0,2.0,7.0,5.0,4.0,1.0,0.0,337.0,7.0,2.0,13.0,2.0,34.0,8.0,0.0,0.0,0.0,5.0,0.0,6.0,1.0,26.0,3.0,1.0,0.0,0.0,7.0,0.0,1.0,12.0,20.0,0.0,0.0,5.0,2.0,0.0,14.0,0.0,1.0,0.0,2.0,11.0,10.0,1.0,4.0,0.0,21.0,2.0,2.0,10.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,6.0,2.0,0.0,0.0
