,irregular_plural_subject_verb_agreement_2,left_branch_island_echo_question,expletive_it_object_raising,animate_subject_passive,transitive,regular_plural_subject_verb_agreement_2,irregular_plural_subject_verb_agreement_1,wh_questions_subject_gap,passive_2,wh_vs_that_with_gap,npi_present_1,determiner_noun_agreement_with_adj_irregular_1,principle_A_domain_1,principle_A_case_1,only_npi_scope,irregular_past_participle_verbs,passive_1,ellipsis_n_bar_1,wh_island,determiner_noun_agreement_irregular_1,distractor_agreement_relative_clause,principle_A_case_2,wh_vs_that_no_gap_long_distance,distractor_agreement_relational_noun,sentential_subject_island,wh_vs_that_with_gap_long_distance,wh_questions_object_gap,npi_present_2,drop_argument,determiner_noun_agreement_with_adjective_1,existential_there_subject_raising,wh_questions_subject_gap_long_distance,determiner_noun_agreement_with_adj_irregular_2,coordinate_structure_constraint_object_extraction,only_npi_licensor_present,existential_there_quantifiers_2,determiner_noun_agreement_1,regular_plural_subject_verb_agreement_1,wh_vs_that_no_gap,ellipsis_n_bar_2,principle_A_domain_2,adjunct_island,determiner_noun_agreement_with_adj_2,intransitive,principle_A_domain_3,animate_subject_trans,matrix_question_npi_licensor_present,complex_NP_island,existential_there_quantifiers_1,irregular_past_participle_adjectives,determiner_noun_agreement_irregular_2,principle_A_reconstruction,causative,existential_there_object_raising,superlative_quantifiers_1,determiner_noun_agreement_2,tough_vs_raising_1,anaphor_gender_agreement,coordinate_structure_constraint_complex_left_branch,principle_A_c_command,tough_vs_raising_2,inchoative,sentential_negation_npi_licensor_present,left_branch_island_simple_question,superlative_quantifiers_2,sentential_negation_npi_scope,anaphor_number_agreement
irregular_plural_subject_verb_agreement_2,430.0,0.0,56.0,25.0,118.0,340.0,218.0,72.0,159.0,26.0,28.0,149.0,3.0,64.0,17.0,75.0,87.0,30.0,2.0,111.0,122.0,105.0,11.0,214.0,0.0,8.0,29.0,35.0,114.0,137.0,98.0,0.0,143.0,3.0,92.0,0.0,119.0,175.0,20.0,16.0,44.0,0.0,141.0,108.0,18.0,8.0,0.0,0.0,108.0,55.0,102.0,0.0,83.0,72.0,19.0,114.0,38.0,107.0,15.0,88.0,33.0,76.0,53.0,7.0,0.0,5.0,153.0
left_branch_island_echo_question,0.0,430.0,0.0,6.0,1.0,0.0,0.0,2.0,1.0,2.0,5.0,0.0,7.0,2.0,0.0,7.0,0.0,10.0,7.0,0.0,0.0,1.0,4.0,0.0,12.0,5.0,6.0,6.0,1.0,0.0,1.0,14.0,0.0,4.0,2.0,10.0,0.0,0.0,5.0,12.0,0.0,16.0,0.0,1.0,0.0,8.0,2.0,4.0,0.0,9.0,1.0,15.0,2.0,0.0,7.0,0.0,6.0,0.0,6.0,1.0,3.0,2.0,4.0,7.0,9.0,0.0,0.0
expletive_it_object_raising,56.0,0.0,430.0,32.0,123.0,50.0,52.0,125.0,88.0,22.0,25.0,74.0,0.0,34.0,43.0,23.0,50.0,22.0,1.0,59.0,106.0,91.0,43.0,48.0,0.0,6.0,26.0,35.0,90.0,87.0,83.0,7.0,74.0,2.0,53.0,0.0,77.0,60.0,44.0,19.0,39.0,1.0,82.0,58.0,11.0,9.0,0.0,0.0,75.0,15.0,49.0,0.0,56.0,227.0,10.0,78.0,34.0,81.0,20.0,65.0,30.0,39.0,57.0,12.0,4.0,49.0,77.0
animate_subject_passive,25.0,6.0,32.0,430.0,78.0,27.0,26.0,49.0,60.0,27.0,8.0,48.0,27.0,34.0,5.0,32.0,64.0,52.0,13.0,46.0,30.0,45.0,14.0,28.0,6.0,18.0,37.0,12.0,32.0,45.0,33.0,11.0,45.0,7.0,22.0,6.0,49.0,42.0,22.0,32.0,14.0,9.0,45.0,32.0,2.0,24.0,8.0,15.0,34.0,2.0,44.0,4.0,42.0,39.0,16.0,48.0,44.0,37.0,20.0,24.0,30.0,26.0,24.0,17.0,14.0,9.0,30.0
transitive,118.0,1.0,123.0,78.0,430.0,107.0,112.0,143.0,193.0,67.0,23.0,173.0,6.0,97.0,35.0,74.0,173.0,65.0,3.0,152.0,147.0,173.0,28.0,119.0,0.0,37.0,47.0,62.0,140.0,178.0,124.0,2.0,168.0,5.0,90.0,0.0,160.0,158.0,41.0,38.0,60.0,4.0,184.0,108.0,11.0,44.0,4.0,0.0,123.0,30.0,121.0,0.0,156.0,141.0,23.0,159.0,74.0,144.0,56.0,67.0,56.0,74.0,70.0,22.0,5.0,42.0,136.0
regular_plural_subject_verb_agreement_2,340.0,0.0,50.0,27.0,107.0,430.0,215.0,72.0,141.0,25.0,26.0,143.0,2.0,63.0,20.0,75.0,83.0,33.0,2.0,106.0,126.0,93.0,11.0,211.0,0.0,12.0,28.0,33.0,103.0,134.0,96.0,0.0,138.0,3.0,97.0,0.0,115.0,178.0,20.0,18.0,43.0,0.0,139.0,102.0,17.0,9.0,0.0,0.0,98.0,53.0,98.0,0.0,84.0,63.0,20.0,111.0,40.0,99.0,13.0,85.0,30.0,71.0,49.0,8.0,1.0,5.0,142.0
irregular_plural_subject_verb_agreement_1,218.0,0.0,52.0,26.0,112.0,215.0,430.0,57.0,146.0,34.0,27.0,148.0,4.0,74.0,12.0,68.0,96.0,39.0,4.0,123.0,130.0,93.0,10.0,229.0,0.0,12.0,23.0,39.0,90.0,140.0,92.0,2.0,142.0,5.0,92.0,0.0,131.0,197.0,20.0,13.0,63.0,0.0,138.0,74.0,19.0,13.0,0.0,1.0,93.0,48.0,113.0,0.0,102.0,63.0,14.0,124.0,36.0,99.0,24.0,83.0,44.0,61.0,41.0,18.0,0.0,8.0,158.0
wh_questions_subject_gap,72.0,2.0,125.0,49.0,143.0,72.0,57.0,430.0,99.0,31.0,23.0,92.0,4.0,47.0,37.0,44.0,62.0,50.0,5.0,66.0,122.0,112.0,69.0,52.0,0.0,16.0,59.0,36.0,103.0,103.0,91.0,52.0,95.0,4.0,62.0,1.0,79.0,68.0,93.0,33.0,42.0,5.0,108.0,84.0,7.0,4.0,0.0,1.0,86.0,14.0,53.0,0.0,78.0,121.0,21.0,85.0,58.0,74.0,26.0,52.0,37.0,56.0,62.0,3.0,10.0,32.0,80.0
passive_2,159.0,1.0,88.0,60.0,193.0,141.0,146.0,99.0,430.0,54.0,19.0,157.0,6.0,74.0,24.0,61.0,143.0,50.0,7.0,123.0,121.0,117.0,13.0,138.0,6.0,34.0,43.0,47.0,123.0,157.0,131.0,4.0,150.0,13.0,87.0,0.0,135.0,144.0,25.0,18.0,56.0,2.0,164.0,91.0,10.0,21.0,1.0,0.0,123.0,33.0,99.0,5.0,108.0,113.0,26.0,133.0,64.0,136.0,35.0,73.0,50.0,59.0,57.0,26.0,3.0,31.0,136.0
wh_vs_that_with_gap,26.0,2.0,22.0,27.0,67.0,25.0,34.0,31.0,54.0,430.0,8.0,71.0,4.0,27.0,16.0,18.0,38.0,53.0,6.0,103.0,41.0,66.0,6.0,28.0,3.0,244.0,9.0,6.0,54.0,82.0,34.0,14.0,69.0,12.0,27.0,1.0,95.0,43.0,3.0,58.0,11.0,21.0,87.0,78.0,3.0,10.0,3.0,6.0,28.0,17.0,88.0,4.0,49.0,25.0,12.0,90.0,92.0,20.0,45.0,25.0,32.0,69.0,14.0,8.0,8.0,15.0,27.0
npi_present_1,28.0,5.0,25.0,8.0,23.0,26.0,27.0,23.0,19.0,8.0,430.0,20.0,4.0,10.0,10.0,23.0,22.0,11.0,6.0,25.0,21.0,15.0,11.0,23.0,5.0,6.0,6.0,236.0,15.0,19.0,19.0,18.0,22.0,1.0,12.0,10.0,25.0,28.0,10.0,3.0,7.0,4.0,20.0,7.0,6.0,7.0,10.0,4.0,22.0,9.0,25.0,4.0,23.0,27.0,9.0,23.0,14.0,8.0,12.0,9.0,15.0,4.0,6.0,7.0,21.0,6.0,15.0
determiner_noun_agreement_with_adj_irregular_1,149.0,0.0,74.0,48.0,173.0,143.0,148.0,92.0,157.0,71.0,20.0,430.0,3.0,70.0,30.0,76.0,100.0,72.0,6.0,247.0,154.0,132.0,15.0,148.0,0.0,34.0,32.0,38.0,136.0,324.0,117.0,4.0,362.0,7.0,95.0,0.0,262.0,155.0,24.0,32.0,72.0,2.0,321.0,126.0,18.0,17.0,0.0,0.0,108.0,34.0,194.0,1.0,134.0,84.0,16.0,258.0,67.0,118.0,35.0,88.0,57.0,82.0,53.0,24.0,8.0,11.0,154.0
principle_A_domain_1,3.0,7.0,0.0,27.0,6.0,2.0,4.0,4.0,6.0,4.0,4.0,3.0,430.0,23.0,0.0,10.0,9.0,25.0,13.0,6.0,2.0,5.0,4.0,1.0,17.0,0.0,32.0,5.0,5.0,4.0,3.0,9.0,3.0,14.0,2.0,13.0,7.0,3.0,8.0,7.0,2.0,24.0,4.0,6.0,0.0,15.0,12.0,7.0,0.0,10.0,6.0,14.0,3.0,3.0,6.0,6.0,3.0,5.0,3.0,6.0,6.0,6.0,6.0,6.0,11.0,1.0,3.0
principle_A_case_1,64.0,2.0,34.0,34.0,97.0,63.0,74.0,47.0,74.0,27.0,10.0,70.0,23.0,430.0,9.0,65.0,85.0,27.0,8.0,61.0,58.0,69.0,30.0,60.0,3.0,13.0,18.0,27.0,57.0,67.0,53.0,7.0,68.0,8.0,38.0,2.0,74.0,87.0,45.0,18.0,36.0,8.0,68.0,48.0,13.0,33.0,0.0,1.0,54.0,22.0,71.0,2.0,81.0,50.0,15.0,73.0,41.0,54.0,23.0,39.0,40.0,53.0,48.0,13.0,5.0,13.0,60.0
only_npi_scope,17.0,0.0,43.0,5.0,35.0,20.0,12.0,37.0,24.0,16.0,10.0,30.0,0.0,9.0,430.0,10.0,14.0,8.0,2.0,21.0,39.0,43.0,12.0,11.0,0.0,19.0,11.0,15.0,18.0,35.0,37.0,1.0,26.0,2.0,61.0,3.0,18.0,15.0,15.0,14.0,13.0,4.0,35.0,22.0,7.0,5.0,0.0,1.0,12.0,4.0,13.0,2.0,14.0,44.0,5.0,16.0,19.0,19.0,12.0,19.0,14.0,15.0,28.0,5.0,6.0,44.0,16.0
irregular_past_participle_verbs,75.0,7.0,23.0,32.0,74.0,75.0,68.0,44.0,61.0,18.0,23.0,76.0,10.0,65.0,10.0,430.0,51.0,33.0,6.0,88.0,56.0,57.0,22.0,64.0,3.0,9.0,33.0,38.0,70.0,74.0,62.0,3.0,75.0,5.0,42.0,3.0,88.0,92.0,29.0,37.0,22.0,5.0,75.0,72.0,3.0,24.0,6.0,1.0,52.0,29.0,86.0,8.0,62.0,37.0,17.0,88.0,32.0,39.0,10.0,38.0,44.0,65.0,37.0,7.0,15.0,2.0,59.0
passive_1,87.0,0.0,50.0,64.0,173.0,83.0,96.0,62.0,143.0,38.0,22.0,100.0,9.0,85.0,14.0,51.0,430.0,27.0,5.0,91.0,76.0,94.0,23.0,97.0,0.0,14.0,13.0,41.0,65.0,106.0,63.0,1.0,98.0,6.0,55.0,0.0,102.0,132.0,26.0,6.0,47.0,9.0,105.0,55.0,14.0,38.0,1.0,0.0,63.0,27.0,84.0,0.0,91.0,77.0,8.0,101.0,55.0,74.0,24.0,39.0,48.0,49.0,32.0,21.0,3.0,21.0,71.0
ellipsis_n_bar_1,30.0,10.0,22.0,52.0,65.0,33.0,39.0,50.0,50.0,53.0,11.0,72.0,25.0,27.0,8.0,33.0,27.0,430.0,13.0,70.0,40.0,48.0,21.0,43.0,6.0,46.0,46.0,21.0,29.0,75.0,32.0,24.0,68.0,12.0,31.0,8.0,75.0,41.0,27.0,90.0,21.0,15.0,73.0,45.0,6.0,9.0,5.0,5.0,30.0,6.0,69.0,11.0,55.0,28.0,24.0,71.0,42.0,34.0,44.0,26.0,27.0,30.0,19.0,24.0,8.0,4.0,33.0
wh_island,2.0,7.0,1.0,13.0,3.0,2.0,4.0,5.0,7.0,6.0,6.0,6.0,13.0,8.0,2.0,6.0,5.0,13.0,430.0,8.0,3.0,6.0,5.0,1.0,10.0,6.0,17.0,4.0,5.0,7.0,3.0,5.0,6.0,24.0,1.0,12.0,8.0,2.0,6.0,7.0,0.0,11.0,7.0,6.0,0.0,4.0,16.0,22.0,1.0,11.0,9.0,14.0,3.0,3.0,8.0,8.0,8.0,1.0,8.0,2.0,5.0,4.0,3.0,24.0,13.0,4.0,4.0
determiner_noun_agreement_irregular_1,111.0,0.0,59.0,46.0,152.0,106.0,123.0,66.0,123.0,103.0,25.0,247.0,6.0,61.0,21.0,88.0,91.0,70.0,8.0,430.0,116.0,114.0,16.0,112.0,0.0,54.0,35.0,43.0,114.0,250.0,88.0,9.0,246.0,10.0,70.0,1.0,301.0,139.0,25.0,53.0,48.0,7.0,257.0,120.0,17.0,18.0,5.0,2.0,85.0,42.0,297.0,7.0,116.0,62.0,19.0,298.0,74.0,79.0,46.0,58.0,62.0,88.0,47.0,24.0,11.0,9.0,102.0
distractor_agreement_relative_clause,122.0,0.0,106.0,30.0,147.0,126.0,130.0,122.0,121.0,41.0,21.0,154.0,2.0,58.0,39.0,56.0,76.0,40.0,3.0,116.0,430.0,120.0,42.0,147.0,0.0,18.0,41.0,33.0,127.0,154.0,106.0,2.0,154.0,3.0,91.0,0.0,126.0,124.0,51.0,19.0,63.0,0.0,153.0,107.0,18.0,9.0,0.0,1.0,85.0,15.0,93.0,0.0,104.0,110.0,22.0,124.0,53.0,102.0,25.0,144.0,45.0,74.0,75.0,15.0,2.0,44.0,130.0
principle_A_case_2,105.0,1.0,91.0,45.0,173.0,93.0,93.0,112.0,117.0,66.0,15.0,132.0,5.0,69.0,43.0,57.0,94.0,48.0,6.0,114.0,120.0,430.0,32.0,88.0,0.0,32.0,37.0,29.0,110.0,136.0,105.0,7.0,123.0,5.0,79.0,2.0,121.0,117.0,48.0,41.0,43.0,2.0,138.0,103.0,13.0,14.0,4.0,2.0,83.0,25.0,94.0,1.0,112.0,98.0,25.0,120.0,54.0,110.0,32.0,67.0,66.0,75.0,74.0,10.0,2.0,40.0,119.0
wh_vs_that_no_gap_long_distance,11.0,4.0,43.0,14.0,28.0,11.0,10.0,69.0,13.0,6.0,11.0,15.0,4.0,30.0,12.0,22.0,23.0,21.0,5.0,16.0,42.0,32.0,430.0,8.0,1.0,0.0,19.0,12.0,30.0,17.0,17.0,32.0,13.0,2.0,12.0,3.0,30.0,16.0,206.0,17.0,10.0,3.0,17.0,24.0,3.0,6.0,0.0,2.0,5.0,8.0,26.0,4.0,19.0,32.0,3.0,28.0,22.0,7.0,1.0,12.0,24.0,26.0,24.0,7.0,9.0,23.0,11.0
distractor_agreement_relational_noun,214.0,0.0,48.0,28.0,119.0,211.0,229.0,52.0,138.0,28.0,23.0,148.0,1.0,60.0,11.0,64.0,97.0,43.0,1.0,112.0,147.0,88.0,8.0,430.0,0.0,14.0,27.0,35.0,87.0,137.0,74.0,1.0,143.0,2.0,90.0,0.0,121.0,183.0,17.0,15.0,57.0,0.0,131.0,71.0,20.0,20.0,0.0,0.0,96.0,23.0,100.0,0.0,84.0,64.0,16.0,112.0,33.0,104.0,30.0,81.0,46.0,53.0,47.0,18.0,1.0,11.0,151.0
sentential_subject_island,0.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,0.0,17.0,3.0,0.0,3.0,0.0,6.0,10.0,0.0,0.0,0.0,1.0,0.0,430.0,2.0,72.0,5.0,0.0,0.0,0.0,6.0,0.0,51.0,0.0,10.0,0.0,2.0,2.0,1.0,0.0,23.0,0.0,1.0,0.0,12.0,7.0,18.0,0.0,7.0,2.0,161.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,5.0,23.0,6.0,0.0,0.0
wh_vs_that_with_gap_long_distance,8.0,5.0,6.0,18.0,37.0,12.0,12.0,16.0,34.0,244.0,6.0,34.0,0.0,13.0,19.0,9.0,14.0,46.0,6.0,54.0,18.0,32.0,0.0,14.0,2.0,430.0,7.0,4.0,24.0,40.0,17.0,12.0,31.0,6.0,11.0,0.0,51.0,19.0,0.0,60.0,6.0,18.0,44.0,43.0,6.0,5.0,1.0,10.0,14.0,6.0,48.0,1.0,32.0,7.0,12.0,48.0,71.0,6.0,41.0,5.0,15.0,39.0,14.0,6.0,7.0,11.0,8.0
wh_questions_object_gap,29.0,6.0,26.0,37.0,47.0,28.0,23.0,59.0,43.0,9.0,6.0,32.0,32.0,18.0,11.0,33.0,13.0,46.0,17.0,35.0,41.0,37.0,19.0,27.0,72.0,7.0,430.0,12.0,27.0,34.0,29.0,30.0,30.0,35.0,19.0,12.0,34.0,30.0,33.0,23.0,5.0,18.0,34.0,23.0,1.0,6.0,7.0,15.0,21.0,9.0,28.0,104.0,27.0,33.0,22.0,33.0,16.0,20.0,14.0,20.0,26.0,18.0,37.0,39.0,8.0,11.0,24.0
