,irregular_plural_subject_verb_agreement_2,left_branch_island_echo_question,expletive_it_object_raising,animate_subject_passive,transitive,regular_plural_subject_verb_agreement_2,irregular_plural_subject_verb_agreement_1,wh_questions_subject_gap,passive_2,wh_vs_that_with_gap,npi_present_1,determiner_noun_agreement_with_adj_irregular_1,principle_A_domain_1,principle_A_case_1,only_npi_scope,irregular_past_participle_verbs,passive_1,ellipsis_n_bar_1,wh_island,determiner_noun_agreement_irregular_1,distractor_agreement_relative_clause,principle_A_case_2,wh_vs_that_no_gap_long_distance,distractor_agreement_relational_noun,sentential_subject_island,wh_vs_that_with_gap_long_distance,wh_questions_object_gap,npi_present_2,drop_argument,determiner_noun_agreement_with_adjective_1,existential_there_subject_raising,wh_questions_subject_gap_long_distance,determiner_noun_agreement_with_adj_irregular_2,coordinate_structure_constraint_object_extraction,only_npi_licensor_present,existential_there_quantifiers_2,determiner_noun_agreement_1,regular_plural_subject_verb_agreement_1,wh_vs_that_no_gap,ellipsis_n_bar_2,principle_A_domain_2,adjunct_island,determiner_noun_agreement_with_adj_2,intransitive,principle_A_domain_3,animate_subject_trans,matrix_question_npi_licensor_present,complex_NP_island,existential_there_quantifiers_1,irregular_past_participle_adjectives,determiner_noun_agreement_irregular_2,principle_A_reconstruction,causative,existential_there_object_raising,superlative_quantifiers_1,determiner_noun_agreement_2,tough_vs_raising_1,anaphor_gender_agreement,coordinate_structure_constraint_complex_left_branch,principle_A_c_command,tough_vs_raising_2,inchoative,sentential_negation_npi_licensor_present,left_branch_island_simple_question,superlative_quantifiers_2,sentential_negation_npi_scope,anaphor_number_agreement
irregular_plural_subject_verb_agreement_2,655.0,1.0,45.0,3.0,134.0,460.0,294.0,60.0,88.0,47.0,10.0,164.0,0.0,133.0,13.0,109.0,91.0,15.0,1.0,140.0,105.0,109.0,33.0,246.0,4.0,26.0,3.0,30.0,143.0,144.0,92.0,7.0,158.0,20.0,50.0,0.0,143.0,294.0,58.0,6.0,41.0,1.0,143.0,152.0,33.0,57.0,0.0,0.0,64.0,78.0,147.0,1.0,109.0,49.0,11.0,132.0,48.0,47.0,27.0,51.0,61.0,97.0,55.0,17.0,49.0,14.0,156.0
left_branch_island_echo_question,1.0,655.0,0.0,12.0,0.0,2.0,1.0,1.0,6.0,6.0,10.0,3.0,12.0,4.0,1.0,4.0,3.0,12.0,16.0,3.0,6.0,2.0,4.0,1.0,12.0,7.0,19.0,9.0,3.0,2.0,0.0,10.0,4.0,5.0,5.0,6.0,3.0,1.0,2.0,10.0,3.0,22.0,2.0,4.0,1.0,4.0,3.0,5.0,2.0,6.0,3.0,11.0,5.0,0.0,17.0,3.0,6.0,3.0,3.0,9.0,3.0,4.0,14.0,18.0,8.0,2.0,1.0
expletive_it_object_raising,45.0,0.0,655.0,5.0,149.0,31.0,53.0,181.0,38.0,69.0,9.0,107.0,0.0,138.0,21.0,49.0,98.0,7.0,0.0,102.0,192.0,211.0,219.0,55.0,0.0,14.0,22.0,42.0,122.0,144.0,116.0,15.0,98.0,6.0,26.0,6.0,96.0,57.0,228.0,18.0,45.0,1.0,129.0,112.0,32.0,62.0,0.0,0.0,58.0,16.0,81.0,0.0,48.0,286.0,3.0,86.0,108.0,45.0,42.0,13.0,50.0,51.0,14.0,17.0,22.0,20.0,84.0
animate_subject_passive,3.0,12.0,5.0,655.0,10.0,3.0,2.0,10.0,12.0,25.0,7.0,15.0,49.0,4.0,4.0,7.0,9.0,36.0,23.0,18.0,3.0,5.0,10.0,2.0,5.0,21.0,14.0,9.0,10.0,9.0,4.0,8.0,15.0,15.0,1.0,14.0,15.0,4.0,10.0,46.0,0.0,40.0,9.0,10.0,0.0,26.0,18.0,36.0,3.0,14.0,22.0,10.0,4.0,9.0,13.0,20.0,11.0,22.0,2.0,13.0,6.0,3.0,11.0,12.0,7.0,4.0,2.0
transitive,134.0,0.0,149.0,10.0,655.0,129.0,124.0,157.0,153.0,124.0,27.0,168.0,0.0,132.0,26.0,75.0,222.0,28.0,4.0,181.0,187.0,209.0,161.0,115.0,9.0,67.0,42.0,56.0,168.0,207.0,96.0,30.0,168.0,49.0,27.0,0.0,191.0,154.0,200.0,38.0,37.0,11.0,198.0,186.0,31.0,109.0,0.0,6.0,52.0,26.0,179.0,1.0,212.0,117.0,2.0,184.0,142.0,26.0,56.0,32.0,112.0,96.0,75.0,52.0,43.0,41.0,93.0
regular_plural_subject_verb_agreement_2,460.0,2.0,31.0,3.0,129.0,655.0,272.0,53.0,93.0,39.0,18.0,151.0,0.0,113.0,13.0,106.0,91.0,14.0,1.0,134.0,99.0,95.0,34.0,246.0,3.0,28.0,4.0,31.0,126.0,138.0,86.0,7.0,151.0,26.0,40.0,0.0,146.0,277.0,49.0,6.0,40.0,1.0,137.0,151.0,29.0,58.0,0.0,0.0,58.0,85.0,141.0,0.0,116.0,29.0,12.0,130.0,40.0,33.0,24.0,45.0,66.0,102.0,53.0,22.0,38.0,15.0,127.0
irregular_plural_subject_verb_agreement_1,294.0,1.0,53.0,2.0,124.0,272.0,655.0,70.0,87.0,36.0,20.0,177.0,0.0,150.0,8.0,101.0,111.0,11.0,8.0,145.0,122.0,122.0,31.0,324.0,2.0,17.0,2.0,46.0,112.0,157.0,124.0,6.0,171.0,17.0,40.0,0.0,161.0,294.0,62.0,6.0,70.0,1.0,154.0,123.0,57.0,45.0,0.0,0.0,67.0,57.0,147.0,1.0,120.0,54.0,3.0,148.0,49.0,48.0,19.0,56.0,70.0,77.0,55.0,22.0,39.0,15.0,183.0
wh_questions_subject_gap,60.0,1.0,181.0,10.0,157.0,53.0,70.0,655.0,53.0,81.0,10.0,99.0,1.0,118.0,16.0,56.0,82.0,18.0,2.0,107.0,232.0,187.0,199.0,63.0,0.0,21.0,59.0,33.0,105.0,126.0,96.0,150.0,94.0,14.0,10.0,6.0,95.0,76.0,224.0,12.0,58.0,15.0,116.0,113.0,37.0,36.0,0.0,1.0,42.0,19.0,91.0,1.0,70.0,147.0,4.0,94.0,97.0,23.0,57.0,26.0,65.0,63.0,38.0,22.0,32.0,28.0,77.0
passive_2,88.0,6.0,38.0,12.0,153.0,93.0,87.0,53.0,655.0,51.0,20.0,112.0,3.0,57.0,16.0,44.0,140.0,26.0,11.0,111.0,73.0,69.0,45.0,80.0,20.0,34.0,38.0,34.0,65.0,112.0,57.0,16.0,111.0,73.0,15.0,1.0,114.0,93.0,59.0,21.0,35.0,7.0,104.0,83.0,30.0,42.0,3.0,13.0,26.0,23.0,121.0,21.0,80.0,52.0,6.0,113.0,74.0,28.0,36.0,35.0,50.0,51.0,39.0,41.0,20.0,19.0,65.0
wh_vs_that_with_gap,47.0,6.0,69.0,25.0,124.0,39.0,36.0,81.0,51.0,655.0,14.0,118.0,3.0,39.0,17.0,20.0,58.0,36.0,9.0,129.0,90.0,102.0,63.0,21.0,9.0,329.0,29.0,20.0,125.0,139.0,36.0,20.0,122.0,47.0,5.0,3.0,132.0,38.0,65.0,62.0,13.0,20.0,140.0,124.0,9.0,44.0,1.0,25.0,16.0,19.0,130.0,13.0,55.0,63.0,7.0,132.0,152.0,7.0,63.0,14.0,31.0,74.0,17.0,36.0,28.0,14.0,32.0
