,irregular_plural_subject_verb_agreement_2,left_branch_island_echo_question,expletive_it_object_raising,animate_subject_passive,transitive,regular_plural_subject_verb_agreement_2,irregular_plural_subject_verb_agreement_1,wh_questions_subject_gap,passive_2,wh_vs_that_with_gap,npi_present_1,determiner_noun_agreement_with_adj_irregular_1,principle_A_domain_1,principle_A_case_1,only_npi_scope,irregular_past_participle_verbs,passive_1,ellipsis_n_bar_1,wh_island,determiner_noun_agreement_irregular_1,distractor_agreement_relative_clause,principle_A_case_2,wh_vs_that_no_gap_long_distance,distractor_agreement_relational_noun,sentential_subject_island,wh_vs_that_with_gap_long_distance,wh_questions_object_gap,npi_present_2,drop_argument,determiner_noun_agreement_with_adjective_1,existential_there_subject_raising,wh_questions_subject_gap_long_distance,determiner_noun_agreement_with_adj_irregular_2,coordinate_structure_constraint_object_extraction,only_npi_licensor_present,existential_there_quantifiers_2,determiner_noun_agreement_1,regular_plural_subject_verb_agreement_1,wh_vs_that_no_gap,ellipsis_n_bar_2,principle_A_domain_2,adjunct_island,determiner_noun_agreement_with_adj_2,intransitive,principle_A_domain_3,animate_subject_trans,matrix_question_npi_licensor_present,complex_NP_island,existential_there_quantifiers_1,irregular_past_participle_adjectives,determiner_noun_agreement_irregular_2,principle_A_reconstruction,causative,existential_there_object_raising,superlative_quantifiers_1,determiner_noun_agreement_2,tough_vs_raising_1,anaphor_gender_agreement,coordinate_structure_constraint_complex_left_branch,principle_A_c_command,tough_vs_raising_2,inchoative,sentential_negation_npi_licensor_present,left_branch_island_simple_question,superlative_quantifiers_2,sentential_negation_npi_scope,anaphor_number_agreement
irregular_plural_subject_verb_agreement_2,491.0,0.0,16.0,1.0,68.0,388.0,288.0,25.0,63.0,58.0,4.0,194.0,0.0,52.0,0.0,6.0,28.0,4.0,0.0,195.0,206.0,149.0,39.0,247.0,0.0,3.0,4.0,11.0,42.0,204.0,113.0,0.0,212.0,2.0,0.0,0.0,190.0,210.0,25.0,0.0,8.0,0.0,210.0,97.0,12.0,0.0,0.0,0.0,4.0,140.0,179.0,0.0,28.0,48.0,0.0,177.0,17.0,30.0,6.0,15.0,16.0,65.0,5.0,14.0,14.0,3.0,163.0
left_branch_island_echo_question,0.0,491.0,0.0,1.0,1.0,0.0,1.0,10.0,4.0,1.0,7.0,2.0,4.0,4.0,2.0,13.0,3.0,5.0,3.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,8.0,8.0,1.0,0.0,0.0,5.0,1.0,3.0,5.0,8.0,2.0,2.0,10.0,6.0,2.0,2.0,0.0,1.0,3.0,11.0,3.0,5.0,2.0,1.0,2.0,8.0,0.0,1.0,12.0,2.0,4.0,0.0,2.0,4.0,3.0,5.0,3.0,19.0,7.0,5.0,1.0
expletive_it_object_raising,16.0,0.0,491.0,6.0,40.0,15.0,19.0,10.0,15.0,6.0,10.0,16.0,0.0,18.0,3.0,0.0,30.0,1.0,4.0,18.0,22.0,22.0,31.0,19.0,0.0,0.0,0.0,20.0,14.0,18.0,23.0,2.0,16.0,1.0,4.0,0.0,21.0,23.0,26.0,0.0,5.0,0.0,18.0,16.0,15.0,10.0,0.0,3.0,6.0,17.0,15.0,0.0,8.0,155.0,0.0,20.0,19.0,10.0,8.0,0.0,18.0,17.0,5.0,7.0,5.0,5.0,19.0
animate_subject_passive,1.0,1.0,6.0,491.0,42.0,2.0,2.0,9.0,19.0,8.0,5.0,6.0,9.0,10.0,4.0,16.0,8.0,12.0,5.0,7.0,2.0,4.0,4.0,3.0,6.0,5.0,9.0,6.0,16.0,5.0,2.0,3.0,5.0,6.0,9.0,1.0,8.0,5.0,4.0,21.0,3.0,10.0,6.0,13.0,5.0,24.0,13.0,10.0,11.0,2.0,9.0,4.0,12.0,7.0,2.0,11.0,12.0,26.0,1.0,5.0,4.0,10.0,8.0,6.0,5.0,3.0,1.0
transitive,68.0,1.0,40.0,42.0,491.0,78.0,97.0,42.0,109.0,46.0,19.0,92.0,1.0,64.0,2.0,28.0,107.0,11.0,2.0,89.0,90.0,115.0,39.0,93.0,0.0,15.0,6.0,17.0,64.0,96.0,47.0,6.0,95.0,23.0,3.0,0.0,113.0,136.0,35.0,10.0,3.0,2.0,94.0,78.0,9.0,19.0,0.0,7.0,17.0,64.0,96.0,0.0,102.0,58.0,4.0,106.0,40.0,30.0,13.0,4.0,11.0,64.0,17.0,11.0,6.0,6.0,80.0
regular_plural_subject_verb_agreement_2,388.0,0.0,15.0,2.0,78.0,491.0,305.0,27.0,65.0,65.0,3.0,218.0,0.0,55.0,0.0,7.0,30.0,5.0,0.0,223.0,226.0,168.0,42.0,280.0,0.0,4.0,3.0,9.0,41.0,235.0,122.0,0.0,245.0,2.0,0.0,0.0,223.0,211.0,29.0,0.0,8.0,0.0,244.0,102.0,10.0,1.0,0.0,0.0,6.0,157.0,208.0,0.0,31.0,47.0,0.0,203.0,18.0,26.0,5.0,15.0,13.0,71.0,8.0,14.0,12.0,1.0,169.0
irregular_plural_subject_verb_agreement_1,288.0,1.0,19.0,2.0,97.0,305.0,491.0,30.0,71.0,57.0,4.0,239.0,0.0,74.0,0.0,11.0,43.0,7.0,1.0,232.0,267.0,181.0,41.0,319.0,0.0,4.0,4.0,11.0,44.0,247.0,131.0,0.0,260.0,5.0,0.0,0.0,228.0,238.0,29.0,0.0,9.0,0.0,254.0,100.0,4.0,0.0,0.0,0.0,6.0,182.0,219.0,0.0,44.0,53.0,0.0,213.0,14.0,26.0,11.0,20.0,15.0,87.0,10.0,20.0,11.0,3.0,196.0
wh_questions_subject_gap,25.0,10.0,10.0,9.0,42.0,27.0,30.0,491.0,20.0,9.0,16.0,30.0,3.0,17.0,3.0,14.0,18.0,11.0,5.0,33.0,42.0,45.0,83.0,28.0,1.0,1.0,36.0,13.0,20.0,37.0,26.0,95.0,34.0,5.0,2.0,2.0,40.0,23.0,113.0,8.0,4.0,6.0,39.0,18.0,4.0,2.0,0.0,6.0,7.0,29.0,31.0,1.0,18.0,25.0,1.0,38.0,17.0,6.0,5.0,11.0,17.0,20.0,13.0,15.0,5.0,13.0,20.0
passive_2,63.0,4.0,15.0,19.0,109.0,65.0,71.0,20.0,491.0,38.0,8.0,75.0,1.0,34.0,5.0,16.0,91.0,13.0,2.0,79.0,72.0,57.0,21.0,64.0,16.0,8.0,16.0,11.0,17.0,79.0,41.0,5.0,77.0,23.0,3.0,4.0,88.0,58.0,21.0,6.0,6.0,6.0,78.0,46.0,9.0,4.0,0.0,4.0,16.0,39.0,86.0,11.0,33.0,31.0,2.0,93.0,35.0,16.0,2.0,11.0,10.0,40.0,14.0,9.0,5.0,3.0,52.0
wh_vs_that_with_gap,58.0,1.0,6.0,8.0,46.0,65.0,57.0,9.0,38.0,491.0,9.0,78.0,1.0,15.0,6.0,1.0,15.0,15.0,1.0,96.0,60.0,54.0,10.0,53.0,1.0,183.0,2.0,6.0,44.0,102.0,35.0,3.0,81.0,5.0,9.0,0.0,101.0,38.0,3.0,13.0,3.0,8.0,97.0,73.0,4.0,3.0,0.0,3.0,3.0,47.0,95.0,2.0,37.0,23.0,0.0,106.0,52.0,5.0,13.0,4.0,9.0,45.0,13.0,9.0,8.0,5.0,27.0
