,irregular_plural_subject_verb_agreement_2,left_branch_island_echo_question,expletive_it_object_raising,animate_subject_passive,transitive,regular_plural_subject_verb_agreement_2,irregular_plural_subject_verb_agreement_1,wh_questions_subject_gap,passive_2,wh_vs_that_with_gap,npi_present_1,determiner_noun_agreement_with_adj_irregular_1,principle_A_domain_1,principle_A_case_1,only_npi_scope,irregular_past_participle_verbs,passive_1,ellipsis_n_bar_1,wh_island,determiner_noun_agreement_irregular_1,distractor_agreement_relative_clause,principle_A_case_2,wh_vs_that_no_gap_long_distance,distractor_agreement_relational_noun,sentential_subject_island,wh_vs_that_with_gap_long_distance,wh_questions_object_gap,npi_present_2,drop_argument,determiner_noun_agreement_with_adjective_1,existential_there_subject_raising,wh_questions_subject_gap_long_distance,determiner_noun_agreement_with_adj_irregular_2,coordinate_structure_constraint_object_extraction,only_npi_licensor_present,existential_there_quantifiers_2,determiner_noun_agreement_1,regular_plural_subject_verb_agreement_1,wh_vs_that_no_gap,ellipsis_n_bar_2,principle_A_domain_2,adjunct_island,determiner_noun_agreement_with_adj_2,intransitive,principle_A_domain_3,animate_subject_trans,matrix_question_npi_licensor_present,complex_NP_island,existential_there_quantifiers_1,irregular_past_participle_adjectives,determiner_noun_agreement_irregular_2,principle_A_reconstruction,causative,existential_there_object_raising,superlative_quantifiers_1,determiner_noun_agreement_2,tough_vs_raising_1,anaphor_gender_agreement,coordinate_structure_constraint_complex_left_branch,principle_A_c_command,tough_vs_raising_2,inchoative,sentential_negation_npi_licensor_present,left_branch_island_simple_question,superlative_quantifiers_2,sentential_negation_npi_scope,anaphor_number_agreement
irregular_plural_subject_verb_agreement_2,614.0,0.0,39.0,4.0,23.0,351.0,298.0,8.0,40.0,6.0,5.0,25.0,0.0,18.0,8.0,48.0,51.0,3.0,0.0,13.0,102.0,37.0,14.0,135.0,1.0,7.0,8.0,5.0,4.0,19.0,21.0,9.0,23.0,0.0,19.0,0.0,14.0,177.0,18.0,3.0,22.0,0.0,15.0,7.0,26.0,11.0,1.0,0.0,16.0,20.0,16.0,10.0,22.0,31.0,2.0,17.0,7.0,4.0,0.0,18.0,13.0,9.0,4.0,1.0,13.0,17.0,73.0
left_branch_island_echo_question,0.0,614.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,6.0,3.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,9.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,1.0,2.0,2.0,11.0,6.0,0.0,3.0,2.0,1.0,4.0,0.0,0.0,2.0,1.0,3.0,3.0,2.0,6.0,13.0,4.0,0.0,3.0
expletive_it_object_raising,39.0,2.0,614.0,6.0,14.0,21.0,31.0,5.0,19.0,0.0,2.0,7.0,0.0,15.0,18.0,5.0,45.0,2.0,0.0,5.0,33.0,15.0,28.0,33.0,1.0,0.0,2.0,10.0,0.0,6.0,56.0,3.0,6.0,1.0,14.0,16.0,3.0,23.0,33.0,5.0,7.0,1.0,6.0,0.0,11.0,2.0,2.0,2.0,22.0,3.0,5.0,6.0,1.0,216.0,1.0,3.0,3.0,2.0,2.0,2.0,22.0,1.0,23.0,1.0,5.0,35.0,12.0
animate_subject_passive,4.0,1.0,6.0,614.0,16.0,2.0,2.0,3.0,35.0,19.0,0.0,66.0,7.0,4.0,2.0,6.0,10.0,27.0,13.0,67.0,1.0,6.0,1.0,1.0,22.0,13.0,8.0,0.0,6.0,71.0,1.0,4.0,65.0,8.0,3.0,0.0,72.0,1.0,5.0,51.0,4.0,8.0,67.0,15.0,3.0,3.0,15.0,4.0,9.0,8.0,66.0,19.0,7.0,2.0,0.0,70.0,31.0,31.0,1.0,2.0,0.0,4.0,1.0,5.0,4.0,1.0,9.0
transitive,23.0,1.0,14.0,16.0,614.0,11.0,13.0,14.0,90.0,18.0,14.0,52.0,3.0,3.0,6.0,22.0,82.0,14.0,1.0,50.0,27.0,49.0,13.0,16.0,13.0,13.0,11.0,17.0,8.0,53.0,9.0,6.0,50.0,3.0,6.0,3.0,54.0,25.0,23.0,32.0,22.0,3.0,54.0,14.0,20.0,0.0,10.0,4.0,3.0,6.0,47.0,11.0,42.0,20.0,1.0,55.0,33.0,2.0,3.0,18.0,13.0,15.0,14.0,2.0,3.0,26.0,33.0
regular_plural_subject_verb_agreement_2,351.0,0.0,21.0,2.0,11.0,614.0,321.0,7.0,28.0,8.0,5.0,22.0,1.0,16.0,6.0,37.0,59.0,2.0,0.0,12.0,94.0,30.0,12.0,125.0,0.0,6.0,7.0,5.0,4.0,16.0,23.0,9.0,21.0,0.0,20.0,10.0,14.0,196.0,15.0,3.0,9.0,0.0,15.0,6.0,10.0,8.0,0.0,0.0,5.0,21.0,18.0,10.0,16.0,17.0,5.0,15.0,7.0,3.0,1.0,10.0,11.0,6.0,5.0,2.0,10.0,13.0,60.0
irregular_plural_subject_verb_agreement_1,298.0,0.0,31.0,2.0,13.0,321.0,614.0,13.0,27.0,5.0,1.0,22.0,0.0,24.0,12.0,41.0,63.0,4.0,1.0,10.0,119.0,58.0,14.0,186.0,1.0,4.0,10.0,2.0,2.0,17.0,27.0,10.0,18.0,7.0,35.0,4.0,13.0,219.0,16.0,2.0,10.0,0.0,16.0,3.0,14.0,10.0,0.0,2.0,9.0,18.0,14.0,7.0,16.0,35.0,2.0,15.0,4.0,2.0,1.0,9.0,16.0,4.0,8.0,1.0,13.0,13.0,66.0
wh_questions_subject_gap,8.0,0.0,5.0,3.0,14.0,7.0,13.0,614.0,9.0,0.0,1.0,2.0,1.0,14.0,1.0,9.0,9.0,0.0,2.0,0.0,10.0,1.0,145.0,12.0,0.0,0.0,105.0,1.0,0.0,0.0,8.0,263.0,3.0,3.0,2.0,1.0,0.0,28.0,123.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,1.0,3.0,0.0,3.0,4.0,8.0,0.0,0.0,2.0,3.0,3.0,11.0,0.0,1.0,1.0,9.0,1.0,2.0
passive_2,40.0,0.0,19.0,35.0,90.0,28.0,27.0,9.0,614.0,34.0,1.0,114.0,1.0,0.0,8.0,11.0,108.0,35.0,3.0,100.0,41.0,20.0,6.0,27.0,35.0,25.0,13.0,2.0,11.0,104.0,1.0,9.0,117.0,0.0,6.0,7.0,101.0,30.0,7.0,67.0,17.0,1.0,105.0,15.0,11.0,3.0,30.0,2.0,7.0,5.0,111.0,38.0,18.0,9.0,3.0,102.0,50.0,4.0,1.0,9.0,1.0,9.0,13.0,1.0,0.0,15.0,53.0
wh_vs_that_with_gap,6.0,1.0,0.0,19.0,18.0,8.0,5.0,0.0,34.0,614.0,3.0,73.0,0.0,0.0,5.0,0.0,9.0,34.0,1.0,95.0,2.0,8.0,0.0,6.0,11.0,407.0,1.0,2.0,50.0,91.0,3.0,0.0,80.0,2.0,5.0,9.0,97.0,6.0,0.0,98.0,4.0,1.0,91.0,105.0,6.0,3.0,24.0,1.0,0.0,1.0,90.0,24.0,8.0,5.0,2.0,96.0,118.0,0.0,3.0,2.0,0.0,68.0,1.0,3.0,1.0,1.0,11.0
