,irregular_plural_subject_verb_agreement_2,left_branch_island_echo_question,expletive_it_object_raising,animate_subject_passive,transitive,regular_plural_subject_verb_agreement_2,irregular_plural_subject_verb_agreement_1,wh_questions_subject_gap,passive_2,wh_vs_that_with_gap,npi_present_1,determiner_noun_agreement_with_adj_irregular_1,principle_A_domain_1,principle_A_case_1,only_npi_scope,irregular_past_participle_verbs,passive_1,ellipsis_n_bar_1,wh_island,determiner_noun_agreement_irregular_1,distractor_agreement_relative_clause,principle_A_case_2,wh_vs_that_no_gap_long_distance,distractor_agreement_relational_noun,sentential_subject_island,wh_vs_that_with_gap_long_distance,wh_questions_object_gap,npi_present_2,drop_argument,determiner_noun_agreement_with_adjective_1,existential_there_subject_raising,wh_questions_subject_gap_long_distance,determiner_noun_agreement_with_adj_irregular_2,coordinate_structure_constraint_object_extraction,only_npi_licensor_present,existential_there_quantifiers_2,determiner_noun_agreement_1,regular_plural_subject_verb_agreement_1,wh_vs_that_no_gap,ellipsis_n_bar_2,principle_A_domain_2,adjunct_island,determiner_noun_agreement_with_adj_2,intransitive,principle_A_domain_3,animate_subject_trans,matrix_question_npi_licensor_present,complex_NP_island,existential_there_quantifiers_1,irregular_past_participle_adjectives,determiner_noun_agreement_irregular_2,principle_A_reconstruction,causative,existential_there_object_raising,superlative_quantifiers_1,determiner_noun_agreement_2,tough_vs_raising_1,anaphor_gender_agreement,coordinate_structure_constraint_complex_left_branch,principle_A_c_command,tough_vs_raising_2,inchoative,sentential_negation_npi_licensor_present,left_branch_island_simple_question,superlative_quantifiers_2,sentential_negation_npi_scope,anaphor_number_agreement
irregular_plural_subject_verb_agreement_2,384.0,0.0,0.0,1.0,20.0,291.0,196.0,0.0,29.0,2.0,9.0,49.0,0.0,3.0,0.0,31.0,15.0,7.0,3.0,48.0,135.0,21.0,5.0,141.0,0.0,1.0,0.0,14.0,18.0,61.0,24.0,0.0,56.0,2.0,0.0,0.0,59.0,50.0,8.0,0.0,3.0,5.0,67.0,22.0,2.0,6.0,0.0,4.0,2.0,49.0,48.0,0.0,12.0,35.0,0.0,61.0,0.0,0.0,8.0,8.0,6.0,23.0,2.0,6.0,1.0,4.0,11.0
left_branch_island_echo_question,0.0,384.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,7.0,4.0,0.0,0.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,8.0,2.0,0.0,13.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,2.0,16.0,3.0,6.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,8.0,3.0,4.0,5.0,1.0,8.0,1.0,3.0,0.0,0.0,7.0,8.0,10.0,3.0,2.0,0.0
expletive_it_object_raising,0.0,3.0,384.0,4.0,12.0,0.0,0.0,2.0,8.0,1.0,4.0,2.0,2.0,6.0,2.0,6.0,7.0,0.0,2.0,1.0,4.0,8.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,11.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0,3.0,7.0,0.0,3.0,1.0,5.0,2.0,0.0,0.0,4.0,1.0,2.0,3.0,2.0,73.0,0.0,1.0,16.0,8.0,2.0,0.0,20.0,0.0,0.0,4.0,10.0,3.0,0.0
animate_subject_passive,1.0,3.0,4.0,384.0,23.0,1.0,0.0,9.0,6.0,2.0,1.0,4.0,12.0,0.0,5.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,2.0,8.0,3.0,0.0,7.0,5.0,3.0,6.0,2.0,4.0,5.0,6.0,11.0,0.0,8.0,5.0,5.0,2.0,9.0,3.0,3.0,0.0,0.0,5.0,6.0,15.0,1.0,3.0,4.0,8.0,30.0,3.0,5.0,6.0,4.0,2.0,2.0,5.0,0.0,2.0
transitive,20.0,0.0,12.0,23.0,384.0,20.0,23.0,13.0,42.0,23.0,10.0,28.0,6.0,19.0,3.0,14.0,54.0,8.0,6.0,14.0,19.0,58.0,19.0,20.0,3.0,21.0,5.0,12.0,18.0,22.0,14.0,1.0,32.0,21.0,1.0,0.0,22.0,26.0,26.0,13.0,13.0,9.0,27.0,9.0,13.0,7.0,0.0,4.0,0.0,1.0,32.0,0.0,33.0,28.0,0.0,26.0,26.0,0.0,6.0,5.0,9.0,11.0,11.0,4.0,4.0,22.0,2.0
regular_plural_subject_verb_agreement_2,291.0,0.0,0.0,1.0,20.0,384.0,206.0,0.0,27.0,0.0,9.0,66.0,0.0,4.0,0.0,32.0,15.0,7.0,3.0,67.0,119.0,12.0,2.0,174.0,0.0,0.0,0.0,10.0,14.0,90.0,21.0,0.0,68.0,2.0,0.0,0.0,84.0,51.0,5.0,0.0,2.0,0.0,95.0,12.0,0.0,3.0,0.0,0.0,0.0,46.0,66.0,0.0,12.0,31.0,0.0,84.0,1.0,1.0,7.0,4.0,5.0,12.0,4.0,3.0,1.0,4.0,6.0
irregular_plural_subject_verb_agreement_1,196.0,0.0,0.0,0.0,23.0,206.0,384.0,0.0,19.0,0.0,10.0,63.0,0.0,6.0,0.0,37.0,11.0,1.0,4.0,58.0,115.0,16.0,0.0,198.0,0.0,1.0,0.0,15.0,7.0,69.0,30.0,0.0,59.0,0.0,0.0,0.0,68.0,76.0,1.0,0.0,1.0,0.0,80.0,6.0,0.0,1.0,0.0,0.0,2.0,38.0,53.0,0.0,11.0,36.0,0.0,65.0,0.0,0.0,11.0,5.0,7.0,7.0,3.0,9.0,0.0,5.0,26.0
wh_questions_subject_gap,0.0,0.0,2.0,9.0,13.0,0.0,0.0,384.0,5.0,5.0,3.0,2.0,4.0,6.0,0.0,3.0,8.0,3.0,5.0,2.0,0.0,20.0,27.0,0.0,5.0,2.0,30.0,3.0,1.0,1.0,0.0,125.0,4.0,3.0,4.0,2.0,1.0,0.0,39.0,8.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,13.0,0.0,1.0,5.0,1.0,0.0,6.0,12.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,14.0,1.0,6.0,12.0,0.0
passive_2,29.0,2.0,8.0,6.0,42.0,27.0,19.0,5.0,384.0,6.0,2.0,28.0,18.0,10.0,1.0,9.0,67.0,14.0,7.0,23.0,25.0,30.0,0.0,21.0,6.0,5.0,24.0,3.0,2.0,25.0,14.0,0.0,33.0,17.0,1.0,0.0,24.0,12.0,1.0,8.0,5.0,0.0,31.0,2.0,2.0,5.0,0.0,5.0,0.0,15.0,29.0,8.0,13.0,30.0,3.0,28.0,13.0,1.0,0.0,0.0,16.0,1.0,0.0,3.0,2.0,0.0,2.0
wh_vs_that_with_gap,2.0,8.0,1.0,2.0,23.0,0.0,0.0,5.0,6.0,384.0,5.0,3.0,3.0,4.0,0.0,0.0,3.0,13.0,3.0,0.0,11.0,11.0,0.0,1.0,3.0,202.0,1.0,4.0,26.0,3.0,1.0,2.0,4.0,14.0,0.0,0.0,12.0,0.0,0.0,31.0,6.0,23.0,5.0,35.0,4.0,0.0,0.0,11.0,1.0,0.0,10.0,11.0,6.0,6.0,8.0,11.0,47.0,2.0,1.0,2.0,11.0,33.0,3.0,7.0,2.0,5.0,0.0
