,irregular_plural_subject_verb_agreement_2,left_branch_island_echo_question,expletive_it_object_raising,animate_subject_passive,transitive,regular_plural_subject_verb_agreement_2,irregular_plural_subject_verb_agreement_1,wh_questions_subject_gap,passive_2,wh_vs_that_with_gap,npi_present_1,determiner_noun_agreement_with_adj_irregular_1,principle_A_domain_1,principle_A_case_1,only_npi_scope,irregular_past_participle_verbs,passive_1,ellipsis_n_bar_1,wh_island,determiner_noun_agreement_irregular_1,distractor_agreement_relative_clause,principle_A_case_2,wh_vs_that_no_gap_long_distance,distractor_agreement_relational_noun,sentential_subject_island,wh_vs_that_with_gap_long_distance,wh_questions_object_gap,npi_present_2,drop_argument,determiner_noun_agreement_with_adjective_1,existential_there_subject_raising,wh_questions_subject_gap_long_distance,determiner_noun_agreement_with_adj_irregular_2,coordinate_structure_constraint_object_extraction,only_npi_licensor_present,existential_there_quantifiers_2,determiner_noun_agreement_1,regular_plural_subject_verb_agreement_1,wh_vs_that_no_gap,ellipsis_n_bar_2,principle_A_domain_2,adjunct_island,determiner_noun_agreement_with_adj_2,intransitive,principle_A_domain_3,animate_subject_trans,matrix_question_npi_licensor_present,complex_NP_island,existential_there_quantifiers_1,irregular_past_participle_adjectives,determiner_noun_agreement_irregular_2,principle_A_reconstruction,causative,existential_there_object_raising,superlative_quantifiers_1,determiner_noun_agreement_2,tough_vs_raising_1,anaphor_gender_agreement,coordinate_structure_constraint_complex_left_branch,principle_A_c_command,tough_vs_raising_2,inchoative,sentential_negation_npi_licensor_present,left_branch_island_simple_question,superlative_quantifiers_2,sentential_negation_npi_scope,anaphor_number_agreement
irregular_plural_subject_verb_agreement_2,4300.0,109.0,776.0,613.0,1429.0,3281.0,2265.0,851.0,1559.0,779.0,617.0,1647.0,661.0,1099.0,553.0,1210.0,1244.0,796.0,238.0,1479.0,1427.0,1144.0,460.0,2074.0,69.0,573.0,741.0,906.0,1382.0,1569.0,1154.0,226.0,1642.0,285.0,1135.0,220.0,1536.0,2092.0,566.0,364.0,928.0,292.0,1566.0,1460.0,644.0,567.0,267.0,153.0,1283.0,1057.0,1466.0,86.0,1216.0,925.0,602.0,1509.0,798.0,1251.0,466.0,1185.0,845.0,1243.0,930.0,381.0,334.0,450.0,1721.0
left_branch_island_echo_question,109.0,4300.0,130.0,319.0,112.0,131.0,113.0,187.0,151.0,199.0,336.0,102.0,472.0,226.0,171.0,326.0,180.0,313.0,382.0,142.0,103.0,142.0,272.0,81.0,539.0,212.0,343.0,291.0,152.0,116.0,154.0,415.0,114.0,308.0,121.0,367.0,141.0,163.0,308.0,365.0,93.0,456.0,105.0,150.0,93.0,354.0,463.0,325.0,125.0,376.0,197.0,577.0,155.0,147.0,308.0,135.0,191.0,114.0,219.0,164.0,313.0,177.0,256.0,451.0,378.0,160.0,75.0
expletive_it_object_raising,776.0,130.0,4300.0,893.0,1496.0,727.0,849.0,1628.0,1030.0,816.0,653.0,1108.0,623.0,872.0,1133.0,582.0,1186.0,917.0,202.0,1006.0,1351.0,1412.0,1342.0,838.0,59.0,679.0,1148.0,914.0,1038.0,1115.0,1251.0,491.0,1076.0,244.0,816.0,229.0,969.0,976.0,1512.0,741.0,1009.0,283.0,1123.0,942.0,764.0,554.0,269.0,187.0,974.0,392.0,831.0,87.0,936.0,2473.0,437.0,976.0,841.0,1097.0,482.0,891.0,988.0,756.0,985.0,301.0,346.0,1131.0,1053.0
animate_subject_passive,613.0,319.0,893.0,4300.0,1170.0,605.0,556.0,957.0,926.0,797.0,607.0,917.0,846.0,682.0,682.0,685.0,881.0,943.0,413.0,973.0,779.0,763.0,620.0,616.0,291.0,647.0,1027.0,722.0,866.0,936.0,677.0,490.0,875.0,352.0,612.0,366.0,906.0,757.0,825.0,848.0,597.0,529.0,957.0,817.0,432.0,881.0,397.0,396.0,656.0,381.0,836.0,362.0,832.0,770.0,434.0,886.0,741.0,985.0,507.0,585.0,656.0,589.0,766.0,477.0,486.0,613.0,722.0
transitive,1429.0,112.0,1496.0,1170.0,4300.0,1350.0,1533.0,1764.0,1738.0,1132.0,756.0,1873.0,997.0,1492.0,938.0,1140.0,1996.0,1250.0,345.0,1658.0,1759.0,1756.0,869.0,1577.0,77.0,874.0,1420.0,1156.0,1528.0,1908.0,1398.0,521.0,1854.0,316.0,1279.0,251.0,1795.0,2054.0,1098.0,780.0,1248.0,454.0,1926.0,1425.0,949.0,994.0,386.0,236.0,1409.0,514.0,1500.0,83.0,1891.0,1605.0,613.0,1782.0,1161.0,1663.0,744.0,1210.0,1060.0,1155.0,1223.0,513.0,524.0,866.0,1683.0
regular_plural_subject_verb_agreement_2,3281.0,131.0,727.0,605.0,1350.0,4300.0,2221.0,852.0,1474.0,801.0,599.0,1566.0,645.0,1050.0,563.0,1235.0,1188.0,797.0,249.0,1464.0,1418.0,1079.0,453.0,2065.0,83.0,607.0,718.0,851.0,1347.0,1541.0,1131.0,227.0,1585.0,301.0,1074.0,209.0,1526.0,2054.0,531.0,354.0,837.0,305.0,1538.0,1457.0,607.0,543.0,254.0,157.0,1164.0,1120.0,1448.0,116.0,1201.0,909.0,652.0,1504.0,772.0,1129.0,464.0,1169.0,861.0,1256.0,886.0,382.0,334.0,480.0,1590.0
irregular_plural_subject_verb_agreement_1,2265.0,113.0,849.0,556.0,1533.0,2221.0,4300.0,937.0,1570.0,878.0,656.0,1826.0,650.0,1241.0,662.0,1087.0,1487.0,792.0,275.0,1616.0,1658.0,1305.0,531.0,2383.0,78.0,645.0,722.0,905.0,1172.0,1756.0,1529.0,279.0,1811.0,323.0,1158.0,212.0,1700.0,2220.0,597.0,372.0,1136.0,308.0,1725.0,1249.0,804.0,477.0,321.0,172.0,1366.0,970.0,1584.0,97.0,1397.0,1106.0,742.0,1701.0,860.0,1341.0,543.0,1307.0,1006.0,1143.0,1061.0,424.0,296.0,584.0,1872.0
wh_questions_subject_gap,851.0,187.0,1628.0,957.0,1764.0,852.0,937.0,4300.0,1079.0,858.0,693.0,1401.0,795.0,1017.0,1076.0,772.0,1123.0,1113.0,319.0,1236.0,1584.0,1551.0,1445.0,954.0,125.0,666.0,1977.0,1013.0,1257.0,1473.0,1249.0,1327.0,1368.0,259.0,929.0,282.0,1264.0,1153.0,1691.0,807.0,924.0,432.0,1482.0,1193.0,612.0,492.0,393.0,216.0,1124.0,420.0,1034.0,117.0,1144.0,1654.0,584.0,1279.0,1043.0,1149.0,605.0,1052.0,874.0,952.0,992.0,360.0,579.0,926.0,1137.0
passive_2,1559.0,151.0,1030.0,926.0,1738.0,1474.0,1570.0,1079.0,4300.0,894.0,621.0,1651.0,879.0,1038.0,696.0,928.0,1817.0,889.0,364.0,1469.0,1294.0,1317.0,460.0,1581.0,223.0,705.0,997.0,907.0,1230.0,1605.0,1273.0,259.0,1623.0,409.0,1074.0,242.0,1532.0,1569.0,634.0,427.0,1056.0,379.0,1593.0,1174.0,748.0,520.0,319.0,261.0,1305.0,751.0,1310.0,284.0,1177.0,1188.0,627.0,1485.0,1042.0,1598.0,567.0,1150.0,967.0,973.0,1133.0,502.0,352.0,659.0,1709.0
wh_vs_that_with_gap,779.0,199.0,816.0,797.0,1132.0,801.0,878.0,858.0,894.0,4300.0,545.0,1404.0,589.0,739.0,822.0,624.0,837.0,1032.0,481.0,1465.0,1222.0,1068.0,382.0,814.0,236.0,2952.0,862.0,635.0,1235.0,1525.0,888.0,353.0,1398.0,417.0,719.0,235.0,1505.0,971.0,365.0,879.0,718.0,636.0,1542.0,1252.0,532.0,571.0,369.0,453.0,668.0,422.0,1304.0,307.0,904.0,965.0,541.0,1494.0,1252.0,793.0,727.0,753.0,737.0,893.0,603.0,480.0,378.0,598.0,860.0
