,irregular_plural_subject_verb_agreement_2,left_branch_island_echo_question,expletive_it_object_raising,animate_subject_passive,transitive,regular_plural_subject_verb_agreement_2,irregular_plural_subject_verb_agreement_1,wh_questions_subject_gap,passive_2,wh_vs_that_with_gap,npi_present_1,determiner_noun_agreement_with_adj_irregular_1,principle_A_domain_1,principle_A_case_1,only_npi_scope,irregular_past_participle_verbs,passive_1,ellipsis_n_bar_1,wh_island,determiner_noun_agreement_irregular_1,distractor_agreement_relative_clause,principle_A_case_2,wh_vs_that_no_gap_long_distance,distractor_agreement_relational_noun,sentential_subject_island,wh_vs_that_with_gap_long_distance,wh_questions_object_gap,npi_present_2,drop_argument,determiner_noun_agreement_with_adjective_1,existential_there_subject_raising,wh_questions_subject_gap_long_distance,determiner_noun_agreement_with_adj_irregular_2,coordinate_structure_constraint_object_extraction,only_npi_licensor_present,existential_there_quantifiers_2,determiner_noun_agreement_1,regular_plural_subject_verb_agreement_1,wh_vs_that_no_gap,ellipsis_n_bar_2,principle_A_domain_2,adjunct_island,determiner_noun_agreement_with_adj_2,intransitive,principle_A_domain_3,animate_subject_trans,matrix_question_npi_licensor_present,complex_NP_island,existential_there_quantifiers_1,irregular_past_participle_adjectives,determiner_noun_agreement_irregular_2,principle_A_reconstruction,causative,existential_there_object_raising,superlative_quantifiers_1,determiner_noun_agreement_2,tough_vs_raising_1,anaphor_gender_agreement,coordinate_structure_constraint_complex_left_branch,principle_A_c_command,tough_vs_raising_2,inchoative,sentential_negation_npi_licensor_present,left_branch_island_simple_question,superlative_quantifiers_2,sentential_negation_npi_scope,anaphor_number_agreement
irregular_plural_subject_verb_agreement_2,6553.0,188.0,1064.0,577.0,1776.0,4811.0,3269.0,1002.0,1589.0,840.0,457.0,2203.0,688.0,1855.0,405.0,2002.0,1394.0,641.0,480.0,2041.0,1683.0,1557.0,808.0,2990.0,131.0,618.0,753.0,722.0,1951.0,2049.0,1308.0,464.0,2255.0,570.0,1294.0,204.0,2088.0,3162.0,1062.0,363.0,1472.0,364.0,2043.0,2178.0,1266.0,1179.0,346.0,224.0,1532.0,1493.0,2132.0,305.0,1682.0,948.0,584.0,2039.0,1281.0,1561.0,689.0,1164.0,1165.0,1812.0,1267.0,706.0,820.0,576.0,2384.0
left_branch_island_echo_question,188.0,6553.0,235.0,661.0,276.0,190.0,178.0,384.0,386.0,356.0,472.0,339.0,813.0,345.0,304.0,419.0,353.0,610.0,462.0,324.0,173.0,224.0,298.0,162.0,714.0,417.0,632.0,455.0,232.0,332.0,241.0,450.0,323.0,631.0,262.0,390.0,327.0,202.0,400.0,585.0,245.0,648.0,333.0,265.0,188.0,366.0,465.0,417.0,253.0,350.0,338.0,512.0,400.0,252.0,595.0,343.0,291.0,281.0,386.0,448.0,396.0,280.0,439.0,781.0,449.0,295.0,151.0
expletive_it_object_raising,1064.0,235.0,6553.0,901.0,1779.0,939.0,1185.0,1962.0,1045.0,1360.0,535.0,1381.0,565.0,1640.0,727.0,856.0,1621.0,933.0,386.0,1418.0,1981.0,2041.0,2155.0,1371.0,253.0,1046.0,1263.0,814.0,1207.0,1530.0,1624.0,1018.0,1396.0,425.0,930.0,289.0,1381.0,1272.0,2250.0,802.0,1264.0,336.0,1515.0,1126.0,1108.0,1060.0,334.0,282.0,1005.0,532.0,1328.0,292.0,1009.0,3258.0,531.0,1336.0,1084.0,929.0,779.0,810.0,1496.0,857.0,963.0,535.0,725.0,1113.0,1138.0
animate_subject_passive,577.0,661.0,901.0,6553.0,1132.0,518.0,500.0,845.0,902.0,1029.0,557.0,933.0,1269.0,770.0,439.0,716.0,801.0,1210.0,677.0,987.0,794.0,725.0,892.0,512.0,594.0,857.0,1048.0,602.0,815.0,995.0,619.0,728.0,963.0,639.0,367.0,411.0,1038.0,595.0,920.0,1335.0,434.0,946.0,1012.0,820.0,327.0,959.0,693.0,830.0,482.0,393.0,991.0,505.0,765.0,786.0,597.0,1017.0,705.0,851.0,533.0,707.0,775.0,567.0,726.0,690.0,662.0,553.0,558.0
transitive,1776.0,276.0,1779.0,1132.0,6553.0,1644.0,1834.0,1990.0,1943.0,1591.0,578.0,2369.0,988.0,2082.0,630.0,1587.0,2719.0,1118.0,640.0,2182.0,2010.0,2261.0,1461.0,2041.0,290.0,1157.0,1497.0,915.0,1826.0,2447.0,1581.0,891.0,2328.0,773.0,1122.0,150.0,2345.0,2500.0,1936.0,810.0,1357.0,617.0,2419.0,1603.0,1278.0,1855.0,338.0,486.0,1316.0,716.0,2212.0,316.0,2238.0,1643.0,635.0,2304.0,1547.0,1244.0,971.0,1045.0,1683.0,1186.0,1296.0,950.0,1052.0,849.0,1663.0
regular_plural_subject_verb_agreement_2,4811.0,190.0,939.0,518.0,1644.0,6553.0,3240.0,910.0,1537.0,798.0,490.0,2042.0,620.0,1640.0,424.0,1954.0,1332.0,618.0,509.0,1953.0,1661.0,1323.0,774.0,2980.0,144.0,572.0,712.0,707.0,1798.0,1961.0,1288.0,467.0,2122.0,574.0,1238.0,195.0,2024.0,3076.0,992.0,346.0,1360.0,342.0,1953.0,2131.0,1203.0,1073.0,329.0,212.0,1417.0,1612.0,2052.0,362.0,1619.0,876.0,590.0,1977.0,1143.0,1351.0,682.0,1173.0,1165.0,1887.0,1157.0,692.0,781.0,583.0,2181.0
irregular_plural_subject_verb_agreement_1,3269.0,178.0,1185.0,500.0,1834.0,3240.0,6553.0,1185.0,1582.0,937.0,527.0,2156.0,695.0,1974.0,450.0,1505.0,1753.0,612.0,526.0,2008.0,1913.0,1692.0,856.0,3546.0,138.0,638.0,796.0,792.0,1611.0,2086.0,1861.0,502.0,2197.0,557.0,1325.0,150.0,2047.0,3186.0,1173.0,354.0,1579.0,396.0,2048.0,1800.0,1360.0,863.0,423.0,254.0,1670.0,1328.0,2022.0,327.0,1675.0,1141.0,698.0,2009.0,1270.0,1412.0,731.0,1307.0,1421.0,1544.0,1235.0,750.0,754.0,678.0,2378.0
wh_questions_subject_gap,1002.0,384.0,1962.0,845.0,1990.0,910.0,1185.0,6553.0,988.0,1244.0,472.0,1692.0,761.0,1654.0,581.0,985.0,1443.0,1148.0,485.0,1570.0,2246.0,2156.0,2498.0,1395.0,326.0,895.0,2566.0,716.0,1392.0,1983.0,1410.0,2608.0,1684.0,589.0,853.0,244.0,1693.0,1325.0,2886.0,955.0,1238.0,596.0,1943.0,1255.0,989.0,924.0,304.0,367.0,1195.0,527.0,1494.0,311.0,1328.0,1892.0,592.0,1663.0,1216.0,753.0,819.0,925.0,1395.0,997.0,1120.0,688.0,1003.0,946.0,1121.0
passive_2,1589.0,386.0,1045.0,902.0,1943.0,1537.0,1582.0,988.0,6553.0,992.0,500.0,1546.0,925.0,1248.0,454.0,1205.0,2112.0,796.0,601.0,1560.0,1110.0,1205.0,698.0,1583.0,553.0,783.0,1008.0,708.0,1203.0,1542.0,1166.0,485.0,1506.0,831.0,763.0,208.0,1589.0,1574.0,926.0,593.0,1004.0,546.0,1500.0,1166.0,964.0,968.0,418.0,585.0,1052.0,847.0,1539.0,599.0,1273.0,893.0,567.0,1581.0,1219.0,1137.0,683.0,937.0,1149.0,955.0,965.0,877.0,552.0,523.0,1473.0
wh_vs_that_with_gap,840.0,356.0,1360.0,1029.0,1591.0,798.0,937.0,1244.0,992.0,6553.0,614.0,1734.0,640.0,1059.0,692.0,729.0,1147.0,1152.0,712.0,1828.0,1800.0,1440.0,1086.0,1014.0,597.0,4054.0,1330.0,662.0,1390.0,1984.0,1109.0,900.0,1773.0,848.0,708.0,297.0,1862.0,1049.0,952.0,1311.0,917.0,618.0,2001.0,1362.0,795.0,951.0,410.0,668.0,677.0,537.0,1722.0,650.0,1055.0,1371.0,574.0,1864.0,1482.0,657.0,1025.0,825.0,1163.0,1033.0,689.0,938.0,738.0,703.0,895.0
