,irregular_plural_subject_verb_agreement_2,left_branch_island_echo_question,expletive_it_object_raising,animate_subject_passive,transitive,regular_plural_subject_verb_agreement_2,irregular_plural_subject_verb_agreement_1,wh_questions_subject_gap,passive_2,wh_vs_that_with_gap,npi_present_1,determiner_noun_agreement_with_adj_irregular_1,principle_A_domain_1,principle_A_case_1,only_npi_scope,irregular_past_participle_verbs,passive_1,ellipsis_n_bar_1,wh_island,determiner_noun_agreement_irregular_1,distractor_agreement_relative_clause,principle_A_case_2,wh_vs_that_no_gap_long_distance,distractor_agreement_relational_noun,sentential_subject_island,wh_vs_that_with_gap_long_distance,wh_questions_object_gap,npi_present_2,drop_argument,determiner_noun_agreement_with_adjective_1,existential_there_subject_raising,wh_questions_subject_gap_long_distance,determiner_noun_agreement_with_adj_irregular_2,coordinate_structure_constraint_object_extraction,only_npi_licensor_present,existential_there_quantifiers_2,determiner_noun_agreement_1,regular_plural_subject_verb_agreement_1,wh_vs_that_no_gap,ellipsis_n_bar_2,principle_A_domain_2,adjunct_island,determiner_noun_agreement_with_adj_2,intransitive,principle_A_domain_3,animate_subject_trans,matrix_question_npi_licensor_present,complex_NP_island,existential_there_quantifiers_1,irregular_past_participle_adjectives,determiner_noun_agreement_irregular_2,principle_A_reconstruction,causative,existential_there_object_raising,superlative_quantifiers_1,determiner_noun_agreement_2,tough_vs_raising_1,anaphor_gender_agreement,coordinate_structure_constraint_complex_left_branch,principle_A_c_command,tough_vs_raising_2,inchoative,sentential_negation_npi_licensor_present,left_branch_island_simple_question,superlative_quantifiers_2,sentential_negation_npi_scope,anaphor_number_agreement
irregular_plural_subject_verb_agreement_2,675.0,0.0,67.0,15.0,92.0,517.0,369.0,19.0,74.0,66.0,53.0,222.0,4.0,83.0,1.0,57.0,46.0,16.0,11.0,194.0,252.0,113.0,44.0,337.0,0.0,43.0,3.0,54.0,56.0,242.0,97.0,7.0,246.0,33.0,7.0,4.0,225.0,194.0,27.0,3.0,22.0,10.0,245.0,110.0,21.0,36.0,2.0,6.0,55.0,72.0,196.0,6.0,58.0,63.0,0.0,226.0,38.0,49.0,14.0,45.0,80.0,101.0,19.0,23.0,32.0,14.0,130.0
left_branch_island_echo_question,0.0,675.0,0.0,12.0,0.0,0.0,1.0,9.0,7.0,1.0,5.0,2.0,18.0,2.0,25.0,14.0,4.0,11.0,3.0,1.0,5.0,1.0,6.0,0.0,13.0,1.0,16.0,7.0,5.0,2.0,2.0,16.0,2.0,7.0,10.0,29.0,3.0,2.0,7.0,16.0,0.0,6.0,2.0,6.0,0.0,11.0,29.0,4.0,4.0,11.0,3.0,21.0,9.0,4.0,26.0,3.0,3.0,6.0,17.0,8.0,14.0,6.0,7.0,27.0,10.0,4.0,1.0
expletive_it_object_raising,67.0,0.0,675.0,1.0,100.0,57.0,67.0,34.0,39.0,19.0,26.0,64.0,1.0,55.0,2.0,19.0,57.0,9.0,3.0,52.0,73.0,83.0,90.0,67.0,0.0,9.0,1.0,18.0,26.0,77.0,78.0,5.0,53.0,12.0,17.0,7.0,65.0,57.0,82.0,4.0,36.0,9.0,79.0,51.0,57.0,15.0,5.0,1.0,70.0,18.0,53.0,0.0,26.0,246.0,5.0,71.0,26.0,15.0,26.0,8.0,41.0,40.0,35.0,5.0,10.0,35.0,38.0
animate_subject_passive,15.0,12.0,1.0,675.0,40.0,16.0,10.0,8.0,37.0,28.0,11.0,26.0,36.0,24.0,19.0,19.0,30.0,41.0,15.0,42.0,13.0,18.0,13.0,7.0,23.0,19.0,25.0,17.0,30.0,28.0,1.0,14.0,26.0,23.0,10.0,9.0,33.0,9.0,11.0,34.0,3.0,22.0,27.0,23.0,1.0,24.0,3.0,16.0,8.0,14.0,38.0,19.0,28.0,2.0,19.0,36.0,16.0,53.0,3.0,7.0,19.0,22.0,19.0,12.0,15.0,4.0,5.0
transitive,92.0,0.0,100.0,40.0,675.0,90.0,86.0,40.0,135.0,66.0,37.0,112.0,8.0,92.0,8.0,37.0,182.0,25.0,2.0,113.0,102.0,87.0,80.0,76.0,4.0,49.0,5.0,31.0,49.0,135.0,54.0,9.0,108.0,23.0,16.0,2.0,132.0,104.0,60.0,29.0,34.0,25.0,127.0,64.0,33.0,77.0,6.0,1.0,68.0,32.0,115.0,3.0,100.0,84.0,1.0,137.0,51.0,22.0,17.0,17.0,43.0,72.0,38.0,18.0,34.0,23.0,39.0
regular_plural_subject_verb_agreement_2,517.0,0.0,57.0,16.0,90.0,675.0,364.0,19.0,65.0,60.0,50.0,227.0,6.0,85.0,1.0,63.0,42.0,17.0,10.0,200.0,256.0,107.0,54.0,328.0,1.0,41.0,3.0,56.0,68.0,248.0,89.0,7.0,241.0,31.0,11.0,4.0,223.0,197.0,38.0,5.0,20.0,10.0,247.0,118.0,21.0,31.0,1.0,7.0,48.0,72.0,190.0,6.0,71.0,44.0,1.0,226.0,42.0,38.0,11.0,44.0,78.0,109.0,19.0,24.0,28.0,15.0,119.0
irregular_plural_subject_verb_agreement_1,369.0,1.0,67.0,10.0,86.0,364.0,675.0,21.0,78.0,57.0,45.0,207.0,4.0,85.0,4.0,44.0,51.0,14.0,5.0,180.0,268.0,116.0,54.0,387.0,0.0,32.0,4.0,52.0,41.0,224.0,126.0,5.0,227.0,25.0,8.0,4.0,206.0,227.0,41.0,4.0,25.0,12.0,227.0,97.0,27.0,18.0,2.0,2.0,81.0,81.0,171.0,9.0,69.0,61.0,1.0,197.0,55.0,38.0,14.0,44.0,74.0,103.0,23.0,13.0,17.0,10.0,149.0
wh_questions_subject_gap,19.0,9.0,34.0,8.0,40.0,19.0,21.0,675.0,21.0,7.0,28.0,11.0,13.0,8.0,12.0,12.0,27.0,19.0,6.0,15.0,50.0,24.0,133.0,22.0,8.0,4.0,68.0,28.0,21.0,23.0,21.0,225.0,12.0,9.0,26.0,22.0,21.0,23.0,140.0,8.0,14.0,12.0,28.0,24.0,15.0,13.0,9.0,9.0,25.0,8.0,17.0,8.0,18.0,29.0,15.0,26.0,25.0,14.0,9.0,5.0,24.0,22.0,23.0,8.0,24.0,26.0,14.0
passive_2,74.0,7.0,39.0,37.0,135.0,65.0,78.0,21.0,675.0,43.0,24.0,65.0,12.0,46.0,12.0,27.0,177.0,25.0,9.0,81.0,50.0,33.0,24.0,79.0,23.0,38.0,35.0,27.0,16.0,76.0,33.0,4.0,71.0,27.0,12.0,9.0,76.0,39.0,15.0,8.0,15.0,8.0,79.0,20.0,25.0,9.0,2.0,5.0,34.0,14.0,74.0,28.0,32.0,34.0,5.0,78.0,41.0,14.0,9.0,17.0,26.0,22.0,15.0,28.0,12.0,11.0,47.0
wh_vs_that_with_gap,66.0,1.0,19.0,28.0,66.0,60.0,57.0,7.0,43.0,675.0,32.0,111.0,16.0,47.0,14.0,26.0,24.0,40.0,10.0,125.0,50.0,39.0,10.0,47.0,14.0,365.0,4.0,27.0,65.0,118.0,43.0,10.0,116.0,39.0,7.0,6.0,117.0,43.0,1.0,33.0,20.0,14.0,114.0,91.0,17.0,17.0,1.0,19.0,9.0,14.0,131.0,9.0,31.0,22.0,7.0,126.0,60.0,14.0,21.0,12.0,35.0,57.0,9.0,28.0,36.0,7.0,25.0
npi_present_1,53.0,5.0,26.0,11.0,37.0,50.0,45.0,28.0,24.0,32.0,675.0,40.0,14.0,14.0,7.0,22.0,16.0,15.0,12.0,49.0,43.0,32.0,45.0,41.0,11.0,24.0,23.0,439.0,14.0,41.0,44.0,14.0,39.0,15.0,12.0,7.0,46.0,34.0,38.0,10.0,16.0,7.0,43.0,22.0,14.0,13.0,5.0,3.0,12.0,10.0,51.0,13.0,17.0,31.0,4.0,42.0,15.0,9.0,14.0,17.0,38.0,19.0,14.0,11.0,66.0,21.0,16.0
determiner_noun_agreement_with_adj_irregular_1,222.0,2.0,64.0,26.0,112.0,227.0,207.0,11.0,65.0,111.0,40.0,675.0,6.0,87.0,6.0,47.0,52.0,24.0,10.0,405.0,198.0,107.0,45.0,222.0,2.0,77.0,6.0,49.0,75.0,465.0,94.0,10.0,528.0,38.0,5.0,5.0,420.0,149.0,31.0,10.0,18.0,8.0,473.0,120.0,21.0,42.0,1.0,9.0,56.0,50.0,417.0,5.0,82.0,64.0,3.0,405.0,45.0,28.0,21.0,26.0,80.0,87.0,21.0,30.0,18.0,11.0,103.0
principle_A_domain_1,4.0,18.0,1.0,36.0,8.0,6.0,4.0,13.0,12.0,16.0,14.0,6.0,675.0,31.0,17.0,33.0,12.0,73.0,22.0,4.0,1.0,2.0,10.0,2.0,22.0,9.0,82.0,15.0,4.0,4.0,3.0,23.0,2.0,6.0,29.0,51.0,3.0,3.0,11.0,12.0,1.0,35.0,4.0,5.0,0.0,10.0,20.0,32.0,7.0,15.0,5.0,43.0,8.0,5.0,23.0,4.0,2.0,10.0,1.0,4.0,8.0,5.0,10.0,15.0,10.0,0.0,1.0
principle_A_case_1,83.0,2.0,55.0,24.0,92.0,85.0,85.0,8.0,46.0,47.0,14.0,87.0,31.0,675.0,6.0,53.0,57.0,16.0,18.0,75.0,64.0,64.0,31.0,74.0,5.0,35.0,11.0,16.0,57.0,87.0,38.0,1.0,80.0,22.0,14.0,6.0,82.0,89.0,55.0,22.0,44.0,8.0,90.0,68.0,35.0,48.0,5.0,9.0,55.0,22.0,66.0,7.0,89.0,54.0,3.0,92.0,34.0,23.0,15.0,20.0,31.0,60.0,41.0,27.0,12.0,8.0,57.0
only_npi_scope,1.0,25.0,2.0,19.0,8.0,1.0,4.0,12.0,12.0,14.0,7.0,6.0,17.0,6.0,675.0,12.0,4.0,16.0,18.0,3.0,4.0,9.0,7.0,2.0,22.0,19.0,12.0,8.0,9.0,4.0,2.0,11.0,5.0,10.0,38.0,17.0,6.0,7.0,5.0,10.0,3.0,16.0,4.0,6.0,2.0,5.0,2.0,6.0,6.0,13.0,7.0,30.0,14.0,5.0,17.0,6.0,5.0,10.0,7.0,6.0,9.0,7.0,8.0,14.0,4.0,10.0,1.0
irregular_past_participle_verbs,57.0,14.0,19.0,19.0,37.0,63.0,44.0,12.0,27.0,26.0,22.0,47.0,33.0,53.0,12.0,675.0,20.0,28.0,10.0,57.0,58.0,39.0,26.0,41.0,7.0,18.0,27.0,23.0,52.0,55.0,19.0,13.0,52.0,19.0,34.0,39.0,55.0,61.0,42.0,25.0,12.0,13.0,55.0,67.0,5.0,29.0,13.0,15.0,16.0,14.0,57.0,15.0,39.0,8.0,12.0,59.0,23.0,12.0,6.0,21.0,22.0,63.0,27.0,11.0,30.0,11.0,20.0
passive_1,46.0,4.0,57.0,30.0,182.0,42.0,51.0,27.0,177.0,24.0,16.0,52.0,12.0,57.0,4.0,20.0,675.0,16.0,5.0,42.0,41.0,38.0,36.0,49.0,6.0,13.0,2.0,14.0,21.0,51.0,17.0,11.0,50.0,9.0,9.0,7.0,53.0,56.0,34.0,8.0,18.0,16.0,50.0,18.0,15.0,31.0,1.0,2.0,37.0,18.0,47.0,4.0,33.0,47.0,1.0,56.0,45.0,13.0,10.0,13.0,18.0,20.0,18.0,7.0,10.0,9.0,25.0
ellipsis_n_bar_1,16.0,11.0,9.0,41.0,25.0,17.0,14.0,19.0,25.0,40.0,15.0,24.0,73.0,16.0,16.0,28.0,16.0,675.0,12.0,26.0,20.0,15.0,12.0,18.0,13.0,33.0,57.0,18.0,8.0,25.0,10.0,20.0,21.0,11.0,21.0,46.0,22.0,13.0,16.0,34.0,9.0,28.0,25.0,17.0,3.0,16.0,23.0,25.0,7.0,8.0,25.0,39.0,8.0,7.0,29.0,24.0,14.0,16.0,7.0,18.0,17.0,12.0,13.0,19.0,28.0,3.0,15.0
wh_island,11.0,3.0,3.0,15.0,2.0,10.0,5.0,6.0,9.0,10.0,12.0,10.0,22.0,18.0,18.0,10.0,5.0,12.0,675.0,12.0,5.0,9.0,3.0,6.0,21.0,13.0,33.0,11.0,4.0,11.0,6.0,7.0,11.0,40.0,9.0,17.0,14.0,7.0,9.0,10.0,4.0,18.0,10.0,8.0,7.0,4.0,6.0,37.0,4.0,5.0,14.0,36.0,6.0,4.0,9.0,13.0,8.0,13.0,7.0,12.0,12.0,6.0,10.0,27.0,12.0,6.0,4.0
