,irregular_plural_subject_verb_agreement_2,left_branch_island_echo_question,expletive_it_object_raising,animate_subject_passive,transitive,regular_plural_subject_verb_agreement_2,irregular_plural_subject_verb_agreement_1,wh_questions_subject_gap,passive_2,wh_vs_that_with_gap,npi_present_1,determiner_noun_agreement_with_adj_irregular_1,principle_A_domain_1,principle_A_case_1,only_npi_scope,irregular_past_participle_verbs,passive_1,ellipsis_n_bar_1,wh_island,determiner_noun_agreement_irregular_1,distractor_agreement_relative_clause,principle_A_case_2,wh_vs_that_no_gap_long_distance,distractor_agreement_relational_noun,sentential_subject_island,wh_vs_that_with_gap_long_distance,wh_questions_object_gap,npi_present_2,drop_argument,determiner_noun_agreement_with_adjective_1,existential_there_subject_raising,wh_questions_subject_gap_long_distance,determiner_noun_agreement_with_adj_irregular_2,coordinate_structure_constraint_object_extraction,only_npi_licensor_present,existential_there_quantifiers_2,determiner_noun_agreement_1,regular_plural_subject_verb_agreement_1,wh_vs_that_no_gap,ellipsis_n_bar_2,principle_A_domain_2,adjunct_island,determiner_noun_agreement_with_adj_2,intransitive,principle_A_domain_3,animate_subject_trans,matrix_question_npi_licensor_present,complex_NP_island,existential_there_quantifiers_1,irregular_past_participle_adjectives,determiner_noun_agreement_irregular_2,principle_A_reconstruction,causative,existential_there_object_raising,superlative_quantifiers_1,determiner_noun_agreement_2,tough_vs_raising_1,anaphor_gender_agreement,coordinate_structure_constraint_complex_left_branch,principle_A_c_command,tough_vs_raising_2,inchoative,sentential_negation_npi_licensor_present,left_branch_island_simple_question,superlative_quantifiers_2,sentential_negation_npi_scope,anaphor_number_agreement
irregular_plural_subject_verb_agreement_2,1228.0,3.0,94.0,28.0,64.0,766.0,665.0,48.0,80.0,10.0,12.0,85.0,11.0,54.0,24.0,120.0,127.0,8.0,5.0,50.0,253.0,123.0,49.0,318.0,4.0,12.0,19.0,24.0,11.0,63.0,62.0,35.0,80.0,7.0,42.0,15.0,51.0,435.0,50.0,7.0,68.0,1.0,66.0,15.0,77.0,54.0,2.0,4.0,49.0,64.0,71.0,24.0,76.0,94.0,17.0,54.0,19.0,26.0,6.0,51.0,47.0,14.0,28.0,6.0,22.0,54.0,170.0
left_branch_island_echo_question,3.0,1228.0,8.0,9.0,5.0,2.0,3.0,13.0,3.0,11.0,26.0,0.0,19.0,16.0,4.0,12.0,8.0,6.0,19.0,0.0,0.0,3.0,6.0,3.0,8.0,14.0,4.0,21.0,23.0,0.0,11.0,10.0,0.0,24.0,13.0,25.0,0.0,5.0,7.0,3.0,1.0,34.0,0.0,9.0,0.0,17.0,14.0,14.0,25.0,22.0,0.0,5.0,3.0,7.0,18.0,0.0,1.0,19.0,17.0,18.0,10.0,15.0,22.0,50.0,15.0,1.0,5.0
expletive_it_object_raising,94.0,8.0,1228.0,25.0,47.0,71.0,84.0,17.0,58.0,1.0,25.0,22.0,6.0,42.0,58.0,32.0,122.0,2.0,4.0,17.0,107.0,48.0,85.0,88.0,4.0,1.0,11.0,42.0,2.0,16.0,125.0,24.0,21.0,2.0,39.0,46.0,19.0,74.0,99.0,9.0,20.0,1.0,17.0,0.0,24.0,12.0,2.0,4.0,62.0,21.0,24.0,27.0,10.0,513.0,10.0,21.0,5.0,8.0,19.0,13.0,59.0,2.0,55.0,3.0,22.0,119.0,38.0
animate_subject_passive,28.0,9.0,25.0,1228.0,44.0,20.0,13.0,10.0,89.0,38.0,5.0,138.0,32.0,14.0,14.0,39.0,23.0,71.0,31.0,151.0,17.0,19.0,12.0,7.0,56.0,32.0,30.0,7.0,25.0,151.0,1.0,19.0,147.0,20.0,13.0,8.0,149.0,17.0,28.0,127.0,12.0,35.0,149.0,34.0,8.0,17.0,63.0,19.0,20.0,15.0,155.0,49.0,19.0,8.0,9.0,151.0,73.0,58.0,26.0,17.0,6.0,24.0,14.0,28.0,15.0,15.0,26.0
transitive,64.0,5.0,47.0,44.0,1228.0,43.0,50.0,39.0,227.0,27.0,27.0,121.0,17.0,22.0,21.0,46.0,197.0,36.0,9.0,122.0,72.0,119.0,54.0,39.0,31.0,25.0,33.0,29.0,22.0,118.0,29.0,26.0,122.0,9.0,21.0,20.0,110.0,71.0,58.0,75.0,55.0,10.0,123.0,31.0,38.0,20.0,21.0,18.0,26.0,16.0,116.0,27.0,106.0,47.0,15.0,115.0,51.0,11.0,10.0,49.0,33.0,30.0,31.0,10.0,19.0,46.0,85.0
regular_plural_subject_verb_agreement_2,766.0,2.0,71.0,20.0,43.0,1228.0,711.0,49.0,53.0,16.0,13.0,75.0,14.0,46.0,27.0,100.0,123.0,10.0,4.0,45.0,221.0,97.0,42.0,293.0,4.0,16.0,19.0,23.0,9.0,62.0,72.0,38.0,73.0,5.0,49.0,25.0,53.0,481.0,46.0,10.0,41.0,1.0,62.0,13.0,53.0,57.0,1.0,3.0,36.0,68.0,62.0,22.0,68.0,68.0,20.0,55.0,16.0,27.0,4.0,32.0,41.0,15.0,24.0,6.0,15.0,41.0,132.0
irregular_plural_subject_verb_agreement_1,665.0,3.0,84.0,13.0,50.0,711.0,1228.0,46.0,58.0,16.0,9.0,54.0,6.0,63.0,44.0,105.0,142.0,7.0,5.0,36.0,300.0,142.0,48.0,402.0,3.0,13.0,22.0,25.0,7.0,43.0,86.0,33.0,54.0,11.0,72.0,22.0,37.0,482.0,52.0,9.0,44.0,1.0,40.0,12.0,48.0,44.0,3.0,5.0,31.0,61.0,48.0,24.0,71.0,89.0,11.0,40.0,12.0,25.0,7.0,36.0,38.0,12.0,38.0,8.0,18.0,48.0,140.0
wh_questions_subject_gap,48.0,13.0,17.0,10.0,39.0,49.0,46.0,1228.0,20.0,0.0,20.0,7.0,22.0,48.0,10.0,31.0,30.0,5.0,7.0,5.0,30.0,27.0,324.0,37.0,4.0,0.0,278.0,21.0,0.0,7.0,25.0,578.0,7.0,12.0,8.0,4.0,6.0,66.0,307.0,0.0,9.0,13.0,6.0,1.0,11.0,12.0,10.0,12.0,24.0,14.0,8.0,8.0,13.0,24.0,19.0,6.0,0.0,14.0,16.0,19.0,27.0,4.0,12.0,12.0,28.0,16.0,8.0
passive_2,80.0,3.0,58.0,89.0,227.0,53.0,58.0,20.0,1228.0,63.0,6.0,222.0,2.0,2.0,23.0,29.0,287.0,63.0,7.0,206.0,83.0,46.0,26.0,68.0,75.0,52.0,41.0,16.0,25.0,223.0,9.0,25.0,231.0,1.0,11.0,19.0,220.0,76.0,20.0,136.0,42.0,3.0,225.0,29.0,28.0,11.0,67.0,10.0,17.0,12.0,226.0,78.0,53.0,25.0,10.0,220.0,106.0,13.0,10.0,44.0,6.0,19.0,35.0,8.0,9.0,52.0,115.0
wh_vs_that_with_gap,10.0,11.0,1.0,38.0,27.0,16.0,16.0,0.0,63.0,1228.0,3.0,141.0,6.0,2.0,14.0,1.0,22.0,57.0,9.0,164.0,3.0,23.0,0.0,12.0,36.0,838.0,3.0,3.0,116.0,165.0,8.0,0.0,148.0,8.0,12.0,21.0,168.0,19.0,0.0,187.0,13.0,6.0,164.0,203.0,13.0,7.0,54.0,6.0,1.0,14.0,153.0,57.0,21.0,8.0,19.0,163.0,227.0,5.0,17.0,6.0,1.0,138.0,8.0,18.0,3.0,2.0,23.0
