,left_branch_island_echo_question,coordinate_structure_constraint_object_extraction,npi_present_1,determiner_noun_agreement_1,passive_2,left_branch_island_simple_question,causative,intransitive,wh_vs_that_no_gap,principle_A_c_command,transitive,determiner_noun_agreement_2,complex_NP_island,sentential_subject_island,drop_argument,determiner_noun_agreement_with_adj_irregular_1,principle_A_domain_1,regular_plural_subject_verb_agreement_1,wh_vs_that_with_gap,sentential_negation_npi_licensor_present,existential_there_object_raising,principle_A_case_1,passive_1,inchoative,distractor_agreement_relational_noun,irregular_past_participle_adjectives,adjunct_island,regular_plural_subject_verb_agreement_2,wh_vs_that_no_gap_long_distance,irregular_past_participle_verbs,ellipsis_n_bar_1,principle_A_reconstruction,wh_questions_subject_gap,tough_vs_raising_1,ellipsis_n_bar_2,wh_questions_subject_gap_long_distance,coordinate_structure_constraint_complex_left_branch,irregular_plural_subject_verb_agreement_2,animate_subject_passive,determiner_noun_agreement_with_adj_2,wh_questions_object_gap,npi_present_2,anaphor_gender_agreement,principle_A_domain_3,irregular_plural_subject_verb_agreement_1,wh_vs_that_with_gap_long_distance,sentential_negation_npi_scope,distractor_agreement_relative_clause,principle_A_case_2,determiner_noun_agreement_irregular_2,superlative_quantifiers_2,existential_there_quantifiers_1,expletive_it_object_raising,only_npi_licensor_present,principle_A_domain_2,determiner_noun_agreement_irregular_1,determiner_noun_agreement_with_adjective_1,existential_there_quantifiers_2,matrix_question_npi_licensor_present,determiner_noun_agreement_with_adj_irregular_2,wh_island,existential_there_subject_raising,tough_vs_raising_2,animate_subject_trans,anaphor_number_agreement,only_npi_scope,superlative_quantifiers_1
left_branch_island_echo_question,768.0,10.0,6.0,4.0,7.0,46.0,6.0,22.0,12.0,4.0,5.0,5.0,6.0,17.0,25.0,6.0,35.0,0.0,18.0,20.0,16.0,15.0,12.0,17.0,0.0,2.0,45.0,0.0,11.0,0.0,21.0,21.0,17.0,12.0,15.0,22.0,26.0,0.0,18.0,8.0,7.0,3.0,5.0,5.0,0.0,14.0,15.0,2.0,5.0,4.0,16.0,4.0,13.0,2.0,10.0,4.0,5.0,2.0,5.0,5.0,3.0,2.0,3.0,7.0,1.0,4.0,14.0
coordinate_structure_constraint_object_extraction,10.0,768.0,20.0,11.0,48.0,136.0,47.0,7.0,17.0,11.0,50.0,11.0,18.0,139.0,24.0,19.0,22.0,0.0,53.0,3.0,11.0,10.0,13.0,15.0,4.0,4.0,4.0,8.0,10.0,11.0,36.0,108.0,11.0,25.0,22.0,13.0,14.0,8.0,11.0,14.0,73.0,10.0,2.0,31.0,3.0,53.0,8.0,19.0,34.0,17.0,4.0,3.0,11.0,6.0,41.0,11.0,13.0,1.0,0.0,17.0,25.0,15.0,20.0,6.0,2.0,9.0,21.0
npi_present_1,6.0,20.0,768.0,31.0,9.0,2.0,22.0,17.0,22.0,5.0,23.0,36.0,6.0,15.0,31.0,31.0,18.0,39.0,15.0,2.0,22.0,11.0,6.0,20.0,15.0,8.0,3.0,19.0,13.0,25.0,11.0,6.0,17.0,15.0,2.0,13.0,23.0,20.0,8.0,21.0,7.0,442.0,22.0,12.0,26.0,17.0,7.0,18.0,15.0,29.0,31.0,14.0,25.0,4.0,19.0,28.0,28.0,1.0,4.0,27.0,2.0,25.0,13.0,6.0,27.0,4.0,4.0
determiner_noun_agreement_1,4.0,11.0,31.0,768.0,58.0,31.0,46.0,89.0,30.0,0.0,56.0,677.0,0.0,5.0,60.0,469.0,13.0,82.0,34.0,14.0,68.0,31.0,42.0,91.0,176.0,80.0,20.0,183.0,11.0,98.0,28.0,4.0,9.0,34.0,26.0,9.0,13.0,153.0,22.0,579.0,2.0,34.0,6.0,35.0,160.0,38.0,21.0,152.0,58.0,552.0,5.0,16.0,6.0,0.0,7.0,541.0,588.0,13.0,0.0,494.0,25.0,26.0,42.0,12.0,22.0,0.0,7.0
passive_2,7.0,48.0,9.0,58.0,768.0,11.0,28.0,17.0,7.0,6.0,98.0,54.0,15.0,26.0,19.0,57.0,43.0,31.0,33.0,13.0,65.0,21.0,168.0,8.0,42.0,37.0,5.0,55.0,8.0,28.0,28.0,28.0,18.0,32.0,21.0,5.0,5.0,59.0,31.0,59.0,54.0,20.0,12.0,19.0,37.0,20.0,3.0,43.0,76.0,59.0,15.0,8.0,34.0,9.0,14.0,49.0,58.0,0.0,3.0,67.0,16.0,28.0,39.0,19.0,27.0,16.0,18.0
left_branch_island_simple_question,46.0,136.0,2.0,31.0,11.0,768.0,20.0,25.0,8.0,23.0,24.0,36.0,8.0,52.0,21.0,38.0,19.0,3.0,27.0,9.0,37.0,26.0,6.0,18.0,8.0,20.0,8.0,9.0,10.0,11.0,24.0,63.0,9.0,13.0,10.0,18.0,218.0,14.0,8.0,30.0,64.0,0.0,2.0,7.0,13.0,41.0,12.0,33.0,24.0,36.0,8.0,0.0,14.0,5.0,12.0,30.0,31.0,0.0,0.0,30.0,15.0,29.0,14.0,6.0,19.0,1.0,9.0
causative,6.0,47.0,22.0,46.0,28.0,20.0,768.0,32.0,11.0,3.0,80.0,50.0,10.0,30.0,19.0,73.0,25.0,40.0,20.0,19.0,24.0,25.0,20.0,37.0,23.0,5.0,21.0,22.0,15.0,9.0,37.0,15.0,14.0,19.0,30.0,12.0,22.0,20.0,34.0,60.0,27.0,37.0,8.0,26.0,42.0,12.0,22.0,42.0,51.0,69.0,1.0,4.0,13.0,3.0,24.0,44.0,68.0,6.0,0.0,74.0,6.0,27.0,25.0,16.0,15.0,1.0,4.0
intransitive,22.0,7.0,17.0,89.0,17.0,25.0,32.0,768.0,38.0,2.0,32.0,88.0,20.0,9.0,353.0,79.0,12.0,28.0,102.0,15.0,17.0,29.0,25.0,401.0,20.0,29.0,71.0,50.0,36.0,31.0,31.0,8.0,16.0,54.0,39.0,14.0,10.0,59.0,23.0,67.0,4.0,14.0,7.0,26.0,24.0,61.0,19.0,55.0,26.0,64.0,18.0,13.0,3.0,0.0,17.0,57.0,78.0,3.0,0.0,68.0,23.0,24.0,53.0,3.0,17.0,5.0,16.0
wh_vs_that_no_gap,12.0,17.0,22.0,30.0,7.0,8.0,11.0,38.0,768.0,6.0,54.0,34.0,4.0,18.0,39.0,28.0,24.0,5.0,0.0,76.0,30.0,60.0,26.0,39.0,2.0,10.0,18.0,23.0,500.0,19.0,25.0,10.0,108.0,8.0,13.0,68.0,16.0,29.0,31.0,28.0,36.0,36.0,9.0,23.0,19.0,0.0,81.0,31.0,59.0,22.0,11.0,3.0,30.0,2.0,36.0,20.0,25.0,1.0,0.0,30.0,13.0,31.0,36.0,4.0,6.0,17.0,15.0
principle_A_c_command,4.0,11.0,5.0,0.0,6.0,23.0,3.0,2.0,6.0,768.0,12.0,0.0,12.0,11.0,2.0,0.0,3.0,2.0,5.0,3.0,14.0,9.0,3.0,0.0,3.0,16.0,7.0,9.0,8.0,1.0,14.0,22.0,10.0,0.0,5.0,6.0,21.0,14.0,11.0,0.0,11.0,8.0,0.0,27.0,9.0,14.0,1.0,25.0,3.0,0.0,14.0,0.0,2.0,20.0,57.0,0.0,0.0,9.0,11.0,0.0,8.0,19.0,10.0,3.0,10.0,9.0,27.0
