stim1,stim2,stim3,stim4,stim5,stim6,stim7
1,These,patients,do,respect,themselves.,+
2,These,democracies,do,respect,themselves.,-
3,Many,teenagers,were,helping,themselves.,+
4,Many,theories,were,helping,themselves.,-
5,This,woman,has,criticized,herself.,+
6,This,dream,has,criticized,herself.,-
7,The,adults,hadn't,forgotten,themselves.,+
8,The,arsenals,hadn't,forgotten,themselves.,-
9,The,patients,disgusted,themselves.,+
10,The,socialists,disgusted,themselves.,-
11,The,students,shouldn't,upset,themselves.,+
12,The,bennetts,shouldn't,upset,themselves.,-
13,All,waiters,couldn't,criticize,themselves.,+
14,All,presenters,couldn't,criticize,themselves.,-
15,Many,people,bothered,themselves.,+
16,Many,cars,bothered,themselves.,-
17,The,waitresses,investigated,themselves.,+
18,The,snares,investigated,themselves.,-
19,All,actresses,flee,from,themselves.,+
20,All,wedges,flee,from,themselves.,-
21,All,girls,haven't,discussed,themselves.,+
22,All,treats,haven't,discussed,themselves.,-
23,All,senators,complained,about,themselves.,+
24,All,atheists,complained,about,themselves.,-
25,Some,actors,shock,themselves.,+
26,Some,pets,shock,themselves.,-
27,Those,students,don't,confuse,themselves.,+
28,Those,bands,don't,confuse,themselves.,-
29,Those,customers,praise,themselves.,+
30,Those,permissions,praise,themselves.,-
