stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11
1,Amanda,was,respected,by,some,waitresses.,+
2,Amanda,was,respected,by,some,witches.,-
3,Some,lake,was,passed,by,some,cashiers.,+
4,Some,hotel,was,passed,by,some,cashiers.,-
5,Lisa,was,kissed,by,the,boys.,+
6,Lisa,was,kissed,by,the,teens.,-
7,Gerald,is,hated,by,the,teachers.,+
8,Gerald,is,hated,by,the,passions.,-
9,Most,actresses,weren't,discussed,by,some,offspring.,+
10,Most,actresses,weren't,discussed,by,some,decorum.,-
11,These,students,were,talked,about,by,the,teacher.,+
12,These,substitutes,were,talked,about,by,the,teacher.,-
13,Deborah,was,talked,to,by,the,teacher.,+
14,Deborah,was,talked,to,by,the,importance.,-
15,Cafes,were,cleaned,by,some,lady.,+
16,Cafes,were,cleaned,by,some,defeat.,-
17,Patricia,is,referenced,by,some,offspring.,+
18,Patricia,is,referenced,by,some,rematch.,-
19,Andrew,was,questioned,by,some,pedestrian.,+
20,Andrew,was,questioned,by,some,doorstep.,-
21,A,lot,of,computers,aren't,bought,by,the,senators.,+
22,A,lot,of,computers,aren't,bought,by,the,techniques.,-
23,Those,schools,are,cleaned,by,the,customers.,+
24,Those,greens,are,cleaned,by,the,customers.,-
25,Deanna,was,hired,by,the,offspring.,+
26,Deanna,was,hired,by,the,boutique.,-
27,Lisa,wasn't,cured,by,the,ladies.,+
28,Lisa,wasn't,cured,by,the,carpets.,-
29,Valerie,was,hugged,by,the,pedestrian.,+
30,Valerie,was,hugged,by,the,subcontinent.,-
