stim1,stim2,stim3,stim4,stim5,stim6,stim7
1,A,hat,folds.,+
2,a,wedge,folds.,-
3,Every,father,of,Randolf,hides.,+
4,Every,spectrum,of,Randolf,hides.,-
5,A,screen,was,fading.,+
6,a,thrust,was,fading.,-
7,Every,mountain,sells.,+
8,Every,construct,sells.,-
9,All,rivers,can't,melt.,+
10,All,symbols,can't,melt.,-
11,Those,gloves,had,flattened.,+
12,Those,rumours,had,flattened.,-
13,The,cashier's,bosses,worried.,+
14,The,cashier's,giants,worried.,-
15,A,bicycle,stopped.,+
16,a,treatise,stopped.,-
17,These,carriages,have,maneuvered.,+
18,These,harmonics,have,maneuvered.,-
19,The,sock,isn't,flattening.,+
20,The,pox,isn't,flattening.,-
21,This,candle,did,dim.,+
22,This,ache,did,dim.,-
23,Some,windows,have,flung,open.,+
24,Some,cycles,have,flung,open.,-
25,Many,gloves,twirl.,+
26,Many,props,twirl.,-
27,The,bicycle,wasn't,slowing.,+
28,The,tide,wasn't,slowing.,-
29,That,sweater,twirls.,+
30,That,unitarian,twirls.,-
