stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13
1,Do,some,carts,ever,accelerate?,+
2,Do,some,mates,ever,accelerate?,-
3,Had,some,government,ever,clashed?,+
4,Had,some,television,ever,clashed?,-
5,Could,many,doctors,ever,clash?,+
6,Could,many,demos,ever,clash?,-
7,Has,Sandra,ever,planned,to,get,a,job?,+
8,Has,Sandra,ever,planned,to,get,an,ad?,-
9,Will,the,horse,ever,come,here?,+
10,Will,the,angle,ever,come,here?,-
11,Have,these,blouses,ever,shrunk?,+
12,Have,these,mainstays,ever,shrunk?,-
13,Have,many,movies,ever,disagreed,with,Jessica?,+
14,Have,many,priors,ever,disagreed,with,Jessica?,-
15,Could,some,people,ever,chat?,+
16,Could,some,responses,ever,chat?,-
17,Had,Colleen,ever,imagined,those,actresses,have,ordered,Kevin,to,talk?,+
18,Had,Colleen,ever,imagined,those,crates,have,ordered,Kevin,to,talk?,-
19,Has,Sharon,ever,climbed,down,a,hill?,+
20,Has,Sharon,ever,climbed,down,a,hero?,-
21,Had,some,convertibles,ever,stopped?,+
22,Had,some,modalities,ever,stopped?,-
23,Can,every,committee,ever,testify?,+
24,Can,every,violation,ever,testify?,-
25,Has,that,shirt,ever,flattened?,+
26,Has,that,mother,ever,flattened?,-
27,Does,that,ice,ever,evaporate?,+
28,Does,that,hockey,ever,evaporate?,-
29,Had,some,vase,ever,tipped,over?,+
30,Had,some,milieu,ever,tipped,over?,-
