stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9
1,That,mushroom,is,cleaned.,+
2,That,rhino,is,cleaned.,-
3,This,mother,of,Stephanie,isn't,aggravated.,+
4,This,basis,of,Stephanie,isn't,aggravated.,-
5,Many,teachers,aren't,visited.,+
6,Many,dukes,aren't,visited.,-
7,Some,guy's,granddaughter,was,investigated.,+
8,Some,guy's,referendum,was,investigated.,-
9,All,companies,are,bothered.,+
10,All,streams,are,bothered.,-
11,Every,cashier,is,alarmed.,+
12,Every,gravel,is,alarmed.,-
13,The,actress,was,forgotten.,+
14,The,workload,was,forgotten.,-
15,Every,nephew,of,Laurie,isn't,talked,about.,+
16,Every,parish,of,Laurie,isn't,talked,about.,-
17,Those,guests,weren't,discussed.,+
18,Those,densities,weren't,discussed.,-
19,These,people,aren't,admired.,+
20,These,sugars,aren't,admired.,-
21,Some,government,isn't,bothered.,+
22,Some,release,isn't,bothered.,-
23,Those,guys,were,visited.,+
24,Those,numbers,were,visited.,-
25,All,pedestrians,are,cared,for.,+
26,All,criteria,are,cared,for.,-
27,All,customers,are,embarrassed.,+
28,All,skirts,are,embarrassed.,-
29,The,cucumber,is,admired.,+
30,The,leisure,is,admired.,-
