stim1,stim2,stim3,stim4,stim5,stim6
1,Rose,couldn't,reference,herself.,+
2,Rose,couldn't,encounter,herself.,-
3,Kristen,praises,herself.,+
4,Kristen,infects,herself.,-
5,Kendra,disturbed,herself.,+
6,Kendra,boycotted,herself.,-
7,Sabrina,disturbs,herself.,+
8,Sabrina,flaunts,herself.,-
9,Kenneth,wasn't,admiring,himself.,+
10,Kenneth,wasn't,saluting,himself.,-
11,Larry,reveals,himself.,+
12,Larry,exposes,himself.,-
13,Sherry,wouldn't,cure,herself.,+
14,Sherry,wouldn't,promote,herself.,-
15,Catherine,hasn't,noticed,herself.,+
16,Catherine,hasn't,defined,herself.,-
17,Susan,shouldn't,criticize,herself.,+
18,Susan,shouldn't,categorize,herself.,-
19,Sheila,saw,herself.,+
20,Sheila,embarrassed,herself.,-
21,Renee,might,admire,herself.,+
22,Renee,might,humble,herself.,-
23,Sharon,hurt,herself.,+
24,Sharon,coloured,herself.,-
25,Marie,might,admire,herself.,+
26,Marie,might,organize,herself.,-
27,Susan,did,love,herself.,+
28,Susan,did,congratulate,herself.,-
29,Steve,wasn't,describing,himself.,+
30,Steve,wasn't,approaching,himself.,-
