stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
1,Katherine,grew,some,apples.,+
2,Katherine,resisted,some,apples.,-
3,April,had,dropped,the,truck.,+
4,April,had,extracted,the,truck.,-
5,Curtis,dropped,some,dishes.,+
6,Curtis,heated,some,dishes.,-
7,Natalie,has,assembled,a,hospital.,+
8,Natalie,has,refinanced,a,hospital.,-
9,That,cashier,loosens,every,blouse.,+
10,That,cashier,retains,every,blouse.,-
11,Many,girls,bake,many,cakes.,+
12,Many,girls,request,many,cakes.,-
13,Meredith,was,freezing,this,ice,cream.,+
14,Meredith,was,lifting,this,ice,cream.,-
15,Karen,hasn't,blackened,that,eggplant.,+
16,Karen,hasn't,humanized,that,eggplant.,-
17,Joseph,wouldn't,open,every,box.,+
18,Joseph,wouldn't,give,every,box.,-
19,Some,cashier,hadn't,burned,that,pasta.,+
20,Some,cashier,hadn't,fried,that,pasta.,-
21,Mary,has,opened,the,gate.,+
22,Mary,has,neared,the,gate.,-
23,Vanessa,stretches,a,jacket.,+
24,Vanessa,safeguards,a,jacket.,-
25,The,teenagers,fade,all,screens.,+
26,The,teenagers,disable,all,screens.,-
27,Those,dancers,freeze,many,glaciers.,+
28,Those,dancers,detox,many,glaciers.,-
29,Some,child,burns,a,cucumber.,+
30,Some,child,captures,a,cucumber.,-
