stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11
1,Karen,could,certainly,boycott,this,association.,+
2,Karen,could,certainly,swoop,this,association.,-
3,A,guest,also,astounded,a,library.,+
4,A,guest,also,disqualified,a,library.,-
5,Tiffany,did,certainly,scan,that,newspaper,article.,+
6,Tiffany,did,certainly,exceed,that,newspaper,article.,-
7,Many,skateboards,also,roll.,+
8,Many,skateboards,also,gate.,-
9,These,children,did,certainly,find,Charles,to,hire,Nicole.,+
10,These,children,did,certainly,cover,Charles,to,hire,Nicole.,-
11,The,bicycles,really,fell,apart.,+
12,The,bicycles,really,coloured,apart.,-
13,Ruth,has,really,concealed,who,had,stood,up.,+
14,Ruth,has,really,warped,who,had,stood,up.,-
15,Some,water,could,really,evaporate.,+
16,Some,water,could,really,decamp.,-
17,A,spotlight,had,clearly,faded.,+
18,A,spotlight,had,clearly,trolled.,-
19,Most,bananas,should,certainly,grow.,+
20,Most,bananas,should,certainly,command.,-
21,Alan,often,investigated,this,committee.,+
22,Alan,often,escalated,this,committee.,-
23,That,broccoli,clearly,grows.,+
24,That,broccoli,clearly,rears.,-
25,That,senator,clearly,ascends,most,mountains.,+
26,That,senator,clearly,cleaves,most,mountains.,-
27,The,skirts,had,really,loosened.,+
28,The,skirts,had,really,mashed.,-
29,The,truck,has,clearly,tipped,over.,+
30,The,truck,has,clearly,deleted,over.,-
