stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
1,It's,herself,who,Karen,criticized.,+
2,It's,herself,who,Karen,destroyed.,-
3,It's,herself,who,Candice,isn't,watching.,+
4,It's,herself,who,Candice,isn't,helping.,-
5,It's,herself,that,Veronica,was,curing.,+
6,It's,herself,that,Veronica,was,kissing.,-
7,It's,herself,who,Denise,hasn't,impressed.,+
8,It's,herself,who,Denise,hasn't,excused.,-
9,It's,herself,who,Denise,attacks.,+
10,It's,herself,who,Denise,worries.,-
11,It's,herself,that,Laura,has,investigated.,+
12,It's,herself,that,Laura,has,pressured.,-
13,It's,herself,who,Nina,forgets.,+
14,It's,herself,who,Nina,masters.,-
15,It's,herself,that,Kendra,was,finding.,+
16,It's,herself,that,Kendra,was,picturing.,-
17,It's,himself,who,Jeffrey,finds.,+
18,It's,himself,who,Jeffrey,corrects.,-
19,It's,himself,that,Benjamin,hasn't,admired.,+
20,It's,himself,that,Benjamin,hasn't,shamed.,-
21,It's,himself,who,Dan,concealed.,+
22,It's,himself,who,Dan,flogged.,-
23,It's,himself,that,Jason,was,discovering.,+
24,It's,himself,that,Jason,was,imagining.,-
25,It's,herself,that,Brenda,hasn't,admired.,+
26,It's,herself,that,Brenda,hasn't,advanced.,-
27,It's,herself,who,Samantha,hadn't,hated.,+
28,It's,herself,who,Samantha,hadn't,bared.,-
29,It's,herself,who,Nancy,didn't,describe.,+
30,It's,herself,who,Nancy,didn't,modify.,-
