stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9
1,আমার,সোনার,"বাংলা,",আমি,তোমায়,ভালবাসি,।,+
2,আমার,সোনার,"বাংলা,",আমি,তোমায়,ভালবাসো,।,-
3,আমার,সোনার,"বাংলা,",আমি,তোমায়,ভালবাসি,।,+
4,আমার,সোনার,"বাংলা,",আমি,তোমায়,ভালবাসেন,।,-
5,আমি,আজ,স্কুলে,হাতি,দেখেছি,।,+
6,আমি,আজ,স্কুলে,হাতি,দেখেন,।,-
7,আমি,আজ,স্কুলে,হাতি,দেখেছি,।,+
8,আমি,আজ,স্কুলে,হাতি,দেখো,।,-
9,আমি,আজ,স্কুলে,হাতি,দেখেছি,।,+
10,আমি,আজ,স্কুলে,হাতি,দেখেছো,।,-
11,আমি,আজ,স্কুলে,হাতি,দেখেছি,।,+
12,আমি,আজ,স্কুলে,হাতি,দেখেছেন,।,-
13,তোমার,অসুখ,করবে,।,+
14,তোমার,অসুখ,করবো,।,-
15,তুমি,কি,খেয়েছ?,+
16,তুমি,কি,খাব?,-
17,"হ্যাঁ,",আমি,গান,গাইতে,পারি,।,+
18,"হ্যাঁ,",আমি,গান,গাইতে,পারো,।,-
19,"হ্যাঁ,",আমি,গান,গাইতে,পারি,।,+
20,"হ্যাঁ,",আমি,গান,গাইতে,পার,।,-
21,"না,আমি",খাব,না,।,+
22,"না,আমি",খেয়েছ,না,।,-
23,আমি,আজ,স্কুলে,হাতি,দেখেছি,।,+
24,আমি,আজ,স্কুলে,হাতি,দেখে,।,-
25,আমি,আজ,স্কুলে,হাতি,দেখেছি,।,+
26,আমি,আজ,স্কুলে,হাতি,দেখেছে,।,-
27,আমার,সোনার,"বাংলা,",আমি,তোমায়,ভালবাসি,।,+
28,আমার,সোনার,"বাংলা,",আমি,তোমায়,ভালবাসিস,।,-
29,আমার,সোনার,"বাংলা,",আমি,তোমায়,ভালবাসি,।,+
30,আমার,সোনার,"বাংলা,",আমি,তোমায়,ভালবাসে,।,-
31,আমি,আজ,স্কুলে,হাতি,দেখেছি,।,+
32,আমি,আজ,স্কুলে,হাতি,দেখিস,।,-
33,আমি,আজ,স্কুলে,হাতি,দেখেছি,।,+
34,আমি,আজ,স্কুলে,হাতি,দেখেছিস,।,-
35,তুমি,গান,গাইতে,পারো,?,+
36,তুমি,গান,গাইতে,পারি,?,-
37,তুমি,আমাদের,জাতীয়,পতাকা,আঁকতে,পার?,+
38,তুমি,আমাদের,জাতীয়,পতাকা,আঁকতে,পারি?,-
39,তুমি,আমাদের,দেশের,পতাকা,আঁকতে,পার?,+
40,তুমি,আমাদের,দেশের,পতাকা,আঁকতে,পারি?,-
41,খেয়েছ,তুমি,?,+
42,খাব,তুমি,?,-
