stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14,stim15,stim16,stim17,stim18,stim19,stim20,stim21,stim22,stim23,stim24,stim25,stim26,stim27,stim28,stim29,stim30,stim31,stim32,stim33,stim34,stim35
1,Petclanska,uprava,Sume,postala,triclanska,-,Clanice,se,niso,dolocile,menjalnega,razmerja,-,Kljub,tezavam,optimisti,+
2,Petclanska,uprava,Sume,postalo,triclanska,-,Clanice,se,niso,dolocile,menjalnega,razmerja,-,Kljub,tezavam,optimisti,-
3,Vsako,"""spranjo""",v,kuhinji,in,kopalnici,je,"""zapecatila"",",ker,bi,se,sicer,v,njih,"""ugnezdili","mikrobi""",ali,"""odlozile","klice"".",+
4,Vsako,"""spranjo""",v,kuhinji,in,kopalnici,je,"""zapecatila"",",ker,bi,se,sicer,v,njih,"""ugnezdili","mikrobi""",ali,"""odlozili","klice"".",-
5,Ogenj,v,Libojah,povzrocil,od,8,do,10,milijonov,tolarjev,skode,+
6,Ogenj,v,Libojah,povzrocilo,od,8,do,10,milijonov,tolarjev,skode,-
7,Ce,sam,prdnes,kaksenmu,kurcu,o,celi,tej,"zadevi,",pol,lohk,sam,"mols,",da,teu,polcija,kurceva,prej,zagrabla,pa,te,v,Polmont,"poslala,",koker,te,jest,v,roke,"dobim,",as,me,slisu?,+
8,Ce,sam,prdnes,kaksenmu,kurcu,o,celi,tej,"zadevi,",pol,lohk,sam,"mols,",da,teu,polcija,kurceva,prej,zagrabil,pa,te,v,Polmont,"poslala,",koker,te,jest,v,roke,"dobim,",as,me,slisu?,-
9,Petclanska,uprava,Sume,postala,triclanska,-,Clanice,se,niso,dolocile,menjalnega,razmerja,-,Kljub,tezavam,optimisti,+
10,Petclanska,uprava,Sume,postal,triclanska,-,Clanice,se,niso,dolocile,menjalnega,razmerja,-,Kljub,tezavam,optimisti,-
11,--,Beli,labod,neb,nikol,izkoristu,dame,v,"stiski,",se,zarezi.,+
12,--,Beli,labod,neb,nikol,izkoristila,dame,v,"stiski,",se,zarezi.,-
13,Ogenj,v,Libojah,povzrocil,od,8,do,10,milijonov,tolarjev,skode,+
14,Ogenj,v,Libojah,povzrocila,od,8,do,10,milijonov,tolarjev,skode,-
