stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14,stim15,stim16,stim17,stim18,stim19,stim20,stim21,stim22,stim23
1,Да,и,мной,самим,закусят.,+
2,Да,и,мной,самого,закусят.,-
3,Хотя,там,действует,сам,дьявол.,+
4,Хотя,там,действует,самого,дьявол.,-
5,И,сама,Милочка,девственно,чиста.,+
6,И,самой,Милочка,девственно,чиста.,-
7,В,том,числе,и,самому,Чиву.,+
8,В,том,числе,и,самый,Чиву.,-
9,Недешево,стала,и,сама,услуга.,+
10,Недешево,стала,и,самой,услуга.,-
11,Юрик,остановил,возле,самого,КПП.,+
12,Юрик,остановил,возле,самый,КПП.,-
13,Гримс,сам,решил,вести,корабль.,+
14,Гримс,самого,решил,вести,корабль.,-
15,всего,"предприятия,",сам,Джеймс,Саймонс.,+
16,всего,"предприятия,",самого,Джеймс,Саймонс.,-
17,А,КТО,создал,самого,Мэгана?,+
18,А,КТО,создал,самый,Мэгана?,-
19,Особенно,пострадает,тело,самого,Детруна.,+
20,Особенно,пострадает,тело,самому,Детруна.,-
21,Сам,же,он,занялся,Настей.,+
22,Самого,же,он,занялся,Настей.,-
23,Но,вот,чтобы,на,самом,небе?,+
24,Но,вот,чтобы,на,самое,небе?,-
25,Самого,Маркела,на,крытом,сломали.,+
26,Самый,Маркела,на,крытом,сломали.,-
27,А,потом,она,различает,сами,руки.,+
28,А,потом,она,различает,самими,руки.,-
29,Не,могу,себя,самого,разжаловать.,+
30,Не,могу,себя,самый,разжаловать.,-
31,Его,"самого,",Гали,и,Васеньки.,+
32,Его,"самый,",Гали,и,Васеньки.,-
33,"Дождался,",пока,отец,продолжит,сам.,+
34,"Дождался,",пока,отец,продолжит,самого.,-
35,А,разве,я,сам,лучше?,+
36,А,разве,я,самого,лучше?,-
37,Сам,Поленов,и,два,актера.,+
38,Самого,Поленов,и,два,актера.,-
39,Сам,дворец,выглядел,не,лучше.,+
40,Самого,дворец,выглядел,не,лучше.,-
41,Не,меньше,радовался,и,сам,Брендольв.,+
42,Не,меньше,радовался,и,самого,Брендольв.,-
43,Сам,Бог,водил,моим,резцом.,+
44,Самого,Бог,водил,моим,резцом.,-
45,Где,ему,самому,такое,придумать!,+
46,Где,ему,самый,такое,придумать!,-
47,Тогда,сам,Софонтий,солому,зажег.,+
48,Тогда,самого,Софонтий,солому,зажег.,-
49,"Кстати,",где,сейчас,сама,Рэч?,+
50,"Кстати,",где,сейчас,самой,Рэч?,-
51,Она,самой,Морене,родная,сестра.,+
52,Она,самая,Морене,родная,сестра.,-
53,Сам,тов.,Зюганов,и,будет.,+
54,Самого,тов.,Зюганов,и,будет.,-
55,Или,это,была,кровь,самого,моря?,+
56,Или,это,была,кровь,самому,моря?,-
57,Ему,самому,руками,махать,не,требуется.,+
58,Ему,самый,руками,махать,не,требуется.,-
59,Но,сам,звук,раздражал,Бурого.,+
60,Но,самого,звук,раздражал,Бурого.,-
61,И,разве,сам,Нил,жив?,+
62,И,разве,самого,Нил,жив?,-
63,Но,сам,Артур,вроде,ничего,пацан.,+
64,Но,самого,Артур,вроде,ничего,пацан.,-
