stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14,stim15,stim16,stim17,stim18,stim19,stim20,stim21,stim22,stim23,stim24,stim25,stim26,stim27,stim28,stim29,stim30,stim31,stim32,stim33,stim34,stim35,stim36,stim37,stim38,stim39,stim40,stim41,stim42,stim43,stim44,stim45
1,Сам,о,скалу,какую-нибудь,треснулся.,+
2,Сам,о,скалу,никакую,треснулся.,-
3,Хотя,нет,что-то,я,умею.,+
4,Хотя,нет,ничего,я,умею.,-
5,"Поди,",лежит,где-нибудь,под,ракитой?,+
6,"Поди,",лежит,нигде,под,ракитой?,-
7,Ньюандер,"оживился,",ожидая,какое-нибудь,откровение.,+
8,Ньюандер,"оживился,",ожидая,никакое,откровение.,-
9,Сэганта,что-то,"затевает,",это,несомненно.,+
10,Сэганта,ничего,"затевает,",это,несомненно.,-
11,А,то,вот,Меня,какого-то,хотят.,+
12,А,то,вот,Меня,никакого,хотят.,-
13,Что-то,в,Лили,Денев,настораживало,ее.,+
14,Ничто,в,Лили,Денев,настораживало,ее.,-
15,Раздобыла,мне,какие-нибудь,свежие,сплетни?,+
16,Раздобыла,мне,никакие,свежие,сплетни?,-
17,"Походу,",этот,Прайн,что-то,знал.,+
18,"Походу,",этот,Прайн,ничего,знал.,-
19,Боб,"обмяк,",хотел,что-то,сказать.,+
20,Боб,"обмяк,",хотел,ничего,сказать.,-
21,В,решение,обкома,когда-нибудь,попадем.,+
22,В,решение,обкома,никогда,попадем.,-
23,Что-то,Род,перемудрил,с,человеком!,+
24,Ничто,Род,перемудрил,с,человеком!,-
25,Что-то,дрогнуло,в,лице,Эрхала.,+
26,Ничто,дрогнуло,в,лице,Эрхала.,-
27,И,я,их,где-то,понимал.,+
28,И,я,их,нигде,понимал.,-
29,Где-то,Айрунги,уже,слышал,этот,голос...,+
30,Нигде,Айрунги,уже,слышал,этот,голос...,-
31,Чего-то,недоставало,сейчас,на,илистом,берегу.,+
32,Ничто,недоставало,сейчас,на,илистом,берегу.,-
33,Чего-то,ты,"взял,",вроде,солому...,+
34,Ничто,ты,"взял,",вроде,солому...,-
35,Где-то,позади,разыскивала,их,армия,идоноев.,+
36,Нигде,позади,разыскивала,их,армия,идоноев.,-
37,Чем-то,там,руководит,в,Сити.,+
38,Ничем,там,руководит,в,Сити.,-
39,Но,вдруг,Такис,что-то,забормотал.,+
40,Но,вдруг,Такис,ничего,забормотал.,-
41,Белояра,с,людьми,кто-то,ждал.,+
42,Белояра,с,людьми,никто,ждал.,-
43,Он,использовал,какую-то,машину,хичи.,+
44,Он,использовал,никакую,машину,хичи.,-
45,Где-то,близко,в,осыпях,свистят,пищухи.,+
46,Нигде,близко,в,осыпях,свистят,пищухи.,-
47,Когда-нибудь,она,может,стоить,ему,работы.,+
48,Никогда,она,может,стоить,ему,работы.,-
49,А,здесь,постоянно,кто-то,жил.,+
50,А,здесь,постоянно,никто,жил.,-
51,Униола,что-то,шептала,нашим,ногам.,+
52,Униола,ничего,шептала,нашим,ногам.,-
53,Лекарство,какое-то,"понадобится,",еще,что.,+
54,Лекарство,никакое,"понадобится,",еще,что.,-
55,Он,уже,меня,считал,каким-то,банком.,+
56,Он,уже,меня,считал,никаким,банком.,-
57,Жанин,боролась,с,какой-то,молодой,женщиной.,+
58,Жанин,боролась,с,никакой,молодой,женщиной.,-
59,Право,"потемнели,",за,какой-то,час!,+
60,Право,"потемнели,",за,никакой,час!,-
61,Кто-то,отвернулся,–,и,нет,ее...,+
62,Никто,отвернулся,–,и,нет,ее...,-
63,Дьякон,Ахилла,все,давно,что-то,мурлычит.,+
64,Дьякон,Ахилла,все,давно,ничего,мурлычит.,-
65,Это,Управление,чего-то,мудрить,стало.,+
66,Это,Управление,ничто,мудрить,стало.,-
67,Эрду,показалось:,сотник,сказал,что-то.,+
68,Эрду,показалось:,сотник,сказал,ничего.,-
69,Так,объяснял,ему,когда-то,Матокин.,+
70,Так,объяснял,ему,никогда,Матокин.,-
71,На,сердце,просто,плита,какая-то,лежит.,+
72,На,сердце,просто,плита,никакая,лежит.,-
73,Для,корабля,граннов,возникла,какая-то,опасность?,+
74,Для,корабля,граннов,возникла,никакая,опасность?,-
75,Кто-то,брякнул,из,дорогих,землячков.,+
76,Никто,брякнул,из,дорогих,землячков.,-
77,Определенно,Вельвит,держит,где-то,оружие.,+
78,Определенно,Вельвит,держит,нигде,оружие.,-
79,Не,"иначе,",опять,кого-то,спасла.,+
80,Не,"иначе,",опять,никого,спасла.,-
81,Ждали,экипажа,из,какой-то,редакции.,+
82,Ждали,экипажа,из,никакой,редакции.,-
83,Деджагор,превратился,в,какой-то,вороний,парадиз.,+
84,Деджагор,превратился,в,никакой,вороний,парадиз.,-
85,Тесные,какие-то,автомобили,"стали,",господа.,+
86,Тесные,никакие,автомобили,"стали,",господа.,-
87,Разве,Андрей,когда-нибудь,слышал,об,алиментах?,+
88,Разве,Андрей,никогда,слышал,об,алиментах?,-
89,Дома,Елена,что-то,готовила,на,кухне.,+
90,Дома,Елена,ничего,готовила,на,кухне.,-
91,Вы,когда-нибудь,бывали,в,Коннемейре?,+
92,Вы,никогда,бывали,в,Коннемейре?,-
93,Самсон,Медок,имеет,что-то,важное.,+
94,Самсон,Медок,имеет,ничего,важное.,-
95,Ему,какой-то,капитан,информацию,собирает.,+
96,Ему,никакой,капитан,информацию,собирает.,-
97,Только,танцевали,сейчас,что-то,быстрое.,+
98,Только,танцевали,сейчас,ничего,быстрое.,-
99,Вышли,каким-то,образом,на,Сиделина.,+
100,Вышли,никаким,образом,на,Сиделина.,-
101,Подошла,где-то,без,чего-то,час.,+
102,Подошла,нигде,без,чего-то,час.,-
103,Но,Льешо,придется,что-то,предпринять.,+
104,Но,Льешо,придется,ничего,предпринять.,-
105,Чтоб,где-нибудь,встречали,радушнее,друзей.,+
106,Чтоб,нигде,встречали,радушнее,друзей.,-
107,Долгие,месяцы,ты,ждала,когда-то,земли.,+
108,Долгие,месяцы,ты,ждала,никогда,земли.,-
109,Коттес,попытался,найти,какой-нибудь,пустяковый,предлог.,+
110,Коттес,попытался,найти,никакой,пустяковый,предлог.,-
111,Там,все,нации,когда-то,перемешались.,+
112,Там,все,нации,никогда,перемешались.,-
113,Где-то,возле,Моната,находился,Казз.,+
114,Нигде,возле,Моната,находился,Казз.,-
115,А,тела,ждут,где-нибудь,на,Земле.,+
116,А,тела,ждут,нигде,на,Земле.,-
117,Доктор,что-то,шепчет,сестре,Ямагата.,+
118,Доктор,ничего,шепчет,сестре,Ямагата.,-
119,Кто-то,лежал,на,камнях,—,Лилиса!,+
120,Никто,лежал,на,камнях,—,Лилиса!,-
121,Но,кто-то,да,принесет,сведения.,+
122,Но,никто,да,принесет,сведения.,-
123,Вы,говорили,еще,про,какого-то,лорда.,+
124,Вы,говорили,еще,про,никакого,лорда.,-
125,Петра,словно,что-то,толкнуло:,беда!,+
126,Петра,словно,ничего,толкнуло:,беда!,-
127,Бойкий,парнишка,готовил,что-то,божественное.,+
128,Бойкий,парнишка,готовил,ничего,божественное.,-
129,Да,еще,где-то,незаметно,потеряться?,+
130,Да,еще,нигде,незаметно,потеряться?,-
131,Это,же,они,берут,кого-то!,+
132,Это,же,они,берут,никого!,-
133,Где-то,село,отстает,на,день...,+
134,Нигде,село,отстает,на,день...,-
135,Пока,акции,еще,что-то,стоят.,+
136,Пока,акции,еще,ничего,стоят.,-
137,Или,ждала,какой-то,другой,опасности?,+
138,Или,ждала,никакой,другой,опасности?,-
139,Люди,ставят,какие-то,напитки,и...,+
140,Люди,ставят,никакие,напитки,и...,-
141,"Может,",кто-то,все,один,выпил.,+
142,"Может,",никто,все,один,выпил.,-
143,Кто-то,вот,им,так,сделал.,+
144,Никто,вот,им,так,сделал.,-
145,Где-то,неправильно,подвели,его,к,сезону.,+
146,Нигде,неправильно,подвели,его,к,сезону.,-
147,Здесь,просто,невозможно,иметь,чего-то,недостаточно.,+
148,Здесь,просто,невозможно,иметь,ничто,недостаточно.,-
149,Вот,что-то,похожее,сегодня,выдал,Ярослав.,+
150,Вот,ничего,похожее,сегодня,выдал,Ярослав.,-
151,Ведь,достал,где-то,фотку,Рюрика!,+
152,Ведь,достал,нигде,фотку,Рюрика!,-
153,Чтобы,ошибки,им,что-то,стоили.,+
154,Чтобы,ошибки,им,ничего,стоили.,-
155,По,каким-то,домам,данные,обязательно,отсутствовали.,+
156,По,никаким,домам,данные,обязательно,отсутствовали.,-
157,Народ,Джавахка,отказывается,принимать,какие-либо,изменения.,+
158,Народ,Джавахка,отказывается,принимать,никакие,изменения.,-
159,Где-то,штук,десять,на,всех,осталось.,+
160,Нигде,штук,десять,на,всех,осталось.,-
161,Кто-то,вообще,может,тему,трусости,выбрать.,+
162,Никто,вообще,может,тему,трусости,выбрать.,-
163,Где-то,нашла,семь,секунд,съемки,Баланчина.,+
164,Нигде,нашла,семь,секунд,съемки,Баланчина.,-
165,Затем,людям,захотелось,чего-то,нового.,+
166,Затем,людям,захотелось,ничто,нового.,-
167,"Можетбыть,",здесь,призывы,содержатся,какие-то.,+
168,"Можетбыть,",здесь,призывы,содержатся,никакие.,-
169,Кто-то,приносит,регулярно,свежие,розы.,+
170,Никто,приносит,регулярно,свежие,розы.,-
171,А,потом,что-то,хотим,еще.,+
172,А,потом,ничего,хотим,еще.,-
173,Через,какое-то,время,Гэтжи,подсядет,функционально.,+
174,Через,никакое,время,Гэтжи,подсядет,функционально.,-
175,И,футбол,показывает,какой-то,другой,канал.,+
176,И,футбол,показывает,никакой,другой,канал.,-
177,У,некоторых,даже,какая-то,философия,была.,+
178,У,некоторых,даже,никакая,философия,была.,-
179,Со,временем,кто-то,поставил,там,второй.,+
180,Со,временем,никто,поставил,там,второй.,-
181,Ей,бы,стоять,где-нибудь,в,Париже.,+
182,Ей,бы,стоять,нигде,в,Париже.,-
183,Кто-то,скажет:,слово,тренера,закон.,+
184,Никто,скажет:,слово,тренера,закон.,-
185,Пусть,даже,научится,кто-то,один.,+
186,Пусть,даже,научится,никто,один.,-
187,А,бросил,где-то,год,назад.,+
188,А,бросил,нигде,год,назад.,-
189,Зато,сразу,начал,ставить,какие-то,условия.,+
190,Зато,сразу,начал,ставить,никакие,условия.,-
191,Это,произошло,где-то,в,центре,Гугулету.,+
192,Это,произошло,нигде,в,центре,Гугулету.,-
193,И,резко,очень,сложно,что-то,сделать.,+
194,И,резко,очень,сложно,ничего,сделать.,-
195,Он,"актер,",редко,что-то,планирует.,+
196,Он,"актер,",редко,ничего,планирует.,-
197,И,иметь,силы,добиться,чего-то,большого.,+
198,И,иметь,силы,добиться,ничто,большого.,-
199,По,Гайчу,что-то,сложно,сказать.,+
200,По,Гайчу,ничего,сложно,сказать.,-
201,А,хотелось,создать,что-то,наше.,+
202,А,хотелось,создать,ничего,наше.,-
203,Мы,даже,выпускали,что-то,для,радио.,+
204,Мы,даже,выпускали,ничего,для,радио.,-
