stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,stim9,stim10,stim11,stim12,stim13,stim14,stim15,stim16,stim17,stim18,stim19,stim20,stim21,stim22,stim23,stim24,stim25,stim26,stim27,stim28,stim29,stim30,stim31,stim32,stim33,stim34,stim35,stim36,stim37,stim38,stim39,stim40,stim41
1,Как,махну,"рукой,",станет,улочка!,+
2,Как,махну,"руке,",станет,улочка!,-
3,Стоит,Роза,и,машет,вниз,рукой.,+
4,Стоит,Роза,и,машет,вниз,руке.,-
5,Сметанкой,польем,—,с,вилкой,проглотите!,+
6,Сметанке,польем,—,с,вилкой,проглотите!,-
7,Тадонг,побарабанил,пальцами,по,предплечью.,+
8,Тадонг,побарабанил,пальцам,по,предплечью.,-
9,Думбльдор,чуть,заметно,шевельнул,палочкой.,+
10,Думбльдор,чуть,заметно,шевельнул,палочке.,-
11,Ты,овладел,мною,в,поле.,+
12,Ты,овладел,мне,в,поле.,-
13,Менее,опытные,не,владели,образами.,+
14,Менее,опытные,не,владели,образам.,-
15,На,самом,деле,мной,управляет,Он!,+
16,На,самом,деле,мне,управляет,Он!,-
17,Рэнд,владел,мечом,не,очень,хорошо.,+
18,Рэнд,владел,мечу,не,очень,хорошо.,-
19,"Конечно,",чуть,шевельнула,головой,Кета.,+
20,"Конечно,",чуть,шевельнула,голове,Кета.,-
21,Руководил,нами,Михаил,Кузьмич,Мышев.,+
22,Руководил,нам,Михаил,Кузьмич,Мышев.,-
23,Сверлят,зубами,тот,же,все,кусок.,+
24,Сверлят,зубам,тот,же,все,кусок.,-
25,Ди,Мерат,"вздохнул,",захрустел,пальцами.,+
26,Ди,Мерат,"вздохнул,",захрустел,пальцам.,-
27,Джо,Эдди,и,пальцем,не,пошевелил.,+
28,Джо,Эдди,и,пальцу,не,пошевелил.,-
29,Эрмин,"покачнулся,",отчаянно,замахал,руками.,+
30,Эрмин,"покачнулся,",отчаянно,замахал,рукам.,-
31,Им,руководил,самый,настоящий,расчет!,+
32,Ему,руководил,самый,настоящий,расчет!,-
33,Из-за,забора,им,махали,рукой,Бертраны.,+
34,Из-за,забора,им,махали,руке,Бертраны.,-
35,Неликс,успокаивающе,замахал,на,него,руками.,+
36,Неликс,успокаивающе,замахал,на,него,рукам.,-
37,Вряд,ли,пускателем,управлял,человек.,+
38,Вряд,ли,пускателю,управлял,человек.,-
39,Кит,помахала,перед,ним,ключом.,+
40,Кит,помахала,перед,ним,ключу.,-
41,И,поэтому,просто,помахала,рукой.,+
42,И,поэтому,просто,помахала,руке.,-
43,Мадам,Муфф,помахала,ему,рукой.,+
44,Мадам,Муфф,помахала,ему,руке.,-
45,Что,им,руководит,в,таких,случаях?,+
46,Что,ему,руководит,в,таких,случаях?,-
47,Однако,даже,дети,наши,управляют,быками.,+
48,Однако,даже,дети,наши,управляют,быкам.,-
49,Но,Джайрс,лишь,отрицательно,помотал,головой.,+
50,Но,Джайрс,лишь,отрицательно,помотал,голове.,-
51,Истмэн,встал,и,помахал,рукой.,+
52,Истмэн,встал,и,помахал,руке.,-
53,Рой,весело,махал,хвостом,у,калитки.,+
54,Рой,весело,махал,хвосту,у,калитки.,-
55,Только,одна,владела,им,до,конца!,+
56,Только,одна,владела,ему,до,конца!,-
57,И,Болотник,тоже,–,управляет,ими.,+
58,И,Болотник,тоже,–,управляет,них.,-
59,Дневальный,больше,не,командовал,мною.,+
60,Дневальный,больше,не,командовал,мне.,-
61,Том,Дикс,помахал,Миклему,рукой.,+
62,Том,Дикс,помахал,Миклему,руке.,-
63,Роб,Всякограб,беспечно,махнул,рукой.,+
64,Роб,Всякограб,беспечно,махнул,руке.,-
65,Ты,махала,мне,весело,рукой.,+
66,Ты,махала,мне,весело,руке.,-
67,Джек,увидел,Ли,и,помахал,рукой.,+
68,Джек,увидел,Ли,и,помахал,руке.,-
69,Я,же,им,несколько,владею.,+
70,Я,же,ему,несколько,владею.,-
71,На,шестой,крылами,шевелит,сверчок.,+
72,На,шестой,крылам,шевелит,сверчок.,-
73,Тут,ими,овладел,восторг,великий.,+
74,Тут,них,овладел,восторг,великий.,-
75,Вот,он,как,царь,правит,народами!,+
76,Вот,он,как,царь,правит,народам!,-
77,Де,Ленгли,сонно,помахал,головой.,+
78,Де,Ленгли,сонно,помахал,голове.,-
79,Он,улыбнулся,и,помахал,Наде,рукой.,+
80,Он,улыбнулся,и,помахал,Наде,руке.,-
81,Да,ими,словно,руководил,опытнейший,полководец!,+
82,Да,них,словно,руководил,опытнейший,полководец!,-
83,Мельбе,я,ручкой,не,помахал.,+
84,Мельбе,я,ручке,не,помахал.,-
85,Руководил,парнями,очень,тучный,грабитель.,+
86,Руководил,парням,очень,тучный,грабитель.,-
87,Она,помахала,им,перед,Эриком,Геллманом.,+
88,Она,помахала,ему,перед,Эриком,Геллманом.,-
89,Правили,нами,варяги,—,мы,молчали.,+
90,Правили,нам,варяги,—,мы,молчали.,-
91,Им,правил,Большой,Эл,Макрей.,+
92,Ему,правил,Большой,Эл,Макрей.,-
93,Либби,крепче,сжала,пальцами,стакан.,+
94,Либби,крепче,сжала,пальцам,стакан.,-
95,ты,за,это,испытуем,бедой.,+
96,ты,за,это,испытуем,беде.,-
97,От,ярости,Павел,скрежетал,зубами.,+
98,От,ярости,Павел,скрежетал,зубам.,-
99,В,президио,волнение,овладело,и,женщинами.,+
100,В,президио,волнение,овладело,и,женщинам.,-
101,Нихонец,Люлю,владел,палкой,виртуозно.,+
102,Нихонец,Люлю,владел,палке,виртуозно.,-
103,Фургоном,правил,командир,"наемников,",Рамдан.,+
104,Фургону,правил,командир,"наемников,",Рамдан.,-
105,Успокойся,и,шевели,"мозгами,",Шама.,+
106,Успокойся,и,шевели,"мозгам,",Шама.,-
107,От,дверей,отделения,им,махал,Рон.,+
108,От,дверей,отделения,ему,махал,Рон.,-
109,Раздавив,"Гханаши,",Лотар,завладел,троном.,+
110,Раздавив,"Гханаши,",Лотар,завладел,трону.,-
111,Только,собака,приветливо,замахала,Витале,хвостом.,+
112,Только,собака,приветливо,замахала,Витале,хвосту.,-
113,Так,думал,"Богдамир,",шевеля,перчатками.,+
114,Так,думал,"Богдамир,",шевеля,перчаткам.,-
115,Кричит,и,машет,руками,Артагорт.,+
116,Кричит,и,машет,рукам,Артагорт.,-
117,Помимо,воли,им,овладела,грусть.,+
118,Помимо,воли,ему,овладела,грусть.,-
119,Буська,приветливо,помахал,ему,рукой.,+
120,Буська,приветливо,помахал,ему,руке.,-
121,Так,и,сегодня,мной,руководи.,+
122,Так,и,сегодня,мне,руководи.,-
123,Собеский,руководил,боем,с,холма.,+
124,Собеский,руководил,бою,с,холма.,-
125,Фейриль,помахала,рукой,перед,носом.,+
126,Фейриль,помахала,руке,перед,носом.,-
127,Зато,сколько,народу,нами,руководит!,+
128,Зато,сколько,народу,нам,руководит!,-
129,Он,помахал,ими,ради,опыта.,+
130,Он,помахал,них,ради,опыта.,-
131,А,хорошо,владел,языком,скорее,Полянский.,+
132,А,хорошо,владел,языку,скорее,Полянский.,-
133,Именно,он,сейчас,владеет,поясом.,+
134,Именно,он,сейчас,владеет,поясу.,-
135,А,кто,непосредственно,руководил,боем?,+
136,А,кто,непосредственно,руководил,бою?,-
137,Победительницей,же,стала,румынка,Дарина,Нихай.,+
138,Победительнице,же,стала,румынка,Дарина,Нихай.,-
139,Ими,также,руководил,Николай,Бондарик.,+
140,Них,также,руководил,Николай,Бондарик.,-
141,Но,фактически,предприятием,руководили,люди,Шишкана.,+
142,Но,фактически,предприятию,руководили,люди,Шишкана.,-
143,Возьмитель,с,самого,начала,руководил,тушением.,+
144,Возьмитель,с,самого,начала,руководил,тушению.,-
145,Им,стал,Али,Мухаммад,Геди.,+
146,Ему,стал,Али,Мухаммад,Геди.,-
147,Институтом,руководит,жена,господина,фон,Хагенса.,+
148,Институту,руководит,жена,господина,фон,Хагенса.,-
149,Многие,песни,Башле,стали,хитами.,+
150,Многие,песни,Башле,стали,хитам.,-
151,Гор,не,только,управляет,рестораном.,+
152,Гор,не,только,управляет,ресторану.,-
153,После,завершения,карьеры,Монсаливе,стал,тренером.,+
154,После,завершения,карьеры,Монсаливе,стал,тренеру.,-
155,Айван,Милат,позже,тоже,стал,фигурантом.,+
156,Айван,Милат,позже,тоже,стал,фигуранту.,-
157,Заговорщиками,руководил,некий,Васка,Умонец.,+
158,Заговорщикам,руководил,некий,Васка,Умонец.,-
159,Клуб,Ваккер,Вена,впервые,стал,чемпионом.,+
160,Клуб,Ваккер,Вена,впервые,стал,чемпиону.,-
161,Впоследствии,областями,управлял,Тоетоми,Хидэеси.,+
162,Впоследствии,областям,управлял,Тоетоми,Хидэеси.,-
163,Вместо,Онаньи,посадником,стал,Михалко,Степанич.,+
164,Вместо,Онаньи,посаднику,стал,Михалко,Степанич.,-
165,Его,сын,Осазе,также,стал,футболистом.,+
166,Его,сын,Осазе,также,стал,футболисту.,-
167,Руководил,строительством,француз,Пьер,Гадье.,+
168,Руководил,строительству,француз,Пьер,Гадье.,-
169,Проектом,руководили,инженеры,Альби,и,Резаль.,+
170,Проекту,руководили,инженеры,Альби,и,Резаль.,-
171,Совершенный,в,сатье,обладает,ясновидением.,+
172,Совершенный,в,сатье,обладает,ясновидению.,-
173,Сын,Игорь,тоже,стал,парикмахером.,+
174,Сын,Игорь,тоже,стал,парикмахеру.,-
175,Отрядом,командовал,майор,Францишек,Пржишезняк.,+
176,Отряду,командовал,майор,Францишек,Пржишезняк.,-
177,Впоследствии,Тумс,вновь,стал,стариком.,+
178,Впоследствии,Тумс,вновь,стал,старику.,-
179,Им,руководил,Бал,Гангадхара,Тилак.,+
180,Ему,руководил,Бал,Гангадхара,Тилак.,-
181,После,завершении,карьеры,Реканьи,стал,тренером.,+
182,После,завершении,карьеры,Реканьи,стал,тренеру.,-
183,Группой,руководил,офицер,штаба,АГ-104,Макс.,+
184,Группе,руководил,офицер,штаба,АГ-104,Макс.,-
185,Майор,Хайрем,Дьюри,стал,подполковником.,+
186,Майор,Хайрем,Дьюри,стал,подполковнику.,-
187,Заведовал,школой,священник,из,Нурмы,Альпидовский.,+
188,Заведовал,школе,священник,из,Нурмы,Альпидовский.,-
189,Затем,два,брата,стали,даосами.,+
190,Затем,два,брата,стали,даосам.,-
191,После,завладевают,машиной,и,выслеживают,Ив.,+
192,После,завладевают,машине,и,выслеживают,Ив.,-
193,Ее,лидер,Леон,Мба,стал,президентом.,+
194,Ее,лидер,Леон,Мба,стал,президенту.,-
195,Руководил,группой,Кит,Харт,из.,+
196,Руководил,группе,Кит,Харт,из.,-
197,Им,командует,капитан,Кэтрин,Джейнвэй.,+
198,Ему,командует,капитан,Кэтрин,Джейнвэй.,-
199,Пехотой,командовал,подполковник,Герман,Серрано.,+
200,Пехоте,командовал,подполковник,Герман,Серрано.,-
