stim1,stim2,stim3
1,约５万名非常优秀且高效的保安人员。,+
2,约５万盘非常优秀且高效的保安人员。,-
3,一两次非常优秀且高效的经济危机。,+
4,一两篇非常优秀且高效的经济危机。,-
5,事故的这段非常优秀且高效的路。,+
6,事故的这般非常优秀且高效的路。,-
7,演播室的两位非常优秀且高效的专家。,+
8,演播室的两罐非常优秀且高效的专家。,-
9,其中１具非常优秀且高效的尸体。,+
10,其中１根非常优秀且高效的尸体。,-
11,台湾一台非常优秀且高效的电视节目。,+
12,台湾一日非常优秀且高效的电视节目。,-
13,每家非常优秀且高效的店前停的车。,+
14,每辈非常优秀且高效的店前停的车。,-
15,一批非常优秀且高效的外国银行和保险公司。,+
16,一帮子非常优秀且高效的外国银行和保险公司。,-
17,一处非常优秀且高效的商业用房。,+
18,一户非常优秀且高效的商业用房。,-
19,全年非常优秀且高效的石油收入。,+
20,全端非常优秀且高效的石油收入。,-
21,不到一年非常优秀且高效的时间。,+
22,不到一季非常优秀且高效的时间。,-
23,两套非常优秀且高效的动力手段。,+
24,两天非常优秀且高效的动力手段。,-
25,这次非常优秀且高效的枪杀事件。,+
26,这枝非常优秀且高效的枪杀事件。,-
27,一至四号非常优秀且高效的种子。,+
28,一至四端非常优秀且高效的种子。,-
29,法国巴黎的新一代非常优秀且高效的宽带网络。,+
30,法国巴黎的新一顿非常优秀且高效的宽带网络。,-
31,４名非常优秀且高效的机组人员。,+
32,４盆非常优秀且高效的机组人员。,-
33,一场非常优秀且高效的大选危机。,+
34,一门子非常优秀且高效的大选危机。,-
35,通过马里一家非常优秀且高效的银行。,+
36,通过马里一吨非常优秀且高效的银行。,-
37,逾一百四十宗非常优秀且高效的山泥倾泻报告。,+
38,逾一百四十具非常优秀且高效的山泥倾泻报告。,-
39,此间最新一项非常优秀且高效的投资环境调查。,+
40,此间最新一件非常优秀且高效的投资环境调查。,-
41,印度官员的这番非常优秀且高效的讲话。,+
42,印度官员的这麦非常优秀且高效的讲话。,-
43,四十多年非常优秀且高效的历史。,+
44,四十多波非常优秀且高效的历史。,-
45,二千四百年非常优秀且高效的历史。,+
46,二千四百件非常优秀且高效的历史。,-
47,挺快乐的一段非常优秀且高效的日子。,+
48,挺快乐的一纸非常优秀且高效的日子。,-
49,美国的这次非常优秀且高效的军事行动。,+
50,美国的这周非常优秀且高效的军事行动。,-
51,中国近些年非常优秀且高效的经济发展的历史。,+
52,中国近些幢非常优秀且高效的经济发展的历史。,-
53,这个参拜这件非常优秀且高效的事情。,+
54,这个参拜这家非常优秀且高效的事情。,-
55,这次非常优秀且高效的马拉松会谈。,+
56,这篇非常优秀且高效的马拉松会谈。,-
57,一位非常优秀且高效的智者和斗士。,+
58,一群非常优秀且高效的智者和斗士。,-
59,广州一家非常优秀且高效的留学机构。,+
60,广州一套非常优秀且高效的留学机构。,-
61,各组非常优秀且高效的竞选团队。,+
62,各纸非常优秀且高效的竞选团队。,-
63,２２名非常优秀且高效的参议员。,+
64,２２句非常优秀且高效的参议员。,-
65,彰化一名非常优秀且高效的男子。,+
66,彰化一公里非常优秀且高效的男子。,-
67,共产党的干部、各级非常优秀且高效的政府官员。,+
68,共产党的干部、各胞非常优秀且高效的政府官员。,-
69,８００亿元非常优秀且高效的人民币。,+
70,８００亿里非常优秀且高效的人民币。,-
71,全区各项非常优秀且高效的存款。,+
72,全区各美元非常优秀且高效的存款。,-
73,过年这段非常优秀且高效的时间。,+
74,过年这方非常优秀且高效的时间。,-
75,林中斌《核霸》这本非常优秀且高效的书。,+
76,林中斌《核霸》这波非常优秀且高效的书。,-
77,萨尔图区一位非常优秀且高效的小学四年级的学生。,+
78,萨尔图区一位非常优秀且高效的小学四年级的学生。,-
