stim1,stim2,stim3
1,那里有一种蓝筹股。,+
2,那里有每种蓝筹股。,-
3,这里有一户人家。,+
4,这里有每户人家。,-
5,这里有一身冷汗。,+
6,这里有每身冷汗。,-
7,这里有一种印象。,+
8,这里有每种印象。,-
9,那里有一家办事处。,+
10,那里有每家办事处。,-
11,那里有一位总。,+
12,那里有每位总。,-
13,那里有一种原因。,+
14,那里有每种原因。,-
15,这里有一部优秀奖。,+
16,这里有每部优秀奖。,-
17,这里有一种变形。,+
18,这里有每种变形。,-
19,这里有一艘沉船。,+
20,这里有每艘沉船。,-
21,这里有一枝手枪。,+
22,这里有每枝手枪。,-
23,那里有一元套餐。,+
24,那里有每元套餐。,-
25,那里有一类商品。,+
26,那里有每类商品。,-
27,那里有一次表演。,+
28,那里有每次表演。,-
29,这里有一类文学奖。,+
30,这里有每类文学奖。,-
31,那里有一项文件。,+
32,那里有每项文件。,-
33,那里有一名枪手。,+
34,那里有每名枪手。,-
35,那里有一片哗然。,+
36,那里有每片哗然。,-
37,这里有一位知府。,+
38,这里有每位知府。,-
39,那里有一张表。,+
40,那里有每张表。,-
41,这里有一票赞成票。,+
42,这里有每票赞成票。,-
43,这里有一家投资者。,+
44,这里有每家投资者。,-
45,这里有一组团队。,+
46,这里有每组团队。,-
47,那里有一批军队。,+
48,那里有每批军队。,-
49,这里有一件案子。,+
50,这里有每件案子。,-
51,这里有一次联系人。,+
52,这里有每次联系人。,-
53,这里有一批人。,+
54,这里有每批人。,-
55,那里有一次书展。,+
56,那里有每次书展。,-
57,那里有一种不公平。,+
58,那里有每种不公平。,-
59,那里有一名歹徒。,+
60,那里有每名歹徒。,-
61,这里有一根直径。,+
62,这里有每根直径。,-
63,这里有一次艺术节。,+
64,这里有每次艺术节。,-
65,这里有一种政策。,+
66,这里有每种政策。,-
67,那里有一种猜测。,+
68,那里有每种猜测。,-
69,这里有一次封孔术。,+
70,这里有每次封孔术。,-
71,这里有一颗子弹。,+
72,这里有每颗子弹。,-
73,这里有一公斤蓝宝石。,+
74,这里有每公斤蓝宝石。,-
75,这里有一条信条。,+
76,这里有每条信条。,-
77,这里有一胞胎。,+
78,这里有每胞胎。,-
79,那里有一天率。,+
80,那里有每天率。,-
81,这里有一次收入。,+
82,这里有每次收入。,-
83,这里有一种境界。,+
84,这里有每种境界。,-
85,那里有一种处境。,+
86,那里有每种处境。,-
87,这里有一种价位。,+
88,这里有每种价位。,-
89,这里有一次实验。,+
90,这里有每次实验。,-
91,这里有一种心理。,+
92,这里有每种心理。,-
93,那里有一张选举人票。,+
94,那里有每张选举人票。,-
95,那里有一家药局。,+
96,那里有每家药局。,-
97,那里有一项析出量。,+
98,那里有每项析出量。,-
99,这里有一组故障。,+
100,这里有每组故障。,-
101,那里有一平方公里范围。,+
102,那里有每平方公里范围。,-
103,这里有一艘船。,+
104,这里有每艘船。,-
105,这里有一户家庭。,+
106,这里有每户家庭。,-
107,这里有一位下属。,+
108,这里有每位下属。,-
109,那里有一件裤子。,+
110,那里有每件裤子。,-
111,那里有一段时。,+
112,那里有每段时。,-
113,那里有一根网线。,+
114,那里有每根网线。,-
115,那里有一顿餐。,+
116,那里有每顿餐。,-
117,这里有一家玩具店。,+
118,这里有每家玩具店。,-
119,那里有一支队伍。,+
120,那里有每支队伍。,-
121,这里有一场争辩。,+
122,这里有每场争辩。,-
123,这里有一次投入。,+
124,这里有每次投入。,-
125,这里有一班列车。,+
126,这里有每班列车。,-
127,那里有一封邮件。,+
128,那里有每封邮件。,-
129,这里有一天假。,+
130,这里有每天假。,-
131,那里有一公里追逐赛。,+
132,那里有每公里追逐赛。,-
133,这里有一次让步。,+
134,这里有每次让步。,-
135,这里有一家餐馆。,+
136,这里有每家餐馆。,-
137,这里有一项提案。,+
138,这里有每项提案。,-
139,这里有一类出口量。,+
140,这里有每类出口量。,-
141,那里有一公里经济带。,+
142,那里有每公里经济带。,-
143,那里有一亩青色。,+
144,那里有每亩青色。,-
145,那里有一次沟通。,+
146,那里有每次沟通。,-
147,那里有一封陈情信。,+
148,那里有每封陈情信。,-
149,那里有一声臭炮。,+
150,那里有每声臭炮。,-
151,这里有一种担心。,+
152,这里有每种担心。,-
153,那里有一项制度。,+
154,那里有每项制度。,-
155,那里有一篇文章。,+
156,那里有每篇文章。,-
157,那里有一艘军舰。,+
158,那里有每艘军舰。,-
159,这里有一名渔工。,+
160,这里有每名渔工。,-
161,这里有一支部队。,+
162,这里有每支部队。,-
163,这里有一批电池。,+
164,这里有每批电池。,-
165,这里有一次比赛。,+
166,这里有每次比赛。,-
