stim1,stim2,stim3
1,她们甚至没涉及什么利益。,+
2,她们甚至涉及什么利益。,-
3,他们甚至没巩固什么和解。,+
4,他们甚至巩固什么和解。,-
5,他们甚至没算什么time。,+
6,他们甚至算什么time。,-
7,她们甚至没远离什么年代。,+
8,她们甚至远离什么年代。,-
9,她们甚至没综观什么全球。,+
10,她们甚至综观什么全球。,-
11,他甚至没搞什么保护主义。,+
12,他甚至搞什么保护主义。,-
13,他们甚至没开什么总结会。,+
14,他们甚至开什么总结会。,-
15,他们甚至没交纳什么部分。,+
16,他们甚至交纳什么部分。,-
17,他们甚至没填写什么推荐人。,+
18,他们甚至填写什么推荐人。,-
19,她们甚至没听见什么雷声。,+
20,她们甚至听见什么雷声。,-
21,他们甚至没列入什么大纲。,+
22,他们甚至列入什么大纲。,-
23,她们甚至没利用什么贷款。,+
24,她们甚至利用什么贷款。,-
25,他们甚至没进行什么磋商。,+
26,他们甚至进行什么磋商。,-
27,他们甚至没返回什么会谈。,+
28,他们甚至返回什么会谈。,-
29,他们甚至没申请什么学校。,+
30,他们甚至申请什么学校。,-
31,他们甚至没张开什么嘴巴。,+
32,他们甚至张开什么嘴巴。,-
33,她们甚至没投入什么资金。,+
34,她们甚至投入什么资金。,-
35,他们甚至没造成什么热潮。,+
36,他们甚至造成什么热潮。,-
37,她们甚至没表演什么节目。,+
38,她们甚至表演什么节目。,-
39,她们甚至没兴建什么医院。,+
40,她们甚至兴建什么医院。,-
41,她甚至没投掷什么石块儿。,+
42,她甚至投掷什么石块儿。,-
43,他们甚至没任命什么主任。,+
44,他们甚至任命什么主任。,-
45,她们甚至没输入什么拼音。,+
46,她们甚至输入什么拼音。,-
47,他们甚至没祝贺什么生日。,+
48,他们甚至祝贺什么生日。,-
49,他们甚至没清理什么路面。,+
50,他们甚至清理什么路面。,-
51,她们甚至没聘用什么人才。,+
52,她们甚至聘用什么人才。,-
53,她们甚至没树立什么示范。,+
54,她们甚至树立什么示范。,-
55,她们甚至没申请什么样张。,+
56,她们甚至申请什么样张。,-
57,她们甚至没惊动什么公安部。,+
58,她们甚至惊动什么公安部。,-
59,他们甚至没呈现什么格局。,+
60,他们甚至呈现什么格局。,-
61,她们甚至没描述什么女人。,+
62,她们甚至描述什么女人。,-
63,她们甚至没组装什么成品。,+
64,她们甚至组装什么成品。,-
65,他们甚至没送上什么法庭。,+
66,他们甚至送上什么法庭。,-
67,他们甚至没启动什么消费。,+
68,他们甚至启动什么消费。,-
69,她们甚至没打败什么敌人。,+
70,她们甚至打败什么敌人。,-
71,她们甚至没迁居什么他乡。,+
