stim1,stim2,stim3
1,他们遇见了那个打开了知名度的女地勤。,+
2,他们遇见了那个女地勤打开了知名度的女地勤。,-
3,她见到了那个制止了暴利的女警察。,+
4,她见到了那个女警察制止了暴利的女警察。,-
5,她们提到了那个喜欢了这个地方的女木匠。,+
6,她们提到了那个女木匠喜欢了这个地方的女木匠。,-
7,你们遇见了那个举了前卫颠覆姿态的男经理。,+
8,你们遇见了那个男经理举了前卫颠覆姿态的男经理。,-
9,她提到了那个具了影响力的男前台。,+
10,她提到了那个男前台具了影响力的男前台。,-
11,你们遇到了那个保障了和平与安全的女售货员。,+
12,你们遇到了那个女售货员保障了和平与安全的女售货员。,-
13,他见到了那个停建了核试的男警察。,+
14,他见到了那个男警察停建了核试的男警察。,-
15,你们看见了那个变成了缩头乌龟的女领班。,+
16,你们看见了那个女领班变成了缩头乌龟的女领班。,-
17,你遇见了那个实施了企业破产关闭的女会计。,+
18,你遇见了那个女会计实施了企业破产关闭的女会计。,-
19,他们提到了那个包围了立法院的男农民。,+
20,他们提到了那个男农民包围了立法院的男农民。,-
21,她们遇见了那个提供了保障的男领班。,+
22,她们遇见了那个男领班提供了保障的男领班。,-
23,你遇到了那个建了人生新价值观的男前台。,+
24,你遇到了那个男前台建了人生新价值观的男前台。,-
25,你看见了那个按了重启按钮的男警察。,+
26,你看见了那个男警察按了重启按钮的男警察。,-
27,他遇见了那个控告了联邦政府的女职工。,+
28,他遇见了那个女职工控告了联邦政府的女职工。,-
29,你们见到了那个多了一份宽容的女售货员。,+
30,你们见到了那个女售货员多了一份宽容的女售货员。,-
31,他们遇见了那个看了参展企业的女科学家。,+
32,他们遇见了那个女科学家看了参展企业的女科学家。,-
33,他们见到了那个扩大了对外开放的女职工。,+
34,他们见到了那个女职工扩大了对外开放的女职工。,-
35,她们看见了那个遭受了巨大灾难的男工程师。,+
36,她们看见了那个男工程师遭受了巨大灾难的男工程师。,-
37,她们遇到了那个干扰了政府决策的男警察。,+
38,她们遇到了那个男警察干扰了政府决策的男警察。,-
39,她们见到了那个改善了设施的男学者。,+
40,她们见到了那个男学者改善了设施的男学者。,-
41,她遇见了那个煮了玻璃奶瓶的女服务员。,+
42,她遇见了那个女服务员煮了玻璃奶瓶的女服务员。,-
43,他见到了那个申请了联培的女队员。,+
44,他见到了那个女队员申请了联培的女队员。,-
45,你们遇到了那个托付了给他爸一件任务的男主持人。,+
46,你们遇到了那个男主持人托付了给他爸一件任务的男主持人。,-
47,你们见到了那个创造了财富的女售票员。,+
48,你们见到了那个女售票员创造了财富的女售票员。,-
49,他们提到了那个设了二百多个摊位的女工程师。,+
50,他们提到了那个女工程师设了二百多个摊位的女工程师。,-
51,她们看见了那个发动了绝食抗议的男驾驶员。,+
52,她们看见了那个男驾驶员发动了绝食抗议的男驾驶员。,-
53,他遇到了那个占领了东北的男导游。,+
54,他遇到了那个男导游占领了东北的男导游。,-
55,她们见到了那个读了那臭PhD的女校长。,+
56,她们见到了那个女校长读了那臭PhD的女校长。,-
57,她们遇见了那个传了二世乃至万世的女领班。,+
58,她们遇见了那个女领班传了二世乃至万世的女领班。,-
59,她见到了那个分了三个乐章的女导游。,+
60,她见到了那个女导游分了三个乐章的女导游。,-
61,她见到了那个问了些问题的女驾驶员。,+
62,她见到了那个女驾驶员问了些问题的女驾驶员。,-
63,她见到了那个销售了空气的女护士。,+
64,她见到了那个女护士销售了空气的女护士。,-
65,他们遇见了那个增加了就业的男职工。,+
66,他们遇见了那个男职工增加了就业的男职工。,-
67,他们看见了那个采用了零和博弈的男服务员。,+
68,他们看见了那个男服务员采用了零和博弈的男服务员。,-
69,你们提到了那个补行了程序的女医生。,+
70,你们提到了那个女医生补行了程序的女医生。,-
71,你们见到了那个给了我资助的男学生。,+
72,你们见到了那个男学生给了我资助的男学生。,-
73,她遇到了那个改变了主意的男驾驶员。,+
74,她遇到了那个男驾驶员改变了主意的男驾驶员。,-
75,他看见了那个涤荡了心灵的男医生。,+
76,他看见了那个男医生涤荡了心灵的男医生。,-
77,你们见到了那个传递了爱心的男工程师。,+
78,你们见到了那个男工程师传递了爱心的男工程师。,-
79,他提到了那个回首了前半个人生的女店员。,+
