stim1,stim2,stim3
1,他们在缴罚款了。,+
2,他们在缴了罚款。,-
3,她们在找roommate了。,+
4,她们在找了roommate。,-
5,她们在找人了。,+
6,她们在找了人。,-
7,他们在回邮件了。,+
8,他们在回了邮件。,-
9,他们在找室友了。,+
10,他们在找了室友。,-
11,她们在试那个服务了。,+
12,她们在试了那个服务。,-
13,他们在为两边阵营鼓动是非了。,+
14,他们在为两边阵营鼓动了是非。,-
15,她们在写你的SOP了。,+
16,她们在写你的SOP了。,-
17,他们在支持你了。,+
18,他们在支持了你。,-
19,她们在积灰的旧个人计算机或录像机了。,+
20,她们在积灰了的旧个人计算机或录像机。,-
21,她们在使劲儿搞这些东西了。,+
22,她们在使劲儿了搞这些东西。,-
23,他们在适应商业化了。,+
24,他们在适应了商业化。,-
25,她们在包庇业者了。,+
26,她们在包庇了业者。,-
27,她们在禁止军事活动了。,+
28,她们在禁止了军事活动。,-
29,她们在帮她了。,+
30,她们在帮了她。,-
31,她们在谈南海问题了。,+
32,她们在谈了南海问题。,-
33,他们在寻求任务了。,+
34,他们在寻求了任务。,-
35,她们在谈这个自由贸易协定了。,+
36,她们在谈了这个自由贸易协定。,-
37,她们在推进~ＷＴＯ为主轴的这个多边贸易协定了。,+
38,她们在推进了~ＷＴＯ为主轴的这个多边贸易协定。,-
39,她们在说什么了。,+
40,她们在说了什么。,-
41,她们在干什么了。,+
42,她们在干了什么。,-
43,他们在过些日子了。,+
44,他们在过了些日子。,-
45,她们在和你说王##了。,+
46,她们在和了你说王##。,-
47,他们在找苦了。,+
48,他们在找了苦。,-
49,他们在紧张什么了。,+
50,他们在紧张了什么。,-
51,她们在想WCG了。,+
52,她们在想了WCG。,-
53,他们在找钱了。,+
54,他们在找了钱。,-
55,她们在找工作了。,+
56,她们在找了工作。,-
57,他们在关注新闻了。,+
58,他们在关注了新闻。,-
59,他们在读本了。,+
60,他们在读了本。,-
61,她们在认真对待中非关系了。,+
62,她们在认真了对待中非关系。,-
63,她们在想一个事儿了。,+
64,她们在想了一个事儿。,-
65,他们在拿党纪条规和法律法规开玩笑了。,+
66,他们在拿党纪条规和法律法规开了玩笑。,-
67,他们在忽悠全社会了。,+
68,他们在忽悠了全社会。,-
69,她们在关注着你们名人的一言一行了。,+
70,她们在关注了着你们名人的一言一行。,-
71,他们在买包子了。,+
72,他们在买了包子。,-
73,她们在随时地监控着大家的精神状况了。,+
74,她们在随时了地监控着大家的精神状况。,-
75,他们在看叮当了。,+
76,他们在看了叮当。,-
77,他们在放年假了。,+
78,他们在放了年假。,-
79,她们在极力隐瞒核辐射的实际强度了。,+
80,她们在极力了隐瞒核辐射的实际强度。,-
81,她们在接受治疗了。,+
82,她们在接受了治疗。,-
83,他们在谴责中国政府了。,+
84,他们在谴责了中国政府。,-
85,他们在攻击政府了。,+
86,他们在攻击了政府。,-
87,他们在讲他的老故事了。,+
88,他们在讲了他的老故事。,-
89,她们在吸大麻了。,+
90,她们在吸了大麻。,-
91,她们在观望着这里的行动了。,+
92,她们在观望了着这里的行动。,-
93,他们在挥舞着他们的刀了。,+
94,他们在挥舞了着他们的刀。,-
95,她们在申请AmericanExpress了。,+
96,她们在申请了AmericanExpress。,-
97,她们在给他做嘛这这套东西了。,+
98,她们在给了他做嘛这这套东西。,-
99,他们在找我了。,+
100,他们在找了我。,-
101,他们在和他谈价格了。,+
102,他们在和他谈了价格。,-
103,他们在问问他了。,+
104,他们在问问了他。,-
105,他们在忙什么了。,+
106,他们在忙了什么。,-
107,她们在改回程的票了。,+
108,她们在改了回程的票。,-
109,他们在监视印度在该地区的军事活动了。,+
110,他们在监视了印度在该地区的军事活动。,-
111,她们在搜集重要的深海测量数据了。,+
112,她们在搜集了重要的深海测量数据。,-
113,她们在看电影了。,+
114,她们在看了电影。,-
115,她们在忙啥了。,+
116,她们在忙了啥。,-
117,他们在通过各种方式表达人道关怀了。,+
118,他们在通过各种方式表达了人道关怀。,-
119,她们在从事什么工作了。,+
120,她们在从事什么工作了。,-
121,他们在遭受炸弹的威胁了。,+
122,他们在遭受了炸弹的威胁。,-
123,她们在学小提琴了。,+
124,她们在学了小提琴。,-
125,她们在学钢琴了。,+
126,她们在学了钢琴。,-
127,她们在接电话了。,+
128,她们在接了电话。,-
129,他们在读master了。,+
130,他们在读了master。,-
131,他们在干嘛了。,+
132,他们在干了嘛。,-
133,她们在扰动着我们的心灵了。,+
134,她们在扰动了着我们的心灵。,-
135,她们在听取有关南斯拉夫局势的通报了。,+
136,她们在听取了有关南斯拉夫局势的通报。,-
137,她们在看hungergame了。,+
138,她们在看了hungergame。,-
139,他们在看那套小说了。,+
140,他们在看了那套小说。,-
141,他们在不断刊登胜利的消息了。,+
142,他们在不断刊登了胜利的消息。,-
143,她们在抬举女性了。,+
144,她们在抬举女性了。,-
145,她们在转嫁社会责任了。,+
146,她们在转嫁社会了责任。,-
147,他们在自己找兴趣和意义了。,+
148,他们在自己找了兴趣和意义。,-
149,她们在争吵同样的事了。,+
150,她们在争吵同样了的事。,-
151,她们在办护照了。,+
152,她们在办护照了。,-
153,她们在做报表了。,+
154,她们在做报表了。,-
155,他们在弄钱了。,+
156,他们在弄了钱。,-
157,她们在影响着孩子们了。,+
158,她们在影响了着孩子们。,-
159,她们在吃一个山楂花的花蜜了。,+
160,她们在吃了一个山楂花的花蜜。,-
161,她们在接受宣传了。,+
162,她们在接受了宣传。,-
163,他们在给朋友做题目了。,+
164,他们在给朋友做了题目。,-
165,她们在找房子了。,+
166,她们在找房子了。,-
167,她们在找寻出路了。,+
168,她们在找寻出路了。,-
169,他们在打太极了。,+
170,他们在打了太极。,-
171,她们在喝蜂蜜水了。,+
172,她们在喝了蜂蜜水。,-
173,她们在下暴雨了。,+
174,她们在下了暴雨。,-
175,她们在进一步改善投资条件了。,+
176,她们在进一步了改善投资条件。,-
177,他们在出张13号伊斯坦布尔导迪拜的机票了。,+
178,他们在出了张13号伊斯坦布尔导迪拜的机票。,-
179,她们在从迪拜到安卡拉了。,+
180,她们在从了迪拜到安卡拉。,-
181,他们在坐享伊拉克战争的红利了。,+
182,他们在坐享了伊拉克战争的红利。,-
183,她们在关注美方的表态了。,+
184,她们在关注了美方的表态。,-
185,她们在建的桥面最宽的大桥了。,+
186,她们在建了的桥面最宽的大桥。,-
187,她们在写resume了。,+
188,她们在写了resume。,-
189,他们在从事重大建设了。,+
190,他们在从事了重大建设。,-
191,他们在加强这个同外面的一个经贸的关系这样的一个战略了。,+
192,他们在加强了这个同外面的一个经贸的关系这样的一个战略。,-
193,她们在想着我在阿曼的小女儿了。,+
194,她们在想了着我在阿曼的小女儿。,-
195,她们在听这样的经历了。,+
196,她们在听了这样的经历。,-
197,她们在考验我们了。,+
198,她们在考验了我们。,-
199,他们在核实震级的准确度了。,+
200,他们在核实了震级的准确度。,-
201,她们在寻求国际间的协助了。,+
202,她们在寻求了国际间的协助。,-
203,她们在上演个一两天了。,+
204,她们在上演了个一两天。,-
205,他们在滥用媒体话语权了。,+
206,他们在滥用了媒体话语权。,-
207,他们在办绿卡了。,+
208,他们在办了绿卡。,-
209,她们在在学什么了。,+
210,她们在在了学什么。,-
211,她们在修那个computer课了。,+
212,她们在修了那个computer课。,-
213,她们在学那computer了。,+
