stim1,stim2,stim3
1,他们在观察选举。,+
2,他们在观察了选举。,-
3,她们在打「恐惧牌」。,+
4,她们在打了「恐惧牌」。,-
5,他们在起用各方面人才。,+
6,他们在起用了各方面人才。,-
7,她们在领导全民政府。,+
8,她们在领导了全民政府。,-
9,他们在担任访问研究员。,+
10,他们在担任了访问研究员。,-
11,她们在影响选情。,+
12,她们在影响了选情。,-
13,她们在改善两岸关系。,+
14,她们在改善了两岸关系。,-
15,他们在建立功名。,+
16,他们在建立了功名。,-
17,她们在利用民族主义。,+
18,她们在利用了民族主义。,-
19,他们在给中共可乘之机。,+
20,他们在给了中共可乘之机。,-
21,她们在错估情势。,+
22,她们在错估了情势。,-
23,他们在任海基会副秘书长。,+
24,他们在任了海基会副秘书长。,-
25,她们在进行台独。,+
26,她们在进行了台独。,-
27,她们在误判形势。,+
28,她们在误判了形势。,-
29,她们在做深层分析。,+
30,她们在做了深层分析。,-
31,她们在实现新跨跃。,+
32,她们在实现了新跨跃。,-
33,她们在传播细菌。,+
34,她们在传播了细菌。,-
35,他们在使用中文。,+
36,他们在使用了中文。,-
37,他们在注册国际域名。,+
38,他们在注册了国际域名。,-
39,他们在推崇所谓欧陆风格。,+
40,他们在推崇了所谓欧陆风格。,-
41,他们在刮欧式风。,+
42,他们在刮了欧式风。,-
43,她们在欠缴罚款。,+
44,她们在欠缴了罚款。,-
45,她们在撤查违规原因。,+
46,她们在撤查了违规原因。,-
47,他们在修老火车。,+
48,他们在修了老火车。,-
49,他们在谈起前尘往事。,+
50,他们在谈起了前尘往事。,-
51,她们在相当三年制工业学校。,+
52,她们在相当了三年制工业学校。,-
53,他们在准备考试。,+
54,他们在准备了考试。,-
55,她们在仰赖进口。,+
56,她们在仰赖了进口。,-
57,他们在维修蒸气机车。,+
58,他们在维修了蒸气机车。,-
59,她们在靠我们这些老头子。,+
60,她们在靠了我们这些老头子。,-
61,她们在接待访客。,+
62,她们在接待了访客。,-
63,她们在生产零件。,+
64,她们在生产了零件。,-
65,他们在担任省主席。,+
66,他们在担任了省主席。,-
67,他们在改善农村经济。,+
68,他们在改善了农村经济。,-
69,他们在变成工厂。,+
70,他们在变成了工厂。,-
71,他们在修复阿里山蒸汽火车。,+
72,他们在修复了阿里山蒸汽火车。,-
73,他们在增添多少欢乐。,+
74,他们在增添了多少欢乐。,-
75,她们在亲她一口。,+
76,她们在亲了她一口。,-
77,她们在抱抱小丫头。,+
78,她们在抱抱了小丫头。,-
79,她们在发个名单汇总。,+
80,她们在发了个名单汇总。,-
81,他们在经营人民币业务。,+
82,他们在经营了人民币业务。,-
83,她们在设立分行。,+
84,她们在设立了分行。,-
85,他们在启用欧元。,+
86,他们在启用了欧元。,-
87,她们在举行特别会议。,+
88,她们在举行了特别会议。,-
89,他们在保留原货币。,+
90,他们在保留了原货币。,-
91,她们在兑换成欧元。,+
92,她们在兑换了成欧元。,-
93,他们在适应欧元。,+
94,他们在适应了欧元。,-
95,他们在进行兑换。,+
96,他们在进行了兑换。,-
97,她们在印制欧元纸币和硬币。,+
98,她们在印制了欧元纸币和硬币。,-
99,她们在投放市场。,+
100,她们在投放了市场。,-
101,她们在找你男人。,+
102,她们在找了你男人。,-
103,他们在地处山东省沿海。,+
104,他们在地处了山东省沿海。,-
105,他们在找个时间。,+
106,他们在找了个时间。,-
107,她们在泪洒会场。,+
108,她们在泪洒了会场。,-
109,她们在做一个平民。,+
110,她们在做了一个平民。,-
111,他们在替代对抗。,+
112,他们在替代了对抗。,-
113,她们在展大胸心。,+
114,她们在展大了胸心。,-
115,他们在燃起希望跟信心。,+
116,他们在燃起了希望跟信心。,-
117,她们在走入历史。,+
118,她们在走入了历史。,-
119,她们在损失一艘驱逐舰。,+
120,她们在损失了一艘驱逐舰。,-
121,他们在架起大炮导弹。,+
122,他们在架起了大炮导弹。,-
123,她们在抢占我国海岛。,+
124,她们在抢占了我国海岛。,-
125,她们在否定我国三条理由。,+
126,她们在否定了我国三条理由。,-
127,她们在绘制新地图。,+
128,她们在绘制了新地图。,-
129,他们在否定大陆架原则。,+
130,他们在否定了大陆架原则。,-
131,她们在抓住大陆架。,+
132,她们在抓住了大陆架。,-
133,她们在攥起拳头。,+
134,她们在攥起了拳头。,-
135,他们在部署航母。,+
136,他们在部署了航母。,-
137,她们在架起导弹。,+
138,她们在架起了导弹。,-
139,他们在告诫总统。,+
140,他们在告诫了总统。,-
141,她们在担任护航。,+
142,她们在担任了护航。,-
143,她们在搁置争议。,+
144,她们在搁置了争议。,-
145,他们在做政治筹码。,+
146,他们在做了政治筹码。,-
147,她们在想念圣祖毛爷爷。,+
148,她们在想念了圣祖毛爷爷。,-
149,他们在进入金妈地区。,+
150,他们在进入了金妈地区。,-
151,他们在设立服务站。,+
152,他们在设立了服务站。,-
153,他们在分隔给大陆研究室。,+
154,他们在分隔了给大陆研究室。,-
155,他们在进行整合。,+
156,他们在进行了整合。,-
157,她们在分发新产品。,+
158,她们在分发了新产品。,-
159,她们在分重点地区。,+
160,她们在分了重点地区。,-
161,他们在兴办实业。,+
162,他们在兴办了实业。,-
163,他们在进行农业综合开发。,+
164,他们在进行了农业综合开发。,-
165,他们在发展农产品深加工业。,+
166,他们在发展了农产品深加工业。,-
167,她们在占领国际国内市场。,+
168,她们在占领了国际国内市场。,-
169,她们在参与建设。,+
170,她们在参与了建设。,-
171,她们在购买股票。,+
172,她们在购买了股票。,-
173,她们在进行投资。,+
174,她们在进行了投资。,-
175,她们在吸引台资。,+
176,她们在吸引了台资。,-
177,他们在设立联合开发中心。,+
178,他们在设立了联合开发中心。,-
179,她们在进行研究。,+
180,她们在进行了研究。,-
181,他们在降低科研费用。,+
182,他们在降低了科研费用。,-
183,他们在缩短研制周期。,+
184,他们在缩短了研制周期。,-
185,她们在骑自行车。,+
186,她们在骑了自行车。,-
187,她们在加强管理。,+
188,她们在加强了管理。,-
189,她们在支付全部购买金。,+
190,她们在支付了全部购买金。,-
191,她们在延长支付。,+
192,她们在延长了支付。,-
193,她们在付清全部购买金。,+
194,她们在付清了全部购买金。,-
195,他们在分配收益。,+
196,他们在分配了收益。,-
197,她们在付清全部购买金额。,+
198,她们在付清了全部购买金额。,-
199,她们在分配收益。,+
200,她们在分配了收益。,-
201,他们在经由第三地。,+
202,他们在经由了第三地。,-
203,她们在开放直航。,+
204,她们在开放了直航。,-
205,他们在维护国家与社会安全。,+
206,他们在维护了国家与社会安全。,-
207,她们在刺激经济发展。,+
208,她们在刺激了经济发展。,-
209,她们在繁荣里岛建设。,+
210,她们在繁荣了里岛建设。,-
211,她们在经由第三地。,+
212,她们在经由了第三地。,-
213,她们在中转金、妈里岛地区。,+
214,她们在中转了金、妈里岛地区。,-
215,他们在率同业者。,+
216,他们在率了同业者。,-
217,他们在从事娱乐、购物。,+
218,他们在从事了娱乐、购物。,-
219,他们在开放１００万人。,+
220,他们在开放了１００万人。,-
221,她们在举办国际电脑资讯展。,+
222,她们在举办了国际电脑资讯展。,-
223,他们在放眼未来。,+
224,他们在放眼了未来。,-
225,他们在筹足美金。,+
226,他们在筹足了美金。,-
227,她们在拨拨算盘。,+
228,她们在拨拨了算盘。,-
229,她们在包括加工丝。,+
230,她们在包括了加工丝。,-
231,他们在举行年会。,+
232,他们在举行了年会。,-
233,她们在靠国内市场。,+
234,她们在靠了国内市场。,-
235,他们在仰赖进口。,+
236,他们在仰赖了进口。,-
237,他们在遭受重击。,+
238,他们在遭受了重击。,-
239,他们在发表乐观看法。,+
240,他们在发表了乐观看法。,-
241,他们在遭受波及。,+
242,他们在遭受了波及。,-
243,他们在振兴经济。,+
244,他们在振兴了经济。,-
245,他们在亏损五十亿元台币。,+
246,他们在亏损了五十亿元台币。,-
247,她们在停掉一座六寸晶圆厂。,+
248,她们在停掉了一座六寸晶圆厂。,-
249,她们在生产半导体。,+
250,她们在生产了半导体。,-
251,她们在发展半导体产业。,+
252,她们在发展了半导体产业。,-
253,她们在避免正面冲突。,+
254,她们在避免了正面冲突。,-
255,她们在坐megabus。,+
256,她们在坐了megabus。,-
257,她们在熟悉megabus。,+
258,她们在熟悉了megabus。,-
259,他们在加上你我。,+
260,他们在加上了你我。,-
261,他们在告知我一声。,+
262,他们在告知了我一声。,-
263,他们在找roommate。,+
264,他们在找了roommate。,-
265,她们在看具体情况。,+
266,她们在看了具体情况。,-
267,她们在找一个室友。,+
268,她们在找了一个室友。,-
269,她们在找roommate。,+
270,她们在找了roommate。,-
271,他们在来campus。,+
272,他们在来了campus。,-
273,她们在买来回机票。,+
274,她们在买了来回机票。,-
275,她们在请教你意见。,+
276,她们在请教了你意见。,-
277,他们在google这个。,+
278,他们在google了这个。,-
279,她们在租李婧那个。,+
280,她们在租了李婧那个。,-
281,他们在教刑事司法系统。,+
282,他们在教了刑事司法系统。,-
283,她们在开理论犯罪学。,+
284,她们在开了理论犯罪学。,-
285,他们在直入Ph.D项目。,+
286,他们在直入了Ph.D项目。,-
287,他们在坐Amtrak。,+
288,他们在坐了Amtrak。,-
289,她们在坐amtrak。,+
290,她们在坐了amtrak。,-
291,她们在融入大家。,+
292,她们在融入了大家。,-
293,她们在搀和这事。,+
294,她们在搀和了这事。,-
295,他们在卷走近1亿元人民币。,+
296,他们在卷走了近1亿元人民币。,-
297,她们在多此一问。,+
298,她们在多了此一问。,-
299,他们在实现全民免费医疗。,+
