,wol,san,bre,lav,pol,ron,lij,bua,heb,xcl,rus,myv,sah,kat,vep,bul,eus,hbo,grc,ell,kxh,spa,fin,aln,krl,gle,swe,kpv,slv,koi,ita,azz,apu,est,hun,deu,isl,por,arb,quc,mar,fra,ukr,cym,hbs,glg,fao,uzb,lit,ota,ces,nds,bor,olo,hit,uig,tam,mdf,kmr,sms,sme,abk,sqi,xnr,kaz,nhi,hyw,tur,hin,amh,mkd,slk,kir,bel,yrl,fas,eng,cat,xpg,lat,fro,nld,ttc,frm,hye,orv,hsb,bho,chu,got
wol,870.0,12.0,14.0,30.0,21.0,16.0,10.0,3.0,10.0,9.0,21.0,14.0,10.0,18.0,7.0,20.0,3.0,20.0,26.0,26.0,4.0,14.0,19.0,10.0,5.0,11.0,21.0,15.0,16.0,13.0,14.0,24.0,11.0,20.0,12.0,14.0,20.0,13.0,17.0,4.0,12.0,3.0,18.0,17.0,18.0,7.0,12.0,10.0,20.0,7.0,21.0,34.0,16.0,3.0,14.0,12.0,10.0,11.0,11.0,26.0,21.0,8.0,26.0,6.0,24.0,17.0,17.0,17.0,12.0,23.0,2.0,18.0,12.0,25.0,12.0,5.0,16.0,17.0,3.0,6.0,25.0,19.0,10.0,12.0,24.0,9.0,10.0,7.0,10.0,16.0
san,12.0,870.0,3.0,4.0,14.0,11.0,4.0,14.0,1.0,16.0,21.0,8.0,15.0,24.0,21.0,7.0,5.0,14.0,16.0,4.0,6.0,13.0,13.0,8.0,2.0,5.0,6.0,11.0,8.0,8.0,12.0,7.0,4.0,6.0,17.0,10.0,4.0,1.0,5.0,4.0,11.0,8.0,7.0,8.0,10.0,6.0,6.0,23.0,5.0,10.0,8.0,7.0,9.0,4.0,8.0,17.0,23.0,9.0,10.0,8.0,8.0,4.0,13.0,10.0,6.0,10.0,18.0,17.0,17.0,22.0,9.0,8.0,26.0,5.0,8.0,6.0,5.0,8.0,4.0,21.0,13.0,11.0,10.0,6.0,10.0,11.0,11.0,8.0,5.0,7.0
bre,14.0,3.0,870.0,40.0,23.0,14.0,37.0,8.0,35.0,10.0,22.0,34.0,4.0,32.0,14.0,27.0,2.0,7.0,28.0,45.0,17.0,17.0,30.0,14.0,4.0,6.0,25.0,35.0,36.0,12.0,15.0,20.0,13.0,39.0,28.0,17.0,38.0,20.0,46.0,22.0,20.0,23.0,32.0,85.0,32.0,29.0,26.0,1.0,55.0,23.0,29.0,21.0,14.0,10.0,4.0,13.0,0.0,26.0,10.0,8.0,24.0,25.0,37.0,1.0,10.0,22.0,34.0,24.0,16.0,11.0,7.0,30.0,0.0,34.0,17.0,28.0,16.0,30.0,5.0,10.0,13.0,16.0,7.0,18.0,45.0,33.0,24.0,4.0,13.0,11.0
lav,30.0,4.0,40.0,870.0,406.0,387.0,28.0,95.0,40.0,10.0,378.0,260.0,5.0,275.0,130.0,380.0,5.0,32.0,43.0,313.0,5.0,372.0,317.0,8.0,4.0,0.0,106.0,255.0,416.0,7.0,332.0,10.0,5.0,412.0,169.0,390.0,244.0,296.0,130.0,108.0,19.0,90.0,395.0,74.0,456.0,37.0,63.0,15.0,325.0,80.0,468.0,228.0,17.0,20.0,4.0,59.0,3.0,25.0,5.0,17.0,136.0,4.0,153.0,5.0,69.0,18.0,252.0,96.0,228.0,5.0,7.0,315.0,20.0,239.0,4.0,90.0,208.0,309.0,5.0,31.0,214.0,367.0,5.0,45.0,268.0,46.0,174.0,3.0,6.0,7.0
pol,21.0,14.0,23.0,406.0,870.0,522.0,1.0,133.0,42.0,6.0,540.0,248.0,9.0,281.0,146.0,489.0,5.0,20.0,28.0,321.0,2.0,513.0,326.0,4.0,1.0,1.0,110.0,222.0,505.0,0.0,404.0,13.0,5.0,427.0,158.0,510.0,250.0,337.0,122.0,104.0,20.0,90.0,423.0,74.0,551.0,37.0,75.0,16.0,293.0,71.0,598.0,242.0,3.0,6.0,8.0,66.0,18.0,14.0,2.0,17.0,112.0,4.0,140.0,3.0,84.0,0.0,263.0,98.0,251.0,0.0,1.0,354.0,40.0,248.0,4.0,94.0,258.0,339.0,5.0,25.0,226.0,539.0,4.0,43.0,257.0,42.0,201.0,4.0,1.0,1.0
ron,16.0,11.0,14.0,387.0,522.0,870.0,5.0,123.0,52.0,4.0,539.0,255.0,7.0,295.0,151.0,517.0,5.0,17.0,26.0,350.0,1.0,552.0,351.0,3.0,3.0,2.0,138.0,234.0,491.0,2.0,454.0,14.0,5.0,470.0,164.0,560.0,233.0,389.0,105.0,99.0,19.0,115.0,456.0,50.0,579.0,53.0,61.0,28.0,283.0,85.0,550.0,240.0,6.0,4.0,8.0,65.0,14.0,6.0,2.0,14.0,123.0,3.0,129.0,8.0,71.0,2.0,301.0,91.0,272.0,1.0,2.0,324.0,27.0,250.0,0.0,102.0,286.0,397.0,5.0,30.0,209.0,555.0,3.0,46.0,266.0,50.0,195.0,1.0,7.0,3.0
lij,10.0,4.0,37.0,28.0,1.0,5.0,870.0,6.0,19.0,7.0,5.0,4.0,1.0,16.0,5.0,5.0,8.0,20.0,17.0,19.0,12.0,4.0,12.0,12.0,13.0,8.0,28.0,3.0,3.0,12.0,7.0,11.0,13.0,11.0,8.0,7.0,18.0,6.0,23.0,13.0,20.0,17.0,10.0,24.0,3.0,23.0,13.0,4.0,19.0,10.0,5.0,5.0,21.0,13.0,7.0,7.0,4.0,15.0,12.0,10.0,9.0,16.0,31.0,1.0,22.0,19.0,13.0,3.0,1.0,12.0,12.0,7.0,1.0,6.0,8.0,5.0,5.0,11.0,8.0,10.0,4.0,4.0,14.0,11.0,11.0,18.0,5.0,4.0,17.0,7.0
bua,3.0,14.0,8.0,95.0,133.0,123.0,6.0,870.0,8.0,1.0,128.0,101.0,5.0,70.0,50.0,112.0,7.0,11.0,8.0,87.0,4.0,116.0,91.0,13.0,6.0,5.0,9.0,104.0,101.0,3.0,125.0,6.0,3.0,120.0,38.0,126.0,64.0,107.0,31.0,50.0,14.0,17.0,96.0,21.0,117.0,18.0,17.0,9.0,83.0,45.0,118.0,99.0,5.0,3.0,11.0,23.0,17.0,20.0,8.0,3.0,58.0,5.0,29.0,9.0,25.0,6.0,70.0,33.0,70.0,9.0,12.0,90.0,11.0,80.0,7.0,18.0,50.0,78.0,7.0,7.0,103.0,114.0,11.0,17.0,78.0,16.0,55.0,5.0,4.0,1.0
heb,10.0,1.0,35.0,40.0,42.0,52.0,19.0,8.0,870.0,5.0,46.0,36.0,5.0,44.0,6.0,49.0,5.0,15.0,42.0,58.0,12.0,36.0,59.0,17.0,7.0,8.0,55.0,26.0,39.0,15.0,48.0,25.0,13.0,34.0,67.0,26.0,52.0,81.0,69.0,25.0,19.0,86.0,56.0,29.0,40.0,75.0,25.0,5.0,51.0,37.0,38.0,35.0,15.0,7.0,7.0,16.0,3.0,24.0,16.0,8.0,34.0,8.0,31.0,2.0,21.0,14.0,29.0,30.0,36.0,9.0,19.0,54.0,0.0,46.0,12.0,64.0,55.0,46.0,5.0,29.0,20.0,35.0,12.0,24.0,55.0,26.0,22.0,4.0,13.0,11.0
xcl,9.0,16.0,10.0,10.0,6.0,4.0,7.0,1.0,5.0,870.0,3.0,2.0,13.0,6.0,20.0,7.0,12.0,4.0,5.0,3.0,11.0,4.0,6.0,5.0,8.0,12.0,4.0,1.0,6.0,4.0,1.0,6.0,6.0,9.0,7.0,7.0,9.0,7.0,7.0,6.0,9.0,6.0,7.0,7.0,6.0,8.0,14.0,9.0,9.0,5.0,5.0,2.0,6.0,7.0,16.0,6.0,13.0,8.0,17.0,7.0,6.0,3.0,5.0,13.0,8.0,7.0,7.0,10.0,8.0,8.0,8.0,7.0,11.0,1.0,3.0,8.0,3.0,0.0,13.0,11.0,3.0,4.0,10.0,9.0,3.0,4.0,4.0,9.0,11.0,5.0
