l1,l2,syntactic_dist,genetic_dist,has_missing_syntax
abk,aqz,0.59,1.0,True
abk,sqi,0.59,1.0,False
abk,amh,0.59,1.0,False
abk,grc,0.86,1.0,True
abk,hbo,0.59,1.0,True
abk,apu,0.58,1.0,False
abk,hye,0.64,1.0,False
abk,eus,0.57,1.0,False
abk,bel,0.89,1.0,False
abk,ben,0.71,1.0,False
abk,bho,0.72,1.0,False
abk,bor,0.65,1.0,False
abk,bre,0.78,1.0,False
abk,bul,0.73,1.0,False
abk,bua,0.59,1.0,False
abk,cat,0.81,1.0,False
abk,chu,0.59,1.0,True
abk,xcl,0.59,1.0,True
abk,ces,0.72,1.0,False
abk,dan,0.78,1.0,False
abk,nld,0.71,1.0,False
abk,egy,0.59,1.0,True
abk,eng,0.72,1.0,False
abk,myv,0.79,1.0,False
abk,est,0.77,1.0,False
abk,fao,0.83,1.0,True
abk,fin,0.75,1.0,False
abk,fra,0.7,1.0,False
abk,glg,0.87,1.0,True
abk,kat,0.67,1.0,False
abk,deu,0.71,1.0,False
abk,aln,0.59,1.0,True
abk,got,0.81,1.0,True
abk,guj,0.76,1.0,False
abk,heb,0.72,1.0,False
abk,azz,0.95,1.0,True
abk,hin,0.63,1.0,False
abk,hit,0.77,1.0,True
abk,hun,0.64,1.0,False
abk,isl,0.74,1.0,False
abk,gle,0.82,1.0,False
abk,ita,0.73,1.0,False
abk,quc,0.81,1.0,False
abk,xnr,0.59,1.0,True
abk,krl,0.59,1.0,True
abk,kxh,0.78,1.0,True
abk,kaz,0.78,1.0,True
abk,kir,0.71,1.0,False
abk,koi,0.8,1.0,False
abk,kpv,0.85,1.0,False
abk,lat,0.79,1.0,True
abk,lav,0.67,1.0,False
abk,lij,0.59,1.0,True
abk,lit,0.69,1.0,False
abk,olo,0.59,1.0,True
abk,nds,0.59,1.0,True
abk,mkd,0.84,1.0,False
abk,mar,0.66,1.0,False
abk,frm,0.59,1.0,True
abk,ell,0.68,1.0,False
abk,mdf,0.59,1.0,True
abk,yrl,0.59,1.0,True
abk,pcm,0.59,1.0,True
abk,kmr,0.7,1.0,False
abk,sme,0.81,1.0,False
abk,fro,0.81,1.0,True
abk,orv,0.59,1.0,True
abk,ota,0.59,1.0,True
abk,fas,0.59,1.0,False
abk,xpg,0.59,1.0,True
abk,pol,0.78,1.0,False
abk,por,0.73,1.0,False
abk,ron,0.77,1.0,False
abk,rus,0.74,1.0,False
